step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004111467860639095,0.07079926878213882,0.5497093200683594
0,400,1,64,0.020484700798988342,0.09629867970943451,0.9909670352935791
0,400,2,32,0.002932265866547823,0.04514162987470627,0.47077932953834534
0,400,3,32,0.007955997250974178,0.10629343241453171,0.33357927203178406
0,400,4,16,0.008891653269529343,0.10668715089559555,0.4236558973789215
0,400,5,16,0.01125422865152359,0.06906963884830475,0.50034499168396
0,400,6,8,0.01590210758149624,0.0808759406208992,1.322365641593933
0,400,7,16,0.007542835548520088,0.041382621973752975,0.3869949281215668
0,400,8,16,0.0058156512677669525,0.03265907242894173,0.21994157135486603
0,400,9,16,0.0046873134560883045,0.03848472237586975,0.3099912405014038
0,400,10,32,0.00016447601956315339,0.004989985842257738,0.007744318339973688
0,400,11,32,0.0005183735629543662,0.005495639517903328,0.08949624001979828
0,400,12,32,0.003450600430369377,0.03296840190887451,0.16947700083255768
0,400,13,64,0.04711613059043884,0.19869066774845123,1.5133320093154907
0,400,14,64,0.009613694623112679,0.12887901067733765,0.4558979272842407
0,400,15,64,0.00844621192663908,0.1008010134100914,0.6055768728256226
5,360,0,64,0.004174042027443647,0.0809115469455719,0.5174515247344971
5,360,1,64,0.019978588446974754,0.09640322625637054,0.9449760913848877
5,360,2,32,0.002810503588989377,0.058110740035772324,0.4263212978839874
5,360,3,32,0.0076271528378129005,0.10702652484178543,0.3176502287387848
5,360,4,16,0.008303181268274784,0.10268218070268631,0.3994978368282318
5,360,5,16,0.010371913202106953,0.06368827819824219,0.4733133614063263
5,360,6,8,0.016276955604553223,0.08527057617902756,1.2897071838378906
5,360,7,16,0.006916390731930733,0.03478577733039856,0.3702712655067444
5,360,8,16,0.00537406001240015,0.028969770297408104,0.21092405915260315
5,360,9,16,0.00432221544906497,0.03684655949473381,0.27501362562179565
5,360,10,32,0.0001617494272068143,0.004362522158771753,0.0077598243951797485
5,360,11,32,0.000518240500241518,0.005313890986144543,0.08711647987365723
5,360,12,32,0.003478514961898327,0.0345332957804203,0.16037380695343018
5,360,13,64,0.050226595252752304,0.18849772214889526,1.5083343982696533
5,360,14,64,0.008924361318349838,0.1113738939166069,0.4495399594306946
5,360,15,64,0.00809040293097496,0.0734061747789383,0.5983025431632996
10,320,0,64,0.004229344427585602,0.0856211930513382,0.48773545026779175
10,320,1,64,0.019531097263097763,0.0966038778424263,0.8975844979286194
10,320,2,32,0.0026254006661474705,0.06481880694627762,0.38354557752609253
10,320,3,32,0.0071473149582743645,0.1071895882487297,0.3002394437789917
10,320,4,16,0.00780229177325964,0.0978323444724083,0.37992265820503235
10,320,5,16,0.009512165561318398,0.05601154640316963,0.4464002847671509
10,320,6,8,0.01672458089888096,0.08979954570531845,1.2595038414001465
10,320,7,16,0.006557526998221874,0.029861057177186012,0.36087197065353394
10,320,8,16,0.004995529539883137,0.026723681017756462,0.20178037881851196
10,320,9,16,0.0040076179429888725,0.03097548335790634,0.23629364371299744
10,320,10,32,0.00016371373203583062,0.0034971553832292557,0.0078160110861063
10,320,11,32,0.0005093192448839545,0.005577041767537594,0.08419928699731827
10,320,12,32,0.0034109570551663637,0.040806371718645096,0.15001656115055084
10,320,13,64,0.05464564263820648,0.20194688439369202,1.5036826133728027
10,320,14,64,0.008157194592058659,0.12337758392095566,0.4402158856391907
10,320,15,64,0.0077761076390743256,0.08946133404970169,0.5885467529296875
15,280,0,64,0.004253390245139599,0.08465831726789474,0.45984500646591187
15,280,1,64,0.019081370905041695,0.09718450903892517,0.8474959135055542
15,280,2,32,0.0024144602939486504,0.06626345962285995,0.3430711328983307
15,280,3,32,0.0065989806316792965,0.10672437399625778,0.2827942669391632
15,280,4,16,0.00735053513199091,0.09206021577119827,0.3628133535385132
15,280,5,16,0.008599553257226944,0.05314427614212036,0.4199279546737671
15,280,6,8,0.01699947565793991,0.09314194321632385,1.2358722686767578
15,280,7,16,0.0063644153997302055,0.02639654092490673,0.3579537570476532
15,280,8,16,0.004576317500323057,0.024268770590424538,0.1891474723815918
15,280,9,16,0.0036666588857769966,0.027410026639699936,0.20201925933361053
15,280,10,32,0.0001661874121055007,0.003395235165953636,0.008031932637095451
15,280,11,32,0.0005062401760369539,0.005416590254753828,0.08188679069280624
15,280,12,32,0.0032383385114371777,0.02934463880956173,0.13944339752197266
15,280,13,64,0.0597691684961319,0.2276146113872528,1.4996705055236816
15,280,14,64,0.007381027098745108,0.1188632920384407,0.4310058057308197
15,280,15,64,0.007420878857374191,0.0869653970003128,0.576561689376831
20,240,0,64,0.0042210789397358894,0.07955722510814667,0.4314218759536743
20,240,1,64,0.018603581935167313,0.09837006032466888,0.7958197593688965
20,240,2,32,0.002238829154521227,0.0651080384850502,0.30576249957084656
20,240,3,32,0.0060838330537080765,0.10590285062789917,0.26543593406677246
20,240,4,16,0.00694506149739027,0.08617944270372391,0.34641629457473755
20,240,5,16,0.007696026936173439,0.055603738874197006,0.39340513944625854
20,240,6,8,0.017009004950523376,0.09620366990566254,1.2032641172409058
20,240,7,16,0.00602209335193038,0.023578163236379623,0.34322845935821533
20,240,8,16,0.00422706501558423,0.02295674756169319,0.17603842914104462
20,240,9,16,0.003338986076414585,0.018821854144334793,0.17932629585266113
20,240,10,32,0.00016822124598547816,0.0040665012784302235,0.008186962455511093
20,240,11,32,0.0005050345789641142,0.00474498700350523,0.08019757270812988
20,240,12,32,0.00308572081848979,0.026290908455848694,0.13102219998836517
20,240,13,64,0.0656251609325409,0.2394956350326538,1.4966917037963867
20,240,14,64,0.006591835059225559,0.1094270721077919,0.4231110215187073
20,240,15,64,0.0071446457877755165,0.08080770075321198,0.5630761384963989
25,200,0,64,0.0041300589218735695,0.07244542241096497,0.4029969274997711
25,200,1,64,0.01798558607697487,0.09999223053455353,0.7403674125671387
25,200,2,32,0.002136899856850505,0.06381823867559433,0.2741519808769226
25,200,3,32,0.005637612193822861,0.10480676591396332,0.24772925674915314
25,200,4,16,0.006587959825992584,0.08062919229269028,0.3287539482116699
25,200,5,16,0.006935781799256802,0.05567256733775139,0.36880362033843994
25,200,6,8,0.016896627843379974,0.09945172071456909,1.155198574066162
25,200,7,16,0.005635518115013838,0.026189692318439484,0.3212076425552368
25,200,8,16,0.003942481242120266,0.022150903940200806,0.1635156273841858
25,200,9,16,0.0030912579968571663,0.013634426519274712,0.16503894329071045
