step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.007268848363310099,0.06299973279237747,0.5044621825218201
0,400,1,64,0.03848667070269585,0.13767285645008087,1.1673173904418945
0,400,2,32,0.0024036201648414135,0.024515049532055855,0.3196175694465637
0,400,3,32,0.010324192233383656,0.0744740292429924,0.32466769218444824
0,400,4,16,0.00459483964368701,0.027526848018169403,0.34783482551574707
0,400,5,16,0.008634050376713276,0.041243843734264374,0.5099851489067078
0,400,6,8,0.03618563711643219,0.17347043752670288,1.0628471374511719
0,400,7,16,0.005634125787764788,0.032578930258750916,0.2797139883041382
0,400,8,16,0.002502006944268942,0.024619728326797485,0.11913058161735535
0,400,9,16,0.0016003265045583248,0.0047558993101119995,0.14303864538669586
0,400,10,32,0.0001953660830622539,0.0025014032144099474,0.005241882987320423
0,400,11,32,0.0008248157100751996,0.029386453330516815,0.07455064356327057
0,400,12,32,0.0027266601100564003,0.016810670495033264,0.097652867436409
0,400,13,64,0.04314637929201126,0.1543039232492447,1.415453314781189
0,400,14,64,0.013542593456804752,0.14023450016975403,0.5439128875732422
0,400,15,64,0.009354690089821815,0.09031995385885239,0.5740321278572083
5,360,0,64,0.007048905361443758,0.06731673330068588,0.4817594885826111
5,360,1,64,0.036609940230846405,0.12985461950302124,1.1014478206634521
5,360,2,32,0.0024164970964193344,0.026462193578481674,0.3140937387943268
5,360,3,32,0.009684577584266663,0.0691443681716919,0.30975228548049927
5,360,4,16,0.004413438495248556,0.027268515899777412,0.3307829797267914
5,360,5,16,0.00859270803630352,0.040503498166799545,0.5019242167472839
5,360,6,8,0.03715787082910538,0.17657437920570374,1.039983868598938
5,360,7,16,0.006156290881335735,0.03866375610232353,0.26813751459121704
5,360,8,16,0.0029898304492235184,0.02795439213514328,0.1234426498413086
5,360,9,16,0.001598338596522808,0.006114765536040068,0.13370086252689362
5,360,10,32,0.00020032163592986763,0.0028735757805407047,0.005360662471503019
5,360,11,32,0.0007902156794443727,0.019590122625231743,0.07369278371334076
5,360,12,32,0.002816577209159732,0.016460515558719635,0.10548846423625946
5,360,13,64,0.05024787783622742,0.15581533312797546,1.4175528287887573
5,360,14,64,0.012112714350223541,0.13198718428611755,0.5143174529075623
5,360,15,64,0.00848381593823433,0.08418239653110504,0.55527263879776
10,320,0,64,0.006893679965287447,0.06973704695701599,0.45910099148750305
10,320,1,64,0.03543504327535629,0.12475095689296722,1.0446085929870605
10,320,2,32,0.002383961109444499,0.02606392465531826,0.30296480655670166
10,320,3,32,0.0090665053576231,0.07533258199691772,0.29364174604415894
10,320,4,16,0.004209218546748161,0.02558625489473343,0.3136416971683502
10,320,5,16,0.00826036836951971,0.0376472994685173,0.48862165212631226
10,320,6,8,0.036538656800985336,0.17676113545894623,0.9941244125366211
10,320,7,16,0.0060789212584495544,0.037463802844285965,0.2575468420982361
10,320,8,16,0.0030782681424170732,0.026341840624809265,0.12720239162445068
10,320,9,16,0.0015625427477061749,0.006376835983246565,0.12084712088108063
10,320,10,32,0.00019793548563029617,0.0022524232044816017,0.005295345094054937
10,320,11,32,0.0007926486432552338,0.021508896723389626,0.07337988168001175
10,320,12,32,0.0027466921601444483,0.017218459397554398,0.10173299163579941
10,320,13,64,0.05538497865200043,0.17050036787986755,1.413108468055725
10,320,14,64,0.011472409591078758,0.12040883302688599,0.4992602467536926
10,320,15,64,0.007954727858304977,0.07019732147455215,0.5417121052742004
15,280,0,64,0.0067680878564715385,0.07203720510005951,0.4366777241230011
15,280,1,64,0.034074217081069946,0.12289472669363022,0.984461784362793
15,280,2,32,0.002428677398711443,0.026331644505262375,0.2965967059135437
15,280,3,32,0.008386146277189255,0.08806853741407394,0.2751166522502899
15,280,4,16,0.004007249604910612,0.023485414683818817,0.29579925537109375
15,280,5,16,0.007834099233150482,0.037108100950717926,0.46718233823776245
15,280,6,8,0.03565426543354988,0.17656713724136353,0.9417463541030884
15,280,7,16,0.00573416193947196,0.03392646089196205,0.24033808708190918
15,280,8,16,0.0030717565678060055,0.022898640483617783,0.12688151001930237
15,280,9,16,0.00150057312566787,0.006239650771021843,0.10870756208896637
15,280,10,32,0.0001975557388504967,0.0021037987899035215,0.005237964913249016
15,280,11,32,0.000802280381321907,0.017697980627417564,0.07291615754365921
15,280,12,32,0.002568692434579134,0.01757456548511982,0.0952240526676178
15,280,13,64,0.060558147728443146,0.17686985433101654,1.4087531566619873
15,280,14,64,0.010549142025411129,0.11723524332046509,0.48654061555862427
15,280,15,64,0.007446737959980965,0.049786485731601715,0.5285255908966064
20,240,0,64,0.0066263992339372635,0.07395865023136139,0.4130406975746155
20,240,1,64,0.032428231090307236,0.11896203458309174,0.9187973737716675
20,240,2,32,0.0025674630887806416,0.03298596292734146,0.2900468111038208
20,240,3,32,0.007681302260607481,0.09245290607213974,0.2545294761657715
20,240,4,16,0.003795566502958536,0.021205110475420952,0.277521014213562
20,240,5,16,0.007366561330854893,0.03807641193270683,0.4389980435371399
20,240,6,8,0.03435137867927551,0.17513024806976318,0.880481481552124
20,240,7,16,0.005249110981822014,0.028699859976768494,0.21824462711811066
20,240,8,16,0.003019956173375249,0.019430559128522873,0.12254566699266434
20,240,9,16,0.0014087141025811434,0.005914812441915274,0.09773837774991989
20,240,10,32,0.00019768765196204185,0.0022160036023706198,0.005143181886523962
20,240,11,32,0.000798133434727788,0.012104765512049198,0.07196001708507538
20,240,12,32,0.002386463573202491,0.01785935088992119,0.08784912526607513
20,240,13,64,0.06611005961894989,0.177079975605011,1.407656192779541
20,240,14,64,0.009659667499363422,0.10313237458467484,0.4767773747444153
20,240,15,64,0.0071799191646277905,0.04963035136461258,0.5177521109580994
25,200,0,64,0.006430878769606352,0.07561908662319183,0.38874322175979614
25,200,1,64,0.030317360535264015,0.10591376572847366,0.843532145023346
25,200,2,32,0.0028174142353236675,0.04082869365811348,0.28319230675697327
25,200,3,32,0.0069722579792141914,0.0897512137889862,0.2332782745361328
25,200,4,16,0.0035668821074068546,0.01921185851097107,0.2591128945350647
25,200,5,16,0.006834652274847031,0.037978872656822205,0.4060879051685333
25,200,6,8,0.032688628882169724,0.17158664762973785,0.8134139776229858
25,200,7,16,0.004745618440210819,0.02307475358247757,0.19586046040058136
25,200,8,16,0.0029617261607199907,0.018619049340486526,0.11480581760406494
25,200,9,16,0.001309545710682869,0.005619570147246122,0.08775516599416733
25,200,10,32,0.00019313910161145031,0.0021407564636319876,0.0049558524042367935
25,200,11,32,0.0007835875730961561,0.00827431958168745,0.07091038674116135
25,200,12,32,0.0022289291955530643,0.018159590661525726,0.08095556497573853
25,200,13,64,0.07209420204162598,0.17487403750419617,1.4106082916259766
25,200,14,64,0.008780185133218765,0.12133975327014923,0.46821948885917664
25,200,15,64,0.007032397203147411,0.05149374529719353,0.507286787033081
30,160,0,64,0.006161162629723549,0.0772189050912857,0.365506112575531
30,160,1,64,0.027558788657188416,0.09361110627651215,0.7558943033218384
30,160,2,32,0.003148689866065979,0.049221187829971313,0.2743644714355469
30,160,3,32,0.006268601398915052,0.08156879991292953,0.21268025040626526
30,160,4,16,0.0033393094781786203,0.01765831746160984,0.24166861176490784
30,160,5,16,0.006270613521337509,0.03629041090607643,0.37041085958480835
30,160,6,8,0.031025495380163193,0.1660090535879135,0.7491599321365356
30,160,7,16,0.004280474502593279,0.01828446239233017,0.17595204710960388
30,160,8,16,0.0028898674063384533,0.018439358100295067,0.10467902570962906
30,160,9,16,0.0012126140063628554,0.005353421904146671,0.07842109352350235
30,160,10,32,0.00018540385644882917,0.0019608119037002325,0.004736530594527721
30,160,11,32,0.0007698729168623686,0.006900649517774582,0.06957945227622986
30,160,12,32,0.0021041082218289375,0.018264900892972946,0.07540152966976166
30,160,13,64,0.07873756438493729,0.18849575519561768,1.4154176712036133
30,160,14,64,0.007940595969557762,0.13463596999645233,0.46142351627349854
30,160,15,64,0.006925777532160282,0.040348637849092484,0.4952200651168823
35,120,0,64,0.005739348009228706,0.08471415936946869,0.3423686623573303
35,120,1,64,0.02365569770336151,0.09224382787942886,0.6471577286720276
35,120,2,32,0.003485281253233552,0.05626148357987404,0.2638235092163086
35,120,3,32,0.005534165073186159,0.08329636603593826,0.1927136778831482
35,120,4,16,0.003123172093182802,0.016144007444381714,0.22573715448379517
35,120,5,16,0.005707983858883381,0.03246805816888809,0.3344435393810272
35,120,6,8,0.029272450134158134,0.15854322910308838,0.6916749477386475
35,120,7,16,0.0038796626031398773,0.014335808344185352,0.15940254926681519
35,120,8,16,0.0028116279281675816,0.018659910187125206,0.09353165328502655
35,120,9,16,0.0011192088713869452,0.005051980726420879,0.06978179514408112
35,120,10,32,0.00017682870384305716,0.0018048761412501335,0.004536639899015427
35,120,11,32,0.000763889926020056,0.00690159248188138,0.06805726885795593
35,120,12,32,0.002002943307161331,0.01781384088099003,0.07061724364757538
35,120,13,64,0.08675796538591385,0.20282547175884247,1.4210666418075562
35,120,14,64,0.007101716473698616,0.1133568212389946,0.4569976329803467
35,120,15,64,0.006933635100722313,0.04401027038693428,0.48360878229141235
40,80,0,64,0.005219278857111931,0.09712749719619751,0.3221675157546997
40,80,1,64,0.01795196533203125,0.10317473113536835,0.505735456943512
40,80,2,32,0.003606025595217943,0.05780283734202385,0.2490505427122116
40,80,3,32,0.0048137446865439415,0.08837272226810455,0.17255012691020966
40,80,4,16,0.0029119737446308136,0.014346800744533539,0.21082192659378052
40,80,5,16,0.005223294720053673,0.024632465094327927,0.3011307716369629
40,80,6,8,0.026887238025665283,0.14729417860507965,0.63912034034729
40,80,7,16,0.003534486051648855,0.012402797117829323,0.14568020403385162
40,80,8,16,0.0027226509992033243,0.018937597051262856,0.082637257874012
40,80,9,16,0.001025655074045062,0.004684661980718374,0.061976801604032516
40,80,10,32,0.00016764811880420893,0.0024905349127948284,0.004368579015135765
40,80,11,32,0.0007609731401316822,0.00746616767719388,0.06618694216012955
40,80,12,32,0.001859415089711547,0.01710030622780323,0.065193310379982
40,80,13,64,0.09691843390464783,0.22269819676876068,1.4264277219772339
40,80,14,64,0.0063558644615113735,0.05383077263832092,0.45578619837760925
40,80,15,64,0.007160721346735954,0.04919157177209854,0.47495758533477783
45,40,0,64,0.004804170224815607,0.10472787171602249,0.30550506711006165
45,40,1,64,0.010483107529580593,0.12204313278198242,0.33858203887939453
45,40,2,32,0.0032530026510357857,0.05140339210629463,0.22278934717178345
45,40,3,32,0.004207298159599304,0.0840553343296051,0.15087352693080902
45,40,4,16,0.0026696501299738884,0.012406441383063793,0.1948181688785553
45,40,5,16,0.00475809583440423,0.016022849828004837,0.26497387886047363
45,40,6,8,0.023374442011117935,0.12827283143997192,0.5789321660995483
45,40,7,16,0.003192576114088297,0.011094780638813972,0.13245666027069092
45,40,8,16,0.002578196581453085,0.018763631582260132,0.0717138946056366
45,40,9,16,0.0009235654724761844,0.004313839133828878,0.05471522733569145
45,40,10,32,0.00015697638445999473,0.004271826706826687,0.004264146089553833
45,40,11,32,0.0007589417509734631,0.007968365214765072,0.06349068880081177
45,40,12,32,0.0016641737893223763,0.015789544209837914,0.059265561401844025
45,40,13,64,0.11127915978431702,0.24331200122833252,1.4301886558532715
45,40,14,64,0.006108561530709267,0.07307258993387222,0.46477210521698
45,40,15,64,0.007857279852032661,0.05559172481298447,0.4842098355293274
49,8,0,64,0.00568621838465333,0.10900254547595978,0.29777902364730835
49,8,1,64,0.003818483091890812,0.13654866814613342,0.20833785831928253
49,8,2,32,0.0024050180800259113,0.03248796612024307,0.18310095369815826
49,8,3,32,0.0037295003421604633,0.046496931463479996,0.1272304803133011
49,8,4,16,0.002392431255429983,0.010770285502076149,0.17886388301849365
49,8,5,16,0.004357688594609499,0.017029456794261932,0.22875776886940002
49,8,6,8,0.020713886246085167,0.11122676730155945,0.5207828283309937
49,8,7,16,0.0029188867192715406,0.010160776786506176,0.11974000930786133
49,8,8,16,0.0023296335712075233,0.01720806211233139,0.06160096824169159
49,8,9,16,0.0008381335064768791,0.0039135767146945,0.04845813661813736
49,8,10,32,0.00013938345364294946,0.0063577075488865376,0.0041377660818398
49,8,11,32,0.0007360404124483466,0.007804348133504391,0.058572083711624146
49,8,12,32,0.0014046980068087578,0.01312008686363697,0.053163543343544006
49,8,13,64,0.1312110722064972,0.2701987624168396,1.4223947525024414
49,8,14,64,0.008214999921619892,0.09216319769620895,0.5049095153808594
49,8,15,64,0.009066065773367882,0.059131380170583725,0.6103456020355225
