step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004485278390347958,0.0535939484834671,0.6483050584793091
0,400,1,64,0.024833139032125473,0.1574530005455017,1.1244335174560547
0,400,2,32,0.006810173392295837,0.069815993309021,0.5999650955200195
0,400,3,32,0.010279439389705658,0.09568847715854645,0.47226762771606445
0,400,4,16,0.015177072025835514,0.08915279805660248,0.5949068665504456
0,400,5,16,0.03685919940471649,0.17214927077293396,0.6054319739341736
0,400,6,8,0.034592367708683014,0.12701590359210968,0.9647346138954163
0,400,7,16,0.028937239199876785,0.16751138865947723,0.29866713285446167
0,400,8,16,0.07211489975452423,0.38508519530296326,0.3127911686897278
0,400,9,16,0.035468436777591705,0.29274237155914307,0.22821785509586334
0,400,10,32,0.0006317029474303126,0.05144375562667847,0.015928100794553757
0,400,11,32,0.0040392824448645115,0.10327328741550446,0.3228985071182251
0,400,12,32,0.008695658296346664,0.08319850265979767,0.2061404287815094
0,400,13,64,0.06758946925401688,0.24706071615219116,1.6086666584014893
0,400,14,64,0.015021497383713722,0.1346876621246338,0.5493482351303101
0,400,15,64,0.011480230838060379,0.13458608090877533,0.6354943513870239
5,360,0,64,0.004406780935823917,0.053601011633872986,0.6210448741912842
5,360,1,64,0.024975840002298355,0.16559365391731262,1.0873606204986572
5,360,2,32,0.0072483886033296585,0.0697011724114418,0.5658495426177979
5,360,3,32,0.009891044348478317,0.1026410385966301,0.45679259300231934
5,360,4,16,0.015273908153176308,0.1047205924987793,0.5647253394126892
5,360,5,16,0.03225327655673027,0.17085711658000946,0.5640009641647339
5,360,6,8,0.034547239542007446,0.12717941403388977,0.9613523483276367
5,360,7,16,0.027566809207201004,0.16829802095890045,0.29650717973709106
5,360,8,16,0.0715305358171463,0.38749903440475464,0.30495548248291016
5,360,9,16,0.032551538199186325,0.2897604703903198,0.21719487011432648
5,360,10,32,0.0006292029283940792,0.05098617821931839,0.016638033092021942
5,360,11,32,0.0038905751425772905,0.09753117710351944,0.3193728029727936
5,360,12,32,0.008590095676481724,0.09328338503837585,0.19455961883068085
5,360,13,64,0.07053451985120773,0.24714955687522888,1.6029391288757324
5,360,14,64,0.013871937058866024,0.14530342817306519,0.5433998107910156
5,360,15,64,0.010205209255218506,0.0975593775510788,0.6158603429794312
10,320,0,64,0.004456768743693829,0.05426114425063133,0.5985791683197021
10,320,1,64,0.024874065071344376,0.15464361011981964,1.0414992570877075
10,320,2,32,0.008337252773344517,0.08522380143404007,0.5361506938934326
10,320,3,32,0.009453125298023224,0.10662224888801575,0.4326046109199524
10,320,4,16,0.01657758094370365,0.1230677142739296,0.5481778383255005
10,320,5,16,0.030386218801140785,0.1809944212436676,0.5322757363319397
10,320,6,8,0.03506997972726822,0.12280795723199844,0.937835156917572
10,320,7,16,0.027478257194161415,0.17111322283744812,0.2976697087287903
10,320,8,16,0.07073777914047241,0.366531103849411,0.2971186637878418
10,320,9,16,0.03424188494682312,0.30275025963783264,0.21508505940437317
10,320,10,32,0.0006049143266864121,0.04817318916320801,0.016849789768457413
10,320,11,32,0.003703795839101076,0.09497974067926407,0.3077741861343384
10,320,12,32,0.010732496157288551,0.12241429835557938,0.1898042857646942
10,320,13,64,0.0744830071926117,0.2546277344226837,1.6000683307647705
10,320,14,64,0.012971045449376106,0.1853315532207489,0.5461996793746948
10,320,15,64,0.009250516071915627,0.10146346688270569,0.5898487567901611
15,280,0,64,0.0046074278652668,0.055254414677619934,0.5812752842903137
15,280,1,64,0.024703703820705414,0.16638065874576569,0.9903727769851685
15,280,2,32,0.010624327696859837,0.11942268162965775,0.5037776231765747
