step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004437109921127558,0.044891297817230225,0.5389092564582825
0,400,1,64,0.020245946943759918,0.07805489748716354,0.9993410110473633
0,400,2,32,0.002269929042086005,0.018265118822455406,0.4564306139945984
0,400,3,32,0.007103707641363144,0.1257306933403015,0.3260917663574219
0,400,4,16,0.012777475640177727,0.08706260472536087,0.5159904360771179
0,400,5,16,0.021440893411636353,0.24194768071174622,0.4963054656982422
0,400,6,8,0.02302137017250061,0.13325384259223938,0.9870353937149048
0,400,7,16,0.01730763353407383,0.14884823560714722,0.36045539379119873
0,400,8,16,0.037620097398757935,0.43116042017936707,0.2724774479866028
0,400,9,16,0.028428401798009872,0.46535781025886536,0.31049543619155884
0,400,10,32,0.00018125140923075378,0.013544214889407158,0.008332779631018639
0,400,11,32,0.0008526299498043954,0.03168998658657074,0.11008702218532562
0,400,12,32,0.007620905991643667,0.10740438103675842,0.20977391302585602
0,400,13,64,0.03919726982712746,0.18194203078746796,1.5225251913070679
0,400,14,64,0.010087976232171059,0.13713641464710236,0.4814251959323883
0,400,15,64,0.008315842598676682,0.06547822058200836,0.6226642727851868
5,360,0,64,0.0043479688465595245,0.042647458612918854,0.5050767660140991
5,360,1,64,0.020294062793254852,0.07439065724611282,0.9624557495117188
5,360,2,32,0.0022709148470312357,0.022192208096385002,0.41632184386253357
5,360,3,32,0.00668808538466692,0.12922993302345276,0.3132418394088745
5,360,4,16,0.013556050136685371,0.11536268144845963,0.498477041721344
5,360,5,16,0.01978212408721447,0.23876282572746277,0.4659428596496582
5,360,6,8,0.0213493462651968,0.1317528635263443,0.9078600406646729
5,360,7,16,0.01604866236448288,0.15352071821689606,0.3244742751121521
5,360,8,16,0.036954253911972046,0.40135127305984497,0.2557556927204132
5,360,9,16,0.029345739632844925,0.477826863527298,0.28041690587997437
5,360,10,32,0.00017980368284042925,0.02168971486389637,0.008328931406140327
5,360,11,32,0.0008723372593522072,0.06475035101175308,0.10682263970375061
5,360,12,32,0.008831867948174477,0.1138293445110321,0.19728805124759674
5,360,13,64,0.040582913905382156,0.16010421514511108,1.517401933670044
5,360,14,64,0.010125767439603806,0.09287761896848679,0.489044189453125
5,360,15,64,0.007728927303105593,0.06475496292114258,0.6149979829788208
10,320,0,64,0.004266619682312012,0.039538316428661346,0.4707396328449249
10,320,1,64,0.02058211714029312,0.09094495326280594,0.9271895289421082
10,320,2,32,0.00271109608002007,0.052051495760679245,0.3753642439842224
10,320,3,32,0.006304082460701466,0.13018831610679626,0.3021615743637085
10,320,4,16,0.015130206942558289,0.1371362805366516,0.47236427664756775
10,320,5,16,0.01873891055583954,0.2552662193775177,0.43795233964920044
10,320,6,8,0.020273279398679733,0.13193878531455994,0.8116585612297058
10,320,7,16,0.015300370752811432,0.15347227454185486,0.28303611278533936
10,320,8,16,0.036529626697301865,0.4094916582107544,0.23734638094902039
10,320,9,16,0.02918066270649433,0.48139238357543945,0.2556895911693573
10,320,10,32,0.0002143800666090101,0.04151596128940582,0.008218951523303986
10,320,11,32,0.0008846682612784207,0.0841958075761795,0.10570506006479263
10,320,12,32,0.009051195345818996,0.14809204638004303,0.17875909805297852
10,320,13,64,0.04326389357447624,0.1705300360918045,1.5132241249084473
10,320,14,64,0.010144328698515892,0.09773534536361694,0.49319589138031006
10,320,15,64,0.007415427826344967,0.08828844875097275,0.6039482355117798
15,280,0,64,0.004183931276202202,0.039560865610837936,0.4406668543815613
15,280,1,64,0.0205859262496233,0.09638400375843048,0.8834823369979858
15,280,2,32,0.0027864910662174225,0.07278475165367126,0.33638831973075867
15,280,3,32,0.0058957659639418125,0.1297445446252823,0.28802043199539185
15,280,4,16,0.014931175857782364,0.1501649171113968,0.43947410583496094
15,280,5,16,0.017350278794765472,0.2540062963962555,0.4139127731323242
15,280,6,8,0.019204307347536087,0.13147492706775665,0.7552992105484009
15,280,7,16,0.014575060456991196,0.15001583099365234,0.2567809224128723
15,280,8,16,0.03582233935594559,0.4096757769584656,0.22366823256015778
15,280,9,16,0.027980543673038483,0.4798114597797394,0.23467446863651276
15,280,10,32,0.00022176289348863065,0.04349159821867943,0.007938790135085583
15,280,11,32,0.0008800391806289554,0.08297166973352432,0.10402246564626694
15,280,12,32,0.008297719992697239,0.15229175984859467,0.16293063759803772
15,280,13,64,0.04736144095659256,0.18047168850898743,1.5078094005584717
15,280,14,64,0.010123167186975479,0.10093601793050766,0.49442851543426514
15,280,15,64,0.007183097302913666,0.10560126602649689,0.5874980688095093
20,240,0,64,0.0040643783286213875,0.04141691327095032,0.4109348654747009
20,240,1,64,0.020504994317889214,0.09521600604057312,0.8366203904151917
20,240,2,32,0.0027719156350940466,0.09277881681919098,0.2975536286830902
20,240,3,32,0.005489122122526169,0.1297999620437622,0.27049684524536133
20,240,4,16,0.01449020765721798,0.1552770882844925,0.40715354681015015
20,240,5,16,0.016252096742391586,0.24162350594997406,0.3921562135219574
20,240,6,8,0.018340351060032845,0.13062602281570435,0.7120772004127502
20,240,7,16,0.013870934024453163,0.1499641388654709,0.23382294178009033
20,240,8,16,0.03468192741274834,0.40728121995925903,0.2121068686246872
20,240,9,16,0.02703416347503662,0.478420615196228,0.21587440371513367
20,240,10,32,0.00021797066438011825,0.044241368770599365,0.007584649138152599
20,240,11,32,0.000865595939103514,0.08481534570455551,0.10186778008937836
20,240,12,32,0.0074155572801828384,0.14918990433216095,0.14723727107048035
20,240,13,64,0.05241723358631134,0.19457769393920898,1.5026339292526245
20,240,14,64,0.009991481900215149,0.11373771727085114,0.493377149105072
20,240,15,64,0.00700836768373847,0.1140764057636261,0.568665087223053
25,200,0,64,0.0039136456325650215,0.04458991438150406,0.3821762502193451
25,200,1,64,0.02021532505750656,0.08850868791341782,0.7836471199989319
25,200,2,32,0.002749865874648094,0.10425716638565063,0.2640661299228668
25,200,3,32,0.00508061982691288,0.1291312873363495,0.25015023350715637
25,200,4,16,0.013757690787315369,0.15534467995166779,0.37460756301879883
25,200,5,16,0.01544724591076374,0.23626336455345154,0.3710115849971771
25,200,6,8,0.017701392993330956,0.12978136539459229,0.6791653633117676
25,200,7,16,0.013007786124944687,0.14921137690544128,0.21251454949378967
25,200,8,16,0.033196598291397095,0.4008067846298218,0.20091769099235535
25,200,9,16,0.025865521281957626,0.4750362038612366,0.1980423629283905
25,200,10,32,0.00021253712475299835,0.045382313430309296,0.007254198659211397
25,200,11,32,0.0008548279874958098,0.08744487166404724,0.1003282442688942
25,200,12,32,0.006750870496034622,0.1441698521375656,0.13451504707336426
25,200,13,64,0.058680467307567596,0.20782341063022614,1.4987738132476807
25,200,14,64,0.009746103547513485,0.13497471809387207,0.49104732275009155
25,200,15,64,0.006957381963729858,0.09883041679859161,0.5485915541648865
30,160,0,64,0.0037528392858803272,0.04858182370662689,0.3559684157371521
30,160,1,64,0.019679272547364235,0.08680173754692078,0.7250001430511475
30,160,2,32,0.002745069097727537,0.1088615208864212,0.23637285828590393
30,160,3,32,0.004630064591765404,0.1270366609096527,0.22697590291500092
30,160,4,16,0.013100119307637215,0.15399222075939178,0.3453579843044281
30,160,5,16,0.014972647652029991,0.2419920414686203,0.34811270236968994
30,160,6,8,0.017056629061698914,0.12880386412143707,0.652667760848999
30,160,7,16,0.012102684006094933,0.14760391414165497,0.19296392798423767
30,160,8,16,0.03155283257365227,0.3908453583717346,0.1889999508857727
30,160,9,16,0.024592239409685135,0.46952465176582336,0.18119627237319946
30,160,10,32,0.00020786951063200831,0.04503060132265091,0.007056435104459524
30,160,11,32,0.0008481656550429761,0.0864860936999321,0.09892061352729797
30,160,12,32,0.0062485262751579285,0.1368734985589981,0.1240743026137352
30,160,13,64,0.06646193563938141,0.21562866866588593,1.4973911046981812
30,160,14,64,0.009299173951148987,0.14729878306388855,0.4867764115333557
30,160,15,64,0.007071350235491991,0.11555323004722595,0.5289581418037415
35,120,0,64,0.0035368986427783966,0.053370311856269836,0.33037638664245605
35,120,1,64,0.018633956089615822,0.11043030023574829,0.6551793813705444
35,120,2,32,0.0027133862022310495,0.10801127552986145,0.21326114237308502
35,120,3,32,0.004132989328354597,0.12393921613693237,0.2010636031627655
35,120,4,16,0.012619886547327042,0.1530252993106842,0.3179355263710022
35,120,5,16,0.014716661535203457,0.2508707642555237,0.3223831057548523
35,120,6,8,0.016148624941706657,0.1274629831314087,0.6242684721946716
35,120,7,16,0.011253653094172478,0.1463409960269928,0.17438018321990967
35,120,8,16,0.029667897149920464,0.3899186849594116,0.17572687566280365
35,120,9,16,0.023090219125151634,0.4620145857334137,0.16567690670490265
35,120,10,32,0.00020315431174822152,0.04332495480775833,0.006948753260076046
35,120,11,32,0.0008396932971663773,0.08156618475914001,0.09759289026260376
35,120,12,32,0.00583791546523571,0.12974600493907928,0.11479595303535461
35,120,13,64,0.07669328898191452,0.2339460551738739,1.496490716934204
35,120,14,64,0.008577793836593628,0.17720019817352295,0.4793543219566345
35,120,15,64,0.007390536367893219,0.08384327590465546,0.5110799074172974
40,80,0,64,0.0032417168840765953,0.059653885662555695,0.3058055639266968
