step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.00393331004306674,0.03805346041917801,0.5969882011413574
0,400,1,64,0.025484642013907433,0.09569645673036575,1.116304874420166
0,400,2,32,0.0022274162620306015,0.035686053335666656,0.45851069688796997
0,400,3,32,0.007768748328089714,0.12725359201431274,0.3117557168006897
0,400,4,16,0.015455065295100212,0.08039669692516327,0.49727123975753784
0,400,5,16,0.030310630798339844,0.2311612069606781,0.5943639278411865
0,400,6,8,0.027617739513516426,0.14396324753761292,0.9821696281433105
0,400,7,16,0.018926506862044334,0.15159256756305695,0.374509334564209
0,400,8,16,0.038320936262607574,0.4546681344509125,0.2551361322402954
0,400,9,16,0.02867174707353115,0.4575137794017792,0.3251137435436249
0,400,10,32,0.00017920041864272207,0.008874192833900452,0.007635857909917831
0,400,11,32,0.0010567456483840942,0.019950775429606438,0.12079259008169174
0,400,12,32,0.004712861962616444,0.09049760550260544,0.22360751032829285
0,400,13,64,0.0372367799282074,0.16629371047019958,1.4836243391036987
0,400,14,64,0.009881348349153996,0.1278342604637146,0.5178624987602234
0,400,15,64,0.008062753826379776,0.12134408205747604,0.6331207752227783
5,360,0,64,0.0038933553732931614,0.03827695548534393,0.5588589310646057
5,360,1,64,0.02619345672428608,0.10081115365028381,1.0996813774108887
5,360,2,32,0.0022012083791196346,0.05351404473185539,0.4018591642379761
5,360,3,32,0.007436999119818211,0.13011595606803894,0.3023623824119568
5,360,4,16,0.015623064711689949,0.11384060978889465,0.48451289534568787
5,360,5,16,0.029268871992826462,0.24622423946857452,0.5653795599937439
5,360,6,8,0.02564845234155655,0.1408705711364746,0.8827855587005615
5,360,7,16,0.018079498782753944,0.15172256529331207,0.33801037073135376
5,360,8,16,0.0366864912211895,0.43520891666412354,0.23997712135314941
5,360,9,16,0.03027375414967537,0.47351810336112976,0.2933546006679535
5,360,10,32,0.00016769388457760215,0.008436043746769428,0.007759889587759972
5,360,11,32,0.0010038939071819186,0.017441080883145332,0.11635634303092957
5,360,12,32,0.004877246916294098,0.13125626742839813,0.19891922175884247
5,360,13,64,0.03945665806531906,0.16042517125606537,1.46910560131073
5,360,14,64,0.009151281788945198,0.1025540679693222,0.5073014497756958
5,360,15,64,0.00736643373966217,0.12328601628541946,0.6179620027542114
10,320,0,64,0.0039026252925395966,0.038401443511247635,0.5239055156707764
10,320,1,64,0.02726738154888153,0.10577373206615448,1.0853490829467773
10,320,2,32,0.0024487243499606848,0.0736016258597374,0.35406845808029175
10,320,3,32,0.0069074975326657295,0.12859567999839783,0.28679871559143066
10,320,4,16,0.016464686021208763,0.13640637695789337,0.4613416790962219
10,320,5,16,0.02613849751651287,0.24640214443206787,0.5334665179252625
10,320,6,8,0.025334667414426804,0.1404486447572708,0.8228797316551208
10,320,7,16,0.017396006733179092,0.152756929397583,0.3143474757671356
10,320,8,16,0.0360635370016098,0.4424152374267578,0.23242592811584473
10,320,9,16,0.03008132055401802,0.4809020459651947,0.2677459120750427
10,320,10,32,0.00018013219232670963,0.01850215159356594,0.008780949749052525
10,320,11,32,0.0011592344380915165,0.05427463352680206,0.1138668805360794
10,320,12,32,0.004898536019027233,0.1843835413455963,0.177344411611557
10,320,13,64,0.04181816428899765,0.18340259790420532,1.4618093967437744
10,320,14,64,0.008597816340625286,0.13264267146587372,0.49605077505111694
10,320,15,64,0.007195415906608105,0.12187818437814713,0.608957052230835
15,280,0,64,0.00397185143083334,0.0388682521879673,0.4925057291984558
15,280,1,64,0.028206583112478256,0.11056903004646301,1.0630686283111572
15,280,2,32,0.0026325159706175327,0.07585277408361435,0.3203389048576355
15,280,3,32,0.006256867665797472,0.1265556365251541,0.26773327589035034
15,280,4,16,0.017182111740112305,0.15023423731327057,0.43828558921813965
15,280,5,16,0.02375885471701622,0.24775834381580353,0.5035408139228821
15,280,6,8,0.02580580860376358,0.14219330251216888,0.7878097891807556
15,280,7,16,0.017790086567401886,0.16197548806667328,0.296051949262619
15,280,8,16,0.036890022456645966,0.42929452657699585,0.22361379861831665
15,280,9,16,0.030358610674738884,0.48244377970695496,0.24878162145614624
15,280,10,32,0.00017928125453181565,0.012338322587311268,0.008558128029108047
15,280,11,32,0.0011304477229714394,0.03150944411754608,0.1090751588344574
15,280,12,32,0.0044934917241334915,0.18456198275089264,0.15982586145401
15,280,13,64,0.045228905975818634,0.1791483759880066,1.4617199897766113
15,280,14,64,0.007979004643857479,0.136833056807518,0.48901885747909546
15,280,15,64,0.007042017299681902,0.10497080534696579,0.5975855588912964
20,240,0,64,0.0040993522852659225,0.039914920926094055,0.4633727967739105
20,240,1,64,0.02870006114244461,0.1163288801908493,1.0266436338424683
20,240,2,32,0.002680350560694933,0.07259480655193329,0.2921134829521179
20,240,3,32,0.005603041499853134,0.12437601387500763,0.24731644988059998
20,240,4,16,0.017509382218122482,0.1654059886932373,0.4149458110332489
20,240,5,16,0.02105233073234558,0.24338240921497345,0.4720928966999054
20,240,6,8,0.025411168113350868,0.14276760816574097,0.755956768989563
20,240,7,16,0.017529703676700592,0.16476234793663025,0.27513042092323303
