step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.00415466632694006,0.03265274316072464,0.5294601917266846
0,400,1,64,0.03643990680575371,0.16283708810806274,1.2651715278625488
0,400,2,32,0.005800206214189529,0.041533540934324265,0.3910624384880066
0,400,3,32,0.005900188349187374,0.0632825642824173,0.27985528111457825
0,400,4,16,0.014947931282222271,0.07286757230758667,0.5605546832084656
0,400,5,16,0.05795510858297348,0.22628840804100037,0.7155359387397766
0,400,6,8,0.025869127362966537,0.11132406443357468,0.8493797779083252
0,400,7,16,0.03065279871225357,0.17940600216388702,0.2722674608230591
0,400,8,16,0.0560716837644577,0.3385500907897949,0.21851259469985962
0,400,9,16,0.02573450282216072,0.20604638755321503,0.1508753001689911
0,400,10,32,0.000206352022360079,0.02160222828388214,0.00571489566937089
0,400,11,32,0.000976295443251729,0.039810918271541595,0.133204847574234
0,400,12,32,0.005635278765112162,0.03912747651338577,0.11448854207992554
0,400,13,64,0.06030583381652832,0.17150193452835083,1.477526307106018
0,400,14,64,0.012820655480027199,0.12077204883098602,0.5511800050735474
0,400,15,64,0.010179627686738968,0.04849740117788315,0.7016865611076355
5,360,0,64,0.003968740813434124,0.03609512001276016,0.5052987337112427
5,360,1,64,0.03701988607645035,0.1680130660533905,1.2457802295684814
5,360,2,32,0.005568386055529118,0.040120452642440796,0.36054354906082153
5,360,3,32,0.005552865564823151,0.04989592730998993,0.278584361076355
5,360,4,16,0.01349194161593914,0.06903775036334991,0.5341309309005737
5,360,5,16,0.05435597896575928,0.20779995620250702,0.7098347544670105
5,360,6,8,0.02580549567937851,0.11125465482473373,0.820695161819458
5,360,7,16,0.030198611319065094,0.1809137612581253,0.2563021779060364
5,360,8,16,0.05618312582373619,0.32764944434165955,0.22445036470890045
5,360,9,16,0.024325523525476456,0.20652662217617035,0.14324170351028442
5,360,10,32,0.00019273989892099053,0.02188883163034916,0.005129193887114525
5,360,11,32,0.0009439667919650674,0.03755593299865723,0.1307540237903595
5,360,12,32,0.007296026684343815,0.054933927953243256,0.1209099143743515
5,360,13,64,0.06292165070772171,0.15194913744926453,1.4481391906738281
5,360,14,64,0.012632539495825768,0.07291693985462189,0.5396295785903931
5,360,15,64,0.009951009415090084,0.04892885684967041,0.7045454978942871
10,320,0,64,0.0038455671165138483,0.03993469476699829,0.4835647642612457
10,320,1,64,0.03733750432729721,0.17038744688034058,1.2189812660217285
10,320,2,32,0.005394498817622662,0.03731592744588852,0.33411741256713867
10,320,3,32,0.005186945199966431,0.04294537752866745,0.2764813005924225
10,320,4,16,0.012227948755025864,0.06318342685699463,0.5055710673332214
10,320,5,16,0.05052872747182846,0.19259370863437653,0.6992083191871643
10,320,6,8,0.02566300332546234,0.1096448004245758,0.7916123867034912
10,320,7,16,0.029110273346304893,0.1805158108472824,0.24485498666763306
10,320,8,16,0.05432087182998657,0.3153846263885498,0.22210535407066345
10,320,9,16,0.02210356295108795,0.19801923632621765,0.13308238983154297
10,320,10,32,0.00018035390530712903,0.021318158134818077,0.0047400640323758125
10,320,11,32,0.0009217583574354649,0.035579223185777664,0.12657704949378967
10,320,12,32,0.009330791421234608,0.06619806587696075,0.12899991869926453
10,320,13,64,0.0662338137626648,0.16245222091674805,1.428789734840393
10,320,14,64,0.012485756538808346,0.07299651205539703,0.5306321382522583
10,320,15,64,0.009674808010458946,0.04785585403442383,0.7008802890777588
15,280,0,64,0.003765538800507784,0.04442235082387924,0.46321335434913635
15,280,1,64,0.03719685971736908,0.16837477684020996,1.1818773746490479
15,280,2,32,0.005289072636514902,0.033381495624780655,0.3108586072921753
15,280,3,32,0.004960821941494942,0.04624808207154274,0.2750455141067505
15,280,4,16,0.011346044950187206,0.05761278420686722,0.47942453622817993
15,280,5,16,0.046774547547101974,0.1817304641008377,0.6845419406890869
15,280,6,8,0.02571508288383484,0.10777799785137177,0.7615994215011597
15,280,7,16,0.027326973155140877,0.1780185103416443,0.2320895791053772
15,280,8,16,0.051493555307388306,0.3020499646663666,0.2144414782524109
15,280,9,16,0.01963583193719387,0.185954287648201,0.12213048338890076
15,280,10,32,0.00017383313388563693,0.0246605034917593,0.004528624005615711
15,280,11,32,0.0009184443624690175,0.034065794199705124,0.12402664870023727
15,280,12,32,0.010561106726527214,0.07497742027044296,0.13235768675804138
15,280,13,64,0.07046537846326828,0.1838454306125641,1.4186638593673706
15,280,14,64,0.012038856744766235,0.06394999474287033,0.5209044218063354
15,280,15,64,0.009386428631842136,0.04678386449813843,0.6917303800582886
20,240,0,64,0.0036874539218842983,0.04973839223384857,0.4421500265598297
20,240,1,64,0.03654882311820984,0.16050484776496887,1.1337692737579346
20,240,2,32,0.005216564051806927,0.030200541019439697,0.28871291875839233
20,240,3,32,0.004891176708042622,0.0501953661441803,0.2738150954246521
20,240,4,16,0.01062083151191473,0.051260389387607574,0.455140620470047
20,240,5,16,0.04282961040735245,0.16396044194698334,0.6646048426628113
20,240,6,8,0.02548222802579403,0.10332249850034714,0.7312124967575073
20,240,7,16,0.02481495589017868,0.17513664066791534,0.21685928106307983
20,240,8,16,0.04911147803068161,0.29399433732032776,0.20665580034255981
20,240,9,16,0.017371661961078644,0.17304165661334991,0.11194145679473877
20,240,10,32,0.00016721469000913203,0.027285698801279068,0.004365125205367804
20,240,11,32,0.0009115895954892039,0.031041720882058144,0.12341906875371933
20,240,12,32,0.010505305603146553,0.07746326923370361,0.1288677155971527
20,240,13,64,0.07567214965820312,0.19583062827587128,1.4158053398132324
20,240,14,64,0.011355103924870491,0.06714393943548203,0.5127485990524292
20,240,15,64,0.00909294094890356,0.046113647520542145,0.6770298480987549
25,200,0,64,0.0036073685623705387,0.05600491166114807,0.4197089970111847
25,200,1,64,0.03528698533773422,0.15393558144569397,1.0719493627548218
25,200,2,32,0.005105271004140377,0.02821718156337738,0.26699984073638916
25,200,3,32,0.004878742154687643,0.054224900901317596,0.27096477150917053
25,200,4,16,0.009869853034615517,0.054203543812036514,0.4318479299545288
25,200,5,16,0.0385744646191597,0.1485639214515686,0.6366909146308899
25,200,6,8,0.02548961341381073,0.1040693148970604,0.7062422037124634
25,200,7,16,0.022781068459153175,0.1713467389345169,0.20297901332378387
25,200,8,16,0.04684354364871979,0.2888198494911194,0.1976505070924759
25,200,9,16,0.015400196425616741,0.16205428540706635,0.10251880437135696
25,200,10,32,0.0001589563034940511,0.02772197313606739,0.004274483770132065
25,200,11,32,0.0008884795824997127,0.026899227872490883,0.12107168138027191
25,200,12,32,0.009755820035934448,0.07492539286613464,0.12214158475399017
25,200,13,64,0.08184109628200531,0.1987740695476532,1.4184093475341797
25,200,14,64,0.010492652654647827,0.07338491082191467,0.503951907157898
