step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.004216405563056469,0.03332408890128136,0.6012480854988098
0,400,1,64,0.026425866410136223,0.10083179175853729,1.1508207321166992
0,400,2,32,0.002731949556618929,0.02781316265463829,0.5131943225860596
0,400,3,32,0.008176248520612717,0.1225246712565422,0.3116609454154968
0,400,4,16,0.017380133271217346,0.09605791419744492,0.503888726234436
0,400,5,16,0.03309964761137962,0.24968016147613525,0.5980916023254395
0,400,6,8,0.029592664912343025,0.14462682604789734,0.9800439476966858
0,400,7,16,0.019571606069803238,0.1488502472639084,0.3960384726524353
0,400,8,16,0.03874409571290016,0.4556272029876709,0.26457589864730835
0,400,9,16,0.02871754765510559,0.46493858098983765,0.34111732244491577
0,400,10,32,0.00021004433801863343,0.0159774050116539,0.008520730771124363
0,400,11,32,0.0011524632573127747,0.04403552785515785,0.1194332018494606
0,400,12,32,0.004733876325190067,0.09894921630620956,0.22292983531951904
0,400,13,64,0.03679795563220978,0.1586414873600006,1.5127840042114258
0,400,14,64,0.010329950600862503,0.13380658626556396,0.5270888805389404
0,400,15,64,0.008289995603263378,0.13084352016448975,0.6310161352157593
5,360,0,64,0.004138872027397156,0.03418854624032974,0.5607576966285706
5,360,1,64,0.0273128654807806,0.10387381911277771,1.1364349126815796
5,360,2,32,0.0026929036248475313,0.03765526041388512,0.4450111985206604
5,360,3,32,0.007783646695315838,0.12277363240718842,0.304767370223999
5,360,4,16,0.018455198034644127,0.12564341723918915,0.4954381585121155
5,360,5,16,0.03138516843318939,0.26793810725212097,0.5585680603981018
5,360,6,8,0.02681630477309227,0.14040760695934296,0.874639630317688
5,360,7,16,0.017986346036195755,0.15116792917251587,0.35712504386901855
5,360,8,16,0.03705482557415962,0.4357587695121765,0.24668464064598083
5,360,9,16,0.0307147316634655,0.47935751080513,0.3060958981513977
5,360,10,32,0.00021856636158190668,0.032842494547367096,0.008775112219154835
5,360,11,32,0.0011555469827726483,0.06349027156829834,0.1134457066655159
5,360,12,32,0.004981369711458683,0.15971173346042633,0.19927829504013062
5,360,13,64,0.03920479863882065,0.14039859175682068,1.489127516746521
5,360,14,64,0.009393453598022461,0.12768025696277618,0.5141485929489136
5,360,15,64,0.00762602686882019,0.11484401673078537,0.6213405132293701
10,320,0,64,0.004108034074306488,0.03502234071493149,0.5233738422393799
10,320,1,64,0.028485268354415894,0.10693158209323883,1.1229588985443115
10,320,2,32,0.0028580925427377224,0.079373799264431,0.38495737314224243
10,320,3,32,0.007161328569054604,0.1189754456281662,0.2894012928009033
10,320,4,16,0.01851695403456688,0.14299161732196808,0.4736284613609314
10,320,5,16,0.02730966918170452,0.24415120482444763,0.5230903625488281
10,320,6,8,0.025840844959020615,0.13946256041526794,0.8163222074508667
10,320,7,16,0.017268311232328415,0.16018013656139374,0.3326345384120941
10,320,8,16,0.036263104528188705,0.4459041357040405,0.2391468733549118
10,320,9,16,0.030471457168459892,0.48005202412605286,0.275851845741272
10,320,10,32,0.00021005298185627908,0.026808610185980797,0.008971776813268661
10,320,11,32,0.0011760243214666843,0.06343686580657959,0.10814893245697021
10,320,12,32,0.0046139368787407875,0.17984074354171753,0.17542797327041626
10,320,13,64,0.0422394797205925,0.17264384031295776,1.4723788499832153
10,320,14,64,0.008599333465099335,0.12788712978363037,0.5007898807525635
