image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
shiba_00,add,human,identity,0.19292,0.08999,0.19292,0.08999,1.0,0.7,False,142.6
shiba_00,add,human,blur1,0.2638,0.05617,0.19292,0.08999,1.36742,0.7,False,142.6
shiba_00,add,human,noise0.05,0.55311,0.07534,0.19292,0.08999,2.86711,0.7,False,142.6
shiba_00,add,human,quantize16,0.32634,0.09737,0.19292,0.08999,1.69159,0.7,False,142.6
shiba_00,add,human,jpeg75,0.12502,0.11071,0.19292,0.08999,0.64804,0.7,False,142.6
shiba_00,add,human,jpeg30,0.17878,0.08092,0.19292,0.08999,0.92671,0.7,False,142.6
shiba_00,add,human,crop_resize0.1,0.49141,0.06133,0.19292,0.08999,2.54724,0.7,False,142.6
shiba_00,add,human,jpeg_then_resize75,0.19664,0.065,0.19292,0.08999,1.01929,0.7,False,142.6
shiba_00,add,human,adverse_cleaner,0.13962,0.0288,0.19292,0.08999,0.72372,0.7,False,142.6
shiba_00,phase,human,identity,0.60708,0.04696,0.60708,0.04696,1.0,0.7,True,142.7
shiba_00,phase,human,blur1,0.38576,0.10584,0.60708,0.04696,0.63543,0.7,True,142.7
shiba_00,phase,human,noise0.05,0.65483,0.06482,0.60708,0.04696,1.07865,0.7,True,142.7
shiba_00,phase,human,quantize16,0.49849,0.06448,0.60708,0.04696,0.82112,0.7,True,142.7
shiba_00,phase,human,jpeg75,0.29006,0.08739,0.60708,0.04696,0.47779,0.7,True,142.7
shiba_00,phase,human,jpeg30,0.25777,0.09097,0.60708,0.04696,0.4246,0.7,True,142.7
shiba_00,phase,human,crop_resize0.1,0.52165,0.0778,0.60708,0.04696,0.85927,0.7,True,142.7
shiba_00,phase,human,jpeg_then_resize75,0.2964,0.05965,0.60708,0.04696,0.48824,0.7,True,142.7
shiba_00,phase,human,adverse_cleaner,0.4747,0.06544,0.60708,0.04696,0.78194,0.7,True,142.7
shiba_00,phase_rand,human,identity,0.09689,0.03818,0.09689,0.03818,1.0,0.7,False,142.8
shiba_00,phase_rand,human,blur1,0.25508,0.03315,0.09689,0.03818,2.63273,0.7,False,142.8
shiba_00,phase_rand,human,noise0.05,0.57159,0.03778,0.09689,0.03818,5.8995,0.7,False,142.8
shiba_00,phase_rand,human,quantize16,0.28616,0.0951,0.09689,0.03818,2.95354,0.7,False,142.8
shiba_00,phase_rand,human,jpeg75,0.11438,0.05339,0.09689,0.03818,1.18056,0.7,False,142.8
shiba_00,phase_rand,human,jpeg30,0.18229,0.05247,0.09689,0.03818,1.88146,0.7,False,142.8
shiba_00,phase_rand,human,crop_resize0.1,0.44471,0.01517,0.09689,0.03818,4.58994,0.7,False,142.8
shiba_00,phase_rand,human,jpeg_then_resize75,0.18762,0.0372,0.09689,0.03818,1.93649,0.7,False,142.8
shiba_00,phase_rand,human,adverse_cleaner,0.17687,0.05976,0.09689,0.03818,1.82548,0.7,False,142.8
shiba_00,apa_weak,native,identity,0.26101,0.06453,0.26101,0.06453,1.0,0.7,True,142.8
shiba_00,apa_weak,native,blur1,0.37147,0.05714,0.26101,0.06453,1.42321,0.7,True,142.8
shiba_00,apa_weak,native,noise0.05,0.71561,0.06652,0.26101,0.06453,2.74175,0.7,True,142.8
shiba_00,apa_weak,native,quantize16,0.38056,0.04787,0.26101,0.06453,1.45806,0.7,True,142.8
shiba_00,apa_weak,native,jpeg75,0.25402,0.05245,0.26101,0.06453,0.97323,0.7,True,142.8
shiba_00,apa_weak,native,jpeg30,0.31788,0.06176,0.26101,0.06453,1.21792,0.7,True,142.8
shiba_00,apa_weak,native,crop_resize0.1,0.44522,0.01259,0.26101,0.06453,1.70578,0.7,True,142.8
shiba_00,apa_weak,native,jpeg_then_resize75,0.2975,0.01734,0.26101,0.06453,1.13982,0.7,True,142.8
shiba_00,apa_weak,native,adverse_cleaner,0.33761,0.03509,0.26101,0.06453,1.29351,0.7,True,142.8
shiba_00,mist,native,identity,0.7341,0.03046,0.7341,0.03046,1.0,0.7,True,142.8
shiba_00,mist,native,blur1,0.53787,0.07966,0.7341,0.03046,0.73268,0.7,True,142.8
shiba_00,mist,native,noise0.05,0.74983,0.00475,0.7341,0.03046,1.02142,0.7,True,142.8
shiba_00,mist,native,quantize16,0.72726,0.02845,0.7341,0.03046,0.99067,0.7,True,142.8
shiba_00,mist,native,jpeg75,0.65527,0.03626,0.7341,0.03046,0.89261,0.7,True,142.8
shiba_00,mist,native,jpeg30,0.41564,0.14271,0.7341,0.03046,0.56619,0.7,True,142.8
shiba_00,mist,native,crop_resize0.1,0.68034,0.03872,0.7341,0.03046,0.92676,0.7,True,142.8
shiba_00,mist,native,jpeg_then_resize75,0.39429,0.12339,0.7341,0.03046,0.5371,0.7,True,142.8
shiba_00,mist,native,adverse_cleaner,0.70792,0.02051,0.7341,0.03046,0.96434,0.7,True,142.8
shiba_00,dia_r,native,identity,0.27427,0.10713,0.27427,0.10713,1.0,0.7,False,142.8
shiba_00,dia_r,native,blur1,0.24269,0.04286,0.27427,0.10713,0.88483,0.7,False,142.8
shiba_00,dia_r,native,noise0.05,0.56608,0.10188,0.27427,0.10713,2.06392,0.7,False,142.8
shiba_00,dia_r,native,quantize16,0.39731,0.11736,0.27427,0.10713,1.44859,0.7,False,142.8
shiba_00,dia_r,native,jpeg75,0.15655,0.08649,0.27427,0.10713,0.57079,0.7,False,142.8
shiba_00,dia_r,native,jpeg30,0.16418,0.05722,0.27427,0.10713,0.5986,0.7,False,142.8
shiba_00,dia_r,native,crop_resize0.1,0.48623,0.04827,0.27427,0.10713,1.77277,0.7,False,142.8
shiba_00,dia_r,native,jpeg_then_resize75,0.20993,0.09251,0.27427,0.10713,0.76541,0.7,False,142.8
shiba_00,dia_r,native,adverse_cleaner,0.18197,0.06487,0.27427,0.10713,0.66346,0.7,False,142.8
shiba_00,photoguard_c,native,identity,0.46539,0.03262,0.46539,0.03262,1.0,0.7,True,142.8
shiba_00,photoguard_c,native,blur1,0.32261,0.10754,0.46539,0.03262,0.6932,0.7,True,142.8
shiba_00,photoguard_c,native,noise0.05,0.57346,0.11316,0.46539,0.03262,1.2322,0.7,True,142.8
shiba_00,photoguard_c,native,quantize16,0.34396,0.04691,0.46539,0.03262,0.73908,0.7,True,142.8
shiba_00,photoguard_c,native,jpeg75,0.16518,0.09112,0.46539,0.03262,0.35492,0.7,True,142.8
