image,condition,purifier,clip,siglip,clip_orig_image,siglip_orig_image
person_a_00,add,adverse_cleaner,0.36077,0.14082,0.20335,0.04144
person_a_00,add,blur1,0.37518,0.1481,0.20335,0.04144
person_a_00,add,crop_resize0.1,0.35354,0.13966,0.20335,0.04144
person_a_00,add,identity,0.36249,0.1444,0.20335,0.04144
person_a_00,add,jpeg30,0.36675,0.14011,0.20335,0.04144
person_a_00,add,jpeg75,0.36099,0.14875,0.20335,0.04144
person_a_00,add,jpeg_then_resize75,0.37095,0.1396,0.20335,0.04144
person_a_00,add,noise0.05,0.37148,0.14152,0.20335,0.04144
person_a_00,add,quantize16,0.35909,0.13699,0.20335,0.04144
person_a_00,apa_weak,adverse_cleaner,0.36006,0.13985,0.20335,0.04144
person_a_00,apa_weak,blur1,0.37663,0.14521,0.20335,0.04144
person_a_00,apa_weak,crop_resize0.1,0.3553,0.13701,0.20335,0.04144
person_a_00,apa_weak,identity,0.37171,0.14569,0.20335,0.04144
person_a_00,apa_weak,jpeg30,0.38982,0.14705,0.20335,0.04144
person_a_00,apa_weak,jpeg75,0.37289,0.13567,0.20335,0.04144
person_a_00,apa_weak,jpeg_then_resize75,0.36777,0.14562,0.20335,0.04144
person_a_00,apa_weak,noise0.05,0.31242,0.10775,0.20335,0.04144
person_a_00,apa_weak,quantize16,0.36428,0.15025,0.20335,0.04144
person_a_00,dia_r,adverse_cleaner,0.37608,0.14994,0.20335,0.04144
person_a_00,dia_r,blur1,0.37746,0.14015,0.20335,0.04144
person_a_00,dia_r,crop_resize0.1,0.37104,0.14399,0.20335,0.04144
person_a_00,dia_r,identity,0.36954,0.14587,0.20335,0.04144
person_a_00,dia_r,jpeg30,0.36833,0.13785,0.20335,0.04144
person_a_00,dia_r,jpeg75,0.36593,0.15215,0.20335,0.04144
person_a_00,dia_r,jpeg_then_resize75,0.36961,0.14338,0.20335,0.04144
person_a_00,dia_r,noise0.05,0.37587,0.143,0.20335,0.04144
person_a_00,dia_r,quantize16,0.37303,0.13781,0.20335,0.04144
person_a_00,mist,adverse_cleaner,0.30972,0.12336,0.20335,0.04144
person_a_00,mist,blur1,0.35281,0.13884,0.20335,0.04144
person_a_00,mist,crop_resize0.1,0.33141,0.10545,0.20335,0.04144
person_a_00,mist,identity,0.33054,0.15265,0.20335,0.04144
person_a_00,mist,jpeg30,0.3556,0.12899,0.20335,0.04144
person_a_00,mist,jpeg75,0.32724,0.12798,0.20335,0.04144
person_a_00,mist,jpeg_then_resize75,0.35377,0.13267,0.20335,0.04144
person_a_00,mist,noise0.05,0.35265,0.13613,0.20335,0.04144
person_a_00,mist,quantize16,0.31833,0.14013,0.20335,0.04144
person_a_00,phase,adverse_cleaner,0.36011,0.14228,0.20335,0.04144
person_a_00,phase,blur1,0.3816,0.14161,0.20335,0.04144
person_a_00,phase,crop_resize0.1,0.34353,0.12025,0.20335,0.04144
person_a_00,phase,identity,0.36519,0.14519,0.20335,0.04144
person_a_00,phase,jpeg30,0.35257,0.15268,0.20335,0.04144
person_a_00,phase,jpeg75,0.37889,0.13908,0.20335,0.04144
person_a_00,phase,jpeg_then_resize75,0.36108,0.14329,0.20335,0.04144
person_a_00,phase,noise0.05,0.34236,0.13165,0.20335,0.04144
person_a_00,phase,quantize16,0.35386,0.12899,0.20335,0.04144
person_a_00,phase_rand,adverse_cleaner,0.36614,0.14292,0.20335,0.04144
person_a_00,phase_rand,blur1,0.3707,0.14433,0.20335,0.04144
person_a_00,phase_rand,crop_resize0.1,0.3396,0.12494,0.20335,0.04144
person_a_00,phase_rand,identity,0.36423,0.15074,0.20335,0.04144
person_a_00,phase_rand,jpeg30,0.35232,0.12478,0.20335,0.04144
person_a_00,phase_rand,jpeg75,0.37164,0.14802,0.20335,0.04144
person_a_00,phase_rand,jpeg_then_resize75,0.36367,0.14129,0.20335,0.04144
person_a_00,phase_rand,noise0.05,0.37582,0.14674,0.20335,0.04144
person_a_00,phase_rand,quantize16,0.35941,0.15485,0.20335,0.04144
person_a_00,photoguard_c,adverse_cleaner,0.36974,0.13105,0.20335,0.04144
person_a_00,photoguard_c,blur1,0.35611,0.14762,0.20335,0.04144
person_a_00,photoguard_c,crop_resize0.1,0.30627,0.08267,0.20335,0.04144
person_a_00,photoguard_c,identity,0.37531,0.15193,0.20335,0.04144
person_a_00,photoguard_c,jpeg30,0.3696,0.15102,0.20335,0.04144
person_a_00,photoguard_c,jpeg75,0.37316,0.14221,0.20335,0.04144
person_a_00,photoguard_c,jpeg_then_resize75,0.38438,0.14193,0.20335,0.04144
person_a_00,photoguard_c,noise0.05,0.36928,0.14017,0.20335,0.04144
person_a_00,photoguard_c,quantize16,0.33774,0.12568,0.20335,0.04144
