image,condition,budget_target,variant,effect_mean,effect_sd,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,amp_dev,clip_fraction,clip_mean,clip_max,scale,unreachable,edit_strength,seconds
person_a_00,add,human,full,0.39668,0.03564,0.22704,0.00614,48.909,0.99806,0.00392,0.00358,0.00413,0.0,0.0,0.0,1.0,False,0.7,17.2
person_a_00,add,human,amp,0.3078,0.12042,0.08899,0.00212,51.949,0.99904,0.01159,0.00252,0.004108,0.014463,1.974e-05,0.006967,1.0,False,0.7,33.2
person_a_00,add,human,pha,0.31577,0.11597,0.09835,0.00168,51.851,0.99902,0.01046,0.00255,0.000286,0.017699,2.547e-05,0.007235,1.0,False,0.7,49.5
person_a_00,add,human,amp_s,0.3841,0.07476,0.14904,0.00614,48.563,0.99791,0.01713,0.00373,0.006053,0.015692,3.134e-05,0.010301,1.47852,False,0.7,66.0
person_a_00,add,human,pha_s,0.41082,0.05476,0.17037,0.00614,47.973,0.99762,0.01637,0.00399,0.000862,0.019671,4.363e-05,0.011327,1.56543,False,0.7,82.3
person_a_00,phase,human,full,0.52159,0.06256,0.20414,0.03671,33.264,0.97419,0.33333,0.02172,0.02468,0.0,0.0,0.0,1.0,False,0.7,17.2
person_a_00,phase,human,amp,0.38264,0.09112,0.23015,0.08054,36.457,0.96278,0.18258,0.01504,0.024428,0.026711,0.00020281,0.039058,1.0,False,0.7,33.3
person_a_00,phase,human,pha,0.44843,0.05464,0.28617,0.0857,35.235,0.95396,0.19446,0.01731,0.002382,0.030656,0.00027192,0.051455,1.0,False,0.7,49.4
person_a_00,phase,human,amp_s,0.23205,0.03833,0.12425,0.03667,41.279,0.98735,0.10466,0.00863,0.014031,0.022467,9.921e-05,0.02239,0.57324,False,0.7,65.5
person_a_00,phase,human,pha_s,0.36247,0.08179,0.13966,0.03669,41.07,0.98736,0.09913,0.00884,0.004682,0.024705,0.00011249,0.02623,0.50977,False,0.7,81.6
person_a_00,phase_rand,human,full,0.04283,0.0146,0.06678,0.04823,34.215,0.97549,0.28627,0.01946,0.022431,0.0,0.0,0.0,1.0,False,0.7,17.1
person_a_00,phase_rand,human,amp,0.1925,0.06449,0.19058,0.07275,37.287,0.96788,0.16715,0.01367,0.022205,0.02662,0.00018422,0.036109,1.0,False,0.7,33.4
person_a_00,phase_rand,human,pha,0.20222,0.05255,0.21306,0.08553,36.408,0.96099,0.17369,0.01512,0.002109,0.029392,0.00023606,0.049804,1.0,False,0.7,49.8
person_a_00,phase_rand,human,amp_s,0.12794,0.01596,0.1424,0.04819,39.734,0.98137,0.12601,0.01031,0.016759,0.024323,0.00012799,0.027223,0.75391,False,0.7,66.2
person_a_00,phase_rand,human,pha_s,0.10609,0.02918,0.13815,0.04825,40.263,0.98332,0.11127,0.0097,0.003427,0.025597,0.00013126,0.031906,0.64062,False,0.7,82.5
person_b_00,add,human,full,0.37467,0.10119,0.18216,0.0085,48.851,0.99779,0.00392,0.00361,0.004795,0.0,0.0,0.0,1.0,False,0.7,17.3
person_b_00,add,human,amp,0.26665,0.12774,0.05608,0.00239,51.866,0.99892,0.01061,0.00255,0.004795,0.0,0.0,0.0,1.0,False,0.7,33.5
person_b_00,add,human,pha,0.27039,0.12808,0.0654,0.00273,51.703,0.99888,0.01036,0.0026,0.0,0.0,0.0,0.0,1.0,False,0.7,49.6
person_b_00,add,human,amp_s,0.3953,0.11579,0.13349,0.00851,47.467,0.99702,0.01761,0.00423,0.007925,0.0,0.0,0.0,1.66016,False,0.7,65.8
person_b_00,add,human,pha_s,0.38868,0.11027,0.14234,0.00851,47.547,0.99709,0.01672,0.00419,0.000919,0.0,0.0,0.0,1.61426,False,0.7,82.1
person_b_00,phase,human,full,0.57888,0.04952,0.26239,0.03253,35.871,0.96805,0.23137,0.01609,0.020749,0.0,0.0,0.0,1.0,False,0.7,17.2
person_b_00,phase,human,amp,0.39435,0.12995,0.17137,0.04504,39.147,0.97617,0.10828,0.01103,0.020749,0.0,0.0,0.0,1.0,False,0.7,33.5
person_b_00,phase,human,pha,0.44129,0.12679,0.25461,0.05205,37.498,0.96786,0.14163,0.01334,0.0,0.0,0.0,0.0,1.0,False,0.7,49.8
person_b_00,phase,human,amp_s,0.31958,0.15958,0.12221,0.03253,41.324,0.98552,0.08427,0.00859,0.01615,0.0,0.0,0.0,0.77832,False,0.7,66.0
person_b_00,phase,human,pha_s,0.37458,0.12473,0.15874,0.0325,41.221,0.98616,0.09225,0.00869,0.003718,0.0,0.0,0.0,0.65137,False,0.7,82.2
person_b_00,phase_rand,human,full,0.12534,0.04595,0.06822,0.03115,36.989,0.97401,0.16471,0.01414,0.018908,0.0,0.0,0.0,1.0,False,0.7,17.1
person_b_00,phase_rand,human,amp,0.29678,0.16259,0.11372,0.04364,39.954,0.97998,0.09183,0.01005,0.018908,0.0,0.0,0.0,1.0,False,0.7,33.2
person_b_00,phase_rand,human,pha,0.33429,0.13135,0.1285,0.0445,39.027,0.97515,0.10876,0.01119,0.0,0.0,0.0,0.0,1.0,False,0.7,49.4
person_b_00,phase_rand,human,amp_s,0.26326,0.15718,0.08219,0.03116,42.153,0.98792,0.07129,0.0078,0.014679,0.0,0.0,0.0,0.77637,False,0.7,65.5
person_b_00,phase_rand,human,pha_s,0.29698,0.13434,0.09661,0.03115,41.192,0.98475,0.08476,0.00872,0.001891,0.0,0.0,0.0,0.7793,False,0.7,81.7
person_a_00,apa_weak,native,full,0.34437,0.08553,0.14428,0.07009,22.067,0.88161,0.58824,0.07882,0.112887,0.0,0.0,0.0,1.0,False,0.7,17.2
person_a_00,apa_weak,native,amp,0.48072,0.05084,0.30247,0.13859,23.189,0.88847,0.29563,0.06927,0.112887,2.2e-05,9e-08,0.024795,1.0,False,0.7,33.4
person_a_00,apa_weak,native,pha,0.38712,0.11148,0.31824,0.10309,27.219,0.88446,0.47935,0.04356,0.020889,0.086777,0.00403596,0.197781,1.0,False,0.7,49.6
person_a_00,apa_weak,native,amp_s,0.4178,0.0685,0.18475,0.07007,27.45,0.95582,0.18101,0.04241,0.069121,2e-05,5e-08,0.015182,0.6123,False,0.7,65.8
person_a_00,apa_weak,native,pha_s,0.35164,0.10607,0.24612,0.07007,30.392,0.94001,0.33142,0.03023,0.018637,0.080224,0.00260532,0.136747,0.69141,False,0.7,82.0
person_a_00,mist,native,full,0.69047,0.02318,0.65375,0.19184,26.62,0.78723,0.06275,0.04667,0.057982,0.0,0.0,0.0,1.0,False,0.7,17.1
person_a_00,mist,native,amp,0.51778,0.04582,0.42451,0.13423,29.01,0.88295,0.28793,0.03544,0.057709,0.012596,0.000192,0.194369,1.0,False,0.7,33.2
person_a_00,mist,native,pha,0.49638,0.04376,0.45936,0.15871,31.169,0.87136,0.18013,0.02764,0.003387,0.02692,0.00036232,0.066191,1.0,False,0.7,49.3
person_a_00,mist,native,amp_s,0.56903,0.06275,0.54604,0.19182,24.873,0.75992,0.43922,0.05706,0.092269,0.016853,0.00043361,0.38392,1.61523,False,0.7,65.4
person_a_00,mist,native,pha_s,0.57499,0.04827,0.52603,0.19182,28.867,0.80663,0.23518,0.03603,0.009623,0.030539,0.00054242,0.086423,1.30566,False,0.7,81.5
person_a_00,dia_r,native,full,0.40406,0.07401,0.31821,0.0407,40.857,0.9861,0.02353,0.00906,0.01037,0.0,0.0,0.0,1.0,False,0.7,17.1
person_a_00,dia_r,native,amp,0.25788,0.06378,0.1552,0.01842,43.955,0.99323,0.04051,0.00634,0.010323,0.012646,3.738e-05,0.021207,1.0,False,0.7,33.3
person_a_00,dia_r,native,pha,0.29842,0.047,0.18372,0.02198,43.815,0.9929,0.02933,0.00644,0.0006,0.01623,4.999e-05,0.017792,1.0,False,0.7,49.5
person_a_00,dia_r,native,amp_s,0.37838,0.1193,0.2339,0.04069,39.746,0.98254,0.06587,0.0103,0.016615,0.016012,7.845e-05,0.034482,1.62598,False,0.7,65.7
person_a_00,dia_r,native,pha_s,0.41813,0.08865,0.24919,0.04068,40.625,0.98543,0.04242,0.00931,0.002232,0.019536,8.738e-05,0.025733,1.44629,False,0.7,81.9
