step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.009212675504386425,0.05326832830905914,0.7706325054168701
0,600,1,64,0.032392337918281555,0.11073270440101624,1.1947205066680908
0,600,2,32,0.009279204532504082,0.05002979189157486,0.7236574292182922
0,600,3,32,0.01386963203549385,0.05962774157524109,0.4484645128250122
0,600,4,16,0.037865422666072845,0.15467718243598938,0.8094074726104736
0,600,5,16,0.051863402128219604,0.1970873773097992,0.7690709829330444
0,600,6,8,0.06709685921669006,0.16323278844356537,1.5475080013275146
0,600,7,16,0.06222018226981163,0.29111307859420776,0.6341338753700256
0,600,8,16,0.03119221329689026,0.2562214732170105,0.18535557389259338
0,600,9,16,0.022771049290895462,0.2281944453716278,0.23774778842926025
0,600,10,32,0.0004038508632220328,0.030586328357458115,0.012194298207759857
0,600,11,32,0.001934737665578723,0.032358549535274506,0.13036373257637024
0,600,12,32,0.00941779837012291,0.12683561444282532,0.33688294887542725
0,600,13,64,0.049665287137031555,0.16200245916843414,1.465019941329956
0,600,14,64,0.014678542502224445,0.10044263303279877,0.43854427337646484
0,600,15,64,0.012540760450065136,0.041723720729351044,0.6272598505020142
5,540,0,64,0.00969703309237957,0.06483615189790726,0.7245392203330994
5,540,1,64,0.03415782004594803,0.13630950450897217,1.1915827989578247
5,540,2,32,0.009616067633032799,0.05683833733201027,0.6430727243423462
5,540,3,32,0.0141008161008358,0.0698157548904419,0.4352390766143799
5,540,4,16,0.03357827663421631,0.12735310196876526,0.693856418132782
5,540,5,16,0.05461421608924866,0.24487236142158508,0.7348583936691284
5,540,6,8,0.05976405739784241,0.16138918697834015,1.3667008876800537
5,540,7,16,0.0542432926595211,0.3176232576370239,0.48421627283096313
5,540,8,16,0.03174017369747162,0.26102975010871887,0.18384329974651337
5,540,9,16,0.024114232510328293,0.3135930299758911,0.19211578369140625
5,540,10,32,0.000537920743227005,0.03935389965772629,0.014556379988789558
5,540,11,32,0.0029296809807419777,0.07305818796157837,0.13416960835456848
5,540,12,32,0.012167614884674549,0.15044334530830383,0.2764124870300293
5,540,13,64,0.060240112245082855,0.20015369355678558,1.4939446449279785
5,540,14,64,0.017941150814294815,0.13440129160881042,0.4528770446777344
5,540,15,64,0.012608415447175503,0.058672502636909485,0.6147322654724121
10,480,0,64,0.010798796080052853,0.07890571653842926,0.6818054914474487
