step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.00945074949413538,0.0424271821975708,0.8392468690872192
0,600,1,64,0.03260616958141327,0.10002371668815613,1.2280176877975464
0,600,2,32,0.01126035861670971,0.05474231392145157,0.7423714995384216
0,600,3,32,0.01614205725491047,0.08368001133203506,0.49996089935302734
0,600,4,16,0.03940172493457794,0.1587405949831009,0.791000485420227
0,600,5,16,0.04736051708459854,0.1883971095085144,0.7413507103919983
0,600,6,8,0.06716328114271164,0.16831304132938385,1.434357762336731
0,600,7,16,0.05919242277741432,0.27994388341903687,0.5601774454116821
0,600,8,16,0.030982136726379395,0.24232834577560425,0.16319438815116882
0,600,9,16,0.022399164736270905,0.21444053947925568,0.29580408334732056
0,600,10,32,0.0005621359450742602,0.028943700715899467,0.015970379114151
0,600,11,32,0.0021432354114949703,0.027989739552140236,0.15773507952690125
0,600,12,32,0.008513765409588814,0.09977689385414124,0.3262326717376709
0,600,13,64,0.046307094395160675,0.16520777344703674,1.472670078277588
0,600,14,64,0.01397794671356678,0.09122323244810104,0.46482446789741516
0,600,15,64,0.011725767515599728,0.06184171140193939,0.6055760383605957
5,540,0,64,0.00876914244145155,0.053472358733415604,0.777214765548706
5,540,1,64,0.03368355706334114,0.11310283839702606,1.228132963180542
5,540,2,32,0.010479788295924664,0.0706472098827362,0.6572710871696472
5,540,3,32,0.015491744503378868,0.08302156627178192,0.4626169800758362
5,540,4,16,0.03980773687362671,0.17990225553512573,0.7288598418235779
5,540,5,16,0.05350681394338608,0.22478759288787842,0.7260082364082336
5,540,6,8,0.06265158951282501,0.16148915886878967,1.248140573501587
5,540,7,16,0.05693617835640907,0.2478654682636261,0.43602654337882996
5,540,8,16,0.03440212830901146,0.25490692257881165,0.15415963530540466
5,540,9,16,0.023170605301856995,0.20912307500839233,0.18786312639713287
5,540,10,32,0.0006119414465501904,0.02831677347421646,0.01606273278594017
5,540,11,32,0.003961541224271059,0.13026919960975647,0.15144294500350952
5,540,12,32,0.01666094735264778,0.16289405524730682,0.31413426995277405
5,540,13,64,0.051081523299217224,0.1885034590959549,1.5103803873062134
5,540,14,64,0.017757665365934372,0.1663055419921875,0.49205490946769714
5,540,15,64,0.012466633692383766,0.10309970378875732,0.5999975204467773
10,480,0,64,0.008806413970887661,0.059665124863386154,0.7341256737709045
10,480,1,64,0.035067588090896606,0.13133172690868378,1.2122443914413452
10,480,2,32,0.010490911081433296,0.0866115391254425,0.58470219373703
10,480,3,32,0.014887223020195961,0.12425574660301208,0.4208313822746277
10,480,4,16,0.04114032909274101,0.16349749267101288,0.6936509609222412
10,480,5,16,0.04870499670505524,0.21815712749958038,0.6689908504486084
10,480,6,8,0.056366778910160065,0.15857458114624023,1.0607795715332031
10,480,7,16,0.05163043737411499,0.2375335544347763,0.36151987314224243
10,480,8,16,0.034960951656103134,0.2581982910633087,0.1484948843717575
10,480,9,16,0.024165086448192596,0.21582049131393433,0.17794696986675262
10,480,10,32,0.0006099820602685213,0.028202112764120102,0.014341115020215511
10,480,11,32,0.00469106063246727,0.1619441658258438,0.15458837151527405
10,480,12,32,0.0183821190148592,0.16289643943309784,0.28451216220855713
10,480,13,64,0.05432116612792015,0.20804619789123535,1.498807430267334
10,480,14,64,0.01709982007741928,0.19907426834106445,0.48250454664230347
10,480,15,64,0.012475963681936264,0.10762826353311539,0.5900686383247375
15,420,0,64,0.00900963693857193,0.07000893354415894,0.69012850522995
15,420,1,64,0.03690412640571594,0.16739456355571747,1.1920442581176758
15,420,2,32,0.010103829205036163,0.08970016986131668,0.5094712972640991
15,420,3,32,0.014179563149809837,0.13248537480831146,0.3882371783256531
15,420,4,16,0.040984831750392914,0.1562253087759018,0.6538144946098328
15,420,5,16,0.04348640516400337,0.20469367504119873,0.6148068904876709
15,420,6,8,0.051579441875219345,0.15694966912269592,0.9972733855247498
15,420,7,16,0.04385671764612198,0.23405975103378296,0.3217679560184479
15,420,8,16,0.03430521860718727,0.25429728627204895,0.14628049731254578
15,420,9,16,0.023695912212133408,0.22179250419139862,0.16576552391052246
15,420,10,32,0.000569554278627038,0.030522556975483894,0.01311738695949316
15,420,11,32,0.00442054308950901,0.13579940795898438,0.14499862492084503
15,420,12,32,0.01718416064977646,0.17067697644233704,0.2541515529155731
15,420,13,64,0.05946212261915207,0.23120129108428955,1.482832908630371
15,420,14,64,0.015280731953680515,0.17491385340690613,0.4732983708381653
15,420,15,64,0.011429117061197758,0.08547792583703995,0.5714564919471741
20,360,0,64,0.009156863205134869,0.10969747602939606,0.6399743556976318
20,360,1,64,0.038411617279052734,0.17375920712947845,1.1530745029449463
20,360,2,32,0.009227583184838295,0.08602737635374069,0.44085192680358887
20,360,3,32,0.01348099671304226,0.13184754550457,0.35563933849334717
20,360,4,16,0.03891580551862717,0.1600075364112854,0.609728217124939
20,360,5,16,0.0395965501666069,0.20441946387290955,0.5667554140090942
20,360,6,8,0.04836273193359375,0.1556190699338913,0.9297348260879517
20,360,7,16,0.03850192576646805,0.2245028018951416,0.2930450439453125
20,360,8,16,0.03277965635061264,0.25179773569107056,0.1445266604423523
20,360,9,16,0.02229297161102295,0.23447243869304657,0.15117564797401428
20,360,10,32,0.000528488599229604,0.04013422876596451,0.011372577399015427
20,360,11,32,0.0038599949330091476,0.10610546171665192,0.1325025111436844
20,360,12,32,0.015746915712952614,0.1676286906003952,0.22601599991321564
20,360,13,64,0.0647345632314682,0.25391775369644165,1.4652303457260132
20,360,14,64,0.01378277875483036,0.22741153836250305,0.46654051542282104
20,360,15,64,0.010636857710778713,0.07021643966436386,0.5559536814689636
25,300,0,64,0.009114081040024757,0.12355498969554901,0.585867166519165
25,300,1,64,0.039478760212659836,0.16322463750839233,1.0967073440551758
25,300,2,32,0.007990680634975433,0.0736522376537323,0.3786276876926422
25,300,3,32,0.012460656464099884,0.12475255131721497,0.3242682218551636
25,300,4,16,0.03574957326054573,0.1648746132850647,0.5581491589546204
25,300,5,16,0.03774159401655197,0.19886109232902527,0.5329136252403259
25,300,6,8,0.04407119005918503,0.15253232419490814,0.8399399518966675
25,300,7,16,0.03448642045259476,0.21142545342445374,0.26533472537994385
25,300,8,16,0.030968395993113518,0.2510128617286682,0.14142991602420807
