step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.010654731653630733,0.03911397606134415,0.860012412071228
0,600,1,64,0.03550945967435837,0.0923311859369278,1.2709019184112549
0,600,2,32,0.008447786793112755,0.07165492326021194,0.7708303928375244
0,600,3,32,0.011457474902272224,0.06999202817678452,0.40766680240631104
0,600,4,16,0.01709604635834694,0.09910786151885986,0.7597428560256958
0,600,5,16,0.010802464559674263,0.09836152195930481,0.4097382724285126
0,600,6,8,0.04903038218617439,0.16909478604793549,1.4026405811309814
0,600,7,16,0.01943151466548443,0.1282302737236023,0.49258267879486084
0,600,8,16,0.015100978314876556,0.10800058394670486,0.28163546323776245
0,600,9,16,0.007435690611600876,0.07589787989854813,0.24397924542427063
0,600,10,32,0.0004909386625513434,0.07196807861328125,0.006996667943894863
0,600,11,32,0.00390639528632164,0.12485939264297485,0.11966248601675034
0,600,12,32,0.008039342239499092,0.11843043565750122,0.2588011622428894
0,600,13,64,0.04152368754148483,0.14465780556201935,1.4948620796203613
0,600,14,64,0.01672828197479248,0.14748355746269226,0.6087906360626221
0,600,15,64,0.0122316163033247,0.027940671890974045,0.612942099571228
5,540,0,64,0.009713193401694298,0.03543553501367569,0.8053351640701294
5,540,1,64,0.03322766721248627,0.08552515506744385,1.195594310760498
5,540,2,32,0.008528871461749077,0.08780807256698608,0.7214086055755615
5,540,3,32,0.012295350432395935,0.10927101969718933,0.393548846244812
5,540,4,16,0.01708504557609558,0.09129675477743149,0.6956672072410583
5,540,5,16,0.008983984589576721,0.09050766378641129,0.3362778425216675
5,540,6,8,0.046817973256111145,0.1715085357427597,1.245161771774292
5,540,7,16,0.018992315977811813,0.1321660727262497,0.42354369163513184
5,540,8,16,0.012239621952176094,0.11887963116168976,0.2528039813041687
5,540,9,16,0.007982738316059113,0.06807071715593338,0.19864603877067566
5,540,10,32,0.0006589471595361829,0.08541884273290634,0.007186275906860828
5,540,11,32,0.005972563289105892,0.18534083664417267,0.12727037072181702
5,540,12,32,0.008141007274389267,0.12379289418458939,0.20859909057617188
5,540,13,64,0.04310212284326553,0.13999558985233307,1.4842734336853027
