step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.009387549944221973,0.05891986936330795,0.8442387580871582
0,600,1,64,0.03499109297990799,0.08751112222671509,1.2407021522521973
0,600,2,32,0.006705510430037975,0.06896686553955078,0.7110854983329773
0,600,3,32,0.010750976391136646,0.08544830977916718,0.3851314187049866
0,600,4,16,0.015421053394675255,0.08132519572973251,0.6756976842880249
0,600,5,16,0.011271296069025993,0.06003626435995102,0.3952207565307617
0,600,6,8,0.05089953541755676,0.17814753949642181,1.4491164684295654
0,600,7,16,0.01930466666817665,0.11988365650177002,0.40495187044143677
0,600,8,16,0.015543932095170021,0.09697025269269943,0.26647043228149414
0,600,9,16,0.009302036836743355,0.0957002267241478,0.21275103092193604
0,600,10,32,0.0005242170300334692,0.03742331638932228,0.008575808256864548
0,600,11,32,0.0037087914533913136,0.11919418722391129,0.1152295470237732
0,600,12,32,0.007091107778251171,0.08105945587158203,0.24931347370147705
0,600,13,64,0.04168055206537247,0.14314480125904083,1.5035662651062012
0,600,14,64,0.0172337107360363,0.19738954305648804,0.5773935317993164
0,600,15,64,0.012782318517565727,0.03346215561032295,0.6407339572906494
5,540,0,64,0.00877076294273138,0.0648953840136528,0.7942289710044861
5,540,1,64,0.03319898247718811,0.08048436045646667,1.1817398071289062
5,540,2,32,0.006256205029785633,0.08010754734277725,0.6193779110908508
5,540,3,32,0.011675740592181683,0.12092475593090057,0.3810252547264099
5,540,4,16,0.01560266688466072,0.08702864497900009,0.6096631288528442
5,540,5,16,0.011063514277338982,0.09586884081363678,0.38118040561676025
5,540,6,8,0.049163058400154114,0.17199262976646423,1.3405007123947144
5,540,7,16,0.019315514713525772,0.12333360314369202,0.3799636662006378
5,540,8,16,0.01371652539819479,0.13358862698078156,0.257907509803772
5,540,9,16,0.009624650701880455,0.10077018290758133,0.19120009243488312
5,540,10,32,0.0007866005762480199,0.1011519506573677,0.010520229116082191
5,540,11,32,0.003944724332541227,0.2025132179260254,0.09521256387233734
5,540,12,32,0.006828499026596546,0.10103589296340942,0.2088070809841156
5,540,13,64,0.04259377717971802,0.1791960597038269,1.4766600131988525
5,540,14,64,0.019494829699397087,0.22408539056777954,0.5756725072860718
5,540,15,64,0.012769609689712524,0.03943650424480438,0.636969804763794
10,480,0,64,0.008275818079710007,0.06684570759534836,0.734011173248291
10,480,1,64,0.032095953822135925,0.06933406740427017,1.127806305885315
10,480,2,32,0.006140816956758499,0.07777886837720871,0.5443713665008545
10,480,3,32,0.012012607418000698,0.12737326323986053,0.3720976710319519
10,480,4,16,0.0155489481985569,0.08959823846817017,0.5631912350654602
