step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.016400611028075218,0.047560837119817734,0.7044128179550171
0,600,1,64,0.04352954030036926,0.12261651456356049,1.305517315864563
0,600,2,32,0.009642203338444233,0.039491020143032074,0.5593606233596802
0,600,3,32,0.009633266367018223,0.04800570011138916,0.31910356879234314
0,600,4,16,0.027825022116303444,0.06568167358636856,0.6906230449676514
0,600,5,16,0.04650787264108658,0.14438210427761078,0.635074257850647
0,600,6,8,0.034893885254859924,0.11557403206825256,1.1943674087524414
0,600,7,16,0.032604679465293884,0.11426709592342377,0.35034042596817017
0,600,8,16,0.03552590310573578,0.12880155444145203,0.2527744770050049
0,600,9,16,0.00841232668608427,0.09182514250278473,0.15921573340892792
0,600,10,32,0.0007045582169666886,0.10826996713876724,0.007566894870251417
0,600,11,32,0.00917806290090084,0.11570069938898087,0.20210760831832886
0,600,12,32,0.01803170144557953,0.10062846541404724,0.28692173957824707
0,600,13,64,0.05694792419672012,0.130598247051239,1.5468839406967163
0,600,14,64,0.014410145580768585,0.050706587731838226,0.4803071618080139
0,600,15,64,0.013121753931045532,0.03480742499232292,0.6459836959838867
5,540,0,64,0.01654539629817009,0.04885879158973694,0.6688198447227478
5,540,1,64,0.043441593647003174,0.12831397354602814,1.2845613956451416
5,540,2,32,0.012387502938508987,0.05325394868850708,0.5411041378974915
5,540,3,32,0.010056596249341965,0.057996127754449844,0.31013548374176025
5,540,4,16,0.027578560635447502,0.08251121640205383,0.6666831970214844
5,540,5,16,0.045363374054431915,0.13203854858875275,0.5842374563217163
5,540,6,8,0.02855074219405651,0.10234076529741287,0.9197028875350952
5,540,7,16,0.03362476825714111,0.16145570576190948,0.27246373891830444
5,540,8,16,0.03557915240526199,0.12480630725622177,0.2444896101951599
5,540,9,16,0.017399054020643234,0.12312370538711548,0.15590715408325195
5,540,10,32,0.0007018417818471789,0.09263839572668076,0.007092030253261328
5,540,11,32,0.010382245294749737,0.1409509778022766,0.21292591094970703
5,540,12,32,0.019480526447296143,0.12542381882667542,0.23710644245147705
5,540,13,64,0.05391213297843933,0.1220187395811081,1.5450091361999512
5,540,14,64,0.015533503144979477,0.08551404625177383,0.5017919540405273
5,540,15,64,0.015100929886102676,0.05780952423810959,0.6877522468566895
10,480,0,64,0.01629330962896347,0.052867114543914795,0.6487026214599609
10,480,1,64,0.04465807229280472,0.13388672471046448,1.2786095142364502
10,480,2,32,0.013785997405648232,0.06712407618761063,0.4965030550956726
10,480,3,32,0.01014795619994402,0.06545442342758179,0.297619104385376
10,480,4,16,0.026426255702972412,0.07935354113578796,0.6252361536026001
10,480,5,16,0.0420403890311718,0.1412445455789566,0.5477972030639648
10,480,6,8,0.0293947234749794,0.10382135957479477,0.8525946736335754
10,480,7,16,0.03430773690342903,0.17567621171474457,0.25596046447753906
10,480,8,16,0.03516398370265961,0.12443562597036362,0.23809486627578735
10,480,9,16,0.01743762195110321,0.12256646901369095,0.13777334988117218
