step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.010346781462430954,0.04411730170249939,0.9078653454780579
0,600,1,64,0.0360148586332798,0.09485125541687012,1.2574756145477295
0,600,2,32,0.01876302808523178,0.09172127395868301,0.857275128364563
0,600,3,32,0.011366905644536018,0.04396141320466995,0.46852558851242065
0,600,4,16,0.03403560072183609,0.09644871205091476,0.7842932343482971
0,600,5,16,0.032666414976119995,0.11372219026088715,0.5183523893356323
0,600,6,8,0.03288332372903824,0.11075478792190552,1.0422124862670898
0,600,7,16,0.028055831789970398,0.10567247867584229,0.38122016191482544
0,600,8,16,0.036716118454933167,0.14743758738040924,0.24826966226100922
0,600,9,16,0.0068891458213329315,0.02962489239871502,0.227265864610672
0,600,10,32,0.001284823869355023,0.12538719177246094,0.015520943328738213
0,600,11,32,0.01730535365641117,0.1557556390762329,0.2824738323688507
0,600,12,32,0.020487267524003983,0.16817599534988403,0.4189356863498688
0,600,13,64,0.06306718289852142,0.18172024190425873,1.6814377307891846
0,600,14,64,0.020235946401953697,0.13038069009780884,0.5978373289108276
0,600,15,64,0.012249003164470196,0.03699297457933426,0.6315377354621887
5,540,0,64,0.010613586753606796,0.050655096769332886,0.896298885345459
5,540,1,64,0.03445262461900711,0.09656953811645508,1.2068324089050293
5,540,2,32,0.026062479242682457,0.10766983032226562,0.8457504510879517
5,540,3,32,0.010854432359337807,0.03858715668320656,0.43800485134124756
5,540,4,16,0.03664908558130264,0.11966415494680405,0.743973970413208
5,540,5,16,0.030938856303691864,0.10965846478939056,0.46926796436309814
5,540,6,8,0.030506007373332977,0.1166267842054367,0.8403273224830627
5,540,7,16,0.032885659486055374,0.15417297184467316,0.30693215131759644
5,540,8,16,0.02995992638170719,0.13534735143184662,0.23169422149658203
5,540,9,16,0.008774012327194214,0.10040265321731567,0.16536079347133636
5,540,10,32,0.001136043923906982,0.12509630620479584,0.01245597843080759
5,540,11,32,0.02881745621562004,0.210921972990036,0.3311842381954193
5,540,12,32,0.027825091034173965,0.2249223291873932,0.3468904495239258
