step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.011964723467826843,0.04476538300514221,0.8835586309432983
0,600,1,64,0.033443551510572433,0.0926741287112236,1.210868000984192
0,600,2,32,0.017129473388195038,0.08063272386789322,0.871367871761322
0,600,3,32,0.012599822133779526,0.06514944136142731,0.4898231625556946
0,600,4,16,0.031385038048028946,0.09063850343227386,0.7878899574279785
0,600,5,16,0.03498165309429169,0.10592196881771088,0.5225970149040222
0,600,6,8,0.031747158616781235,0.10093632340431213,1.0536327362060547
0,600,7,16,0.02990618161857128,0.12409500032663345,0.4308180809020996
0,600,8,16,0.032922785729169846,0.11593090742826462,0.2528388500213623
0,600,9,16,0.006185488775372505,0.06266417354345322,0.2007737159729004
0,600,10,32,0.0009709183359518647,0.12486523389816284,0.012479651719331741
0,600,11,32,0.01064221654087305,0.15025345981121063,0.24814648926258087
0,600,12,32,0.020153239369392395,0.16092026233673096,0.5016908645629883
0,600,13,64,0.06762877106666565,0.1686100959777832,1.6333374977111816
0,600,14,64,0.018466748297214508,0.11231233179569244,0.5632973909378052
0,600,15,64,0.012628959491848946,0.04670319706201553,0.6163138747215271
5,540,0,64,0.012277008965611458,0.04667557030916214,0.8521297574043274
5,540,1,64,0.03215223178267479,0.10615257918834686,1.1717699766159058
5,540,2,32,0.02480066567659378,0.10645130276679993,0.81674724817276
5,540,3,32,0.011922736652195454,0.07844662666320801,0.4419555068016052
5,540,4,16,0.03453464061021805,0.08101705461740494,0.7700695395469666
5,540,5,16,0.030293092131614685,0.11461012810468674,0.45459049940109253
5,540,6,8,0.027162859216332436,0.09149867296218872,0.8875651359558105
5,540,7,16,0.036965884268283844,0.16826887428760529,0.38117778301239014
5,540,8,16,0.03575946390628815,0.1213504746556282,0.23372229933738708
5,540,9,16,0.009887674823403358,0.11999282985925674,0.15938463807106018
5,540,10,32,0.0009255767799913883,0.1240931898355484,0.012644277885556221
5,540,11,32,0.023497985675930977,0.18242265284061432,0.2989357113838196
5,540,12,32,0.026478279381990433,0.2037387639284134,0.4094964861869812
5,540,13,64,0.06970424950122833,0.18617743253707886,1.6711922883987427
5,540,14,64,0.020825475454330444,0.16858084499835968,0.5850188136100769
5,540,15,64,0.014408990740776062,0.09696952998638153,0.6594816446304321
10,480,0,64,0.013101095333695412,0.0499107763171196,0.8482127785682678
10,480,1,64,0.031612422317266464,0.11016730219125748,1.1359822750091553
10,480,2,32,0.03210800886154175,0.1269676238298416,0.7544690370559692
10,480,3,32,0.011967923492193222,0.08632657676935196,0.42497265338897705
10,480,4,16,0.03741361200809479,0.08838383108377457,0.733771026134491
10,480,5,16,0.027583017945289612,0.11877758800983429,0.41624337434768677
10,480,6,8,0.02697913907468319,0.09108161926269531,0.8096546530723572
10,480,7,16,0.03595586121082306,0.17444458603858948,0.3403676152229309
10,480,8,16,0.030805837363004684,0.11898141354322433,0.20861130952835083
10,480,9,16,0.012179629877209663,0.11943060904741287,0.1520463526248932
10,480,10,32,0.000887530273757875,0.12472482025623322,0.01305414643138647
10,480,11,32,0.027214286848902702,0.21681532263755798,0.3073405623435974
10,480,12,32,0.030233649536967278,0.21896828711032867,0.34612739086151123
10,480,13,64,0.0681803971529007,0.2269829362630844,1.67354154586792
10,480,14,64,0.020493783056735992,0.16703327000141144,0.5778090953826904
10,480,15,64,0.01536534447222948,0.1587677001953125,0.6579447984695435
15,420,0,64,0.013664315454661846,0.055242013186216354,0.8343938589096069
15,420,1,64,0.031781017780303955,0.10689830034971237,1.1016297340393066
15,420,2,32,0.03612319380044937,0.13689881563186646,0.6834508180618286
15,420,3,32,0.012034879066050053,0.08899229019880295,0.4134644567966461
15,420,4,16,0.03853830322623253,0.09541622549295425,0.6810694932937622
15,420,5,16,0.02413959801197052,0.11638341099023819,0.38230347633361816
15,420,6,8,0.025703489780426025,0.08954338729381561,0.7420779466629028
15,420,7,16,0.0335216298699379,0.1684977114200592,0.2995794415473938
15,420,8,16,0.027560550719499588,0.1124320775270462,0.18746709823608398
15,420,9,16,0.013313334435224533,0.11920924484729767,0.14555606245994568
15,420,10,32,0.0009212197619490325,0.12465719133615494,0.012979349121451378
15,420,11,32,0.02918635681271553,0.2258504182100296,0.3120070993900299
15,420,12,32,0.03211714327335358,0.22932304441928864,0.30251890420913696
15,420,13,64,0.06979983299970627,0.2408161759376526,1.6690267324447632
15,420,14,64,0.019246485084295273,0.18206150829792023,0.5719636678695679
15,420,15,64,0.014553342014551163,0.14204294979572296,0.632671594619751
20,360,0,64,0.013791387900710106,0.06238175928592682,0.8113452196121216
20,360,1,64,0.03198741003870964,0.11233575642108917,1.0571837425231934
20,360,2,32,0.038985639810562134,0.1399591714143753,0.6232109069824219
20,360,3,32,0.011937404051423073,0.08488001674413681,0.4035390615463257
20,360,4,16,0.0378182977437973,0.0991063043475151,0.6239648461341858
20,360,5,16,0.022158833220601082,0.1287887990474701,0.3539709448814392
20,360,6,8,0.023455074056982994,0.08138112723827362,0.6729180216789246
20,360,7,16,0.031043732538819313,0.1563875824213028,0.27135169506073
20,360,8,16,0.026186354458332062,0.10484182834625244,0.1767156422138214
20,360,9,16,0.013688644394278526,0.12006434053182602,0.13856691122055054
20,360,10,32,0.0009226728579960763,0.124533511698246,0.01216153521090746
20,360,11,32,0.03159503638744354,0.23776516318321228,0.31691545248031616
20,360,12,32,0.032530345022678375,0.2272382229566574,0.2753877639770508
20,360,13,64,0.07311321794986725,0.2402113825082779,1.6647576093673706
20,360,14,64,0.017458926886320114,0.18494375050067902,0.5586433410644531
20,360,15,64,0.01350576151162386,0.09756722301244736,0.6111093163490295
25,300,0,64,0.013463577255606651,0.06928792595863342,0.7821657657623291
25,300,1,64,0.031803280115127563,0.11713710427284241,0.9975157976150513
25,300,2,32,0.04007849842309952,0.1391611546278,0.5599967241287231
25,300,3,32,0.011583357118070126,0.10343660414218903,0.3940776586532593
25,300,4,16,0.03655008226633072,0.10053697973489761,0.5778858661651611
25,300,5,16,0.021177183836698532,0.13476257026195526,0.32888326048851013
25,300,6,8,0.020406700670719147,0.06618733704090118,0.6061947345733643
25,300,7,16,0.027975626289844513,0.14228321611881256,0.24863044917583466
25,300,8,16,0.024211786687374115,0.09987223893404007,0.16564717888832092
25,300,9,16,0.013973121531307697,0.11955074965953827,0.13389712572097778
25,300,10,32,0.0009296205244027078,0.12463535368442535,0.012054577469825745
25,300,11,32,0.03273951634764671,0.23106832802295685,0.31512710452079773
25,300,12,32,0.03197796642780304,0.23523171246051788,0.25521427392959595
25,300,13,64,0.07759988307952881,0.24216006696224213,1.663954257965088
25,300,14,64,0.01530554611235857,0.14856334030628204,0.5436379313468933
25,300,15,64,0.012552803382277489,0.08356519043445587,0.5915825963020325
30,240,0,64,0.012598990462720394,0.07714643329381943,0.743726909160614
30,240,1,64,0.03126543015241623,0.11165893077850342,0.929092526435852
30,240,2,32,0.03989706560969353,0.15060274302959442,0.49860644340515137
30,240,3,32,0.010771440342068672,0.1369105875492096,0.3803030848503113
30,240,4,16,0.035110294818878174,0.09903403371572495,0.541207492351532
30,240,5,16,0.019937964156270027,0.13463899493217468,0.3057011067867279
30,240,6,8,0.017642240971326828,0.04884670674800873,0.5488204956054688
30,240,7,16,0.02538972906768322,0.12590833008289337,0.22744061052799225
30,240,8,16,0.022344062104821205,0.09976716339588165,0.15379106998443604
30,240,9,16,0.014304893091320992,0.11832252144813538,0.1280239224433899
30,240,10,32,0.0009195863967761397,0.12462878972291946,0.011620266363024712
30,240,11,32,0.0341448113322258,0.23184740543365479,0.3155076205730438
30,240,12,32,0.032124750316143036,0.23457780480384827,0.24042625725269318
30,240,13,64,0.08164921402931213,0.24686458706855774,1.6607725620269775
30,240,14,64,0.013027431443333626,0.11827949434518814,0.5242648124694824
30,240,15,64,0.0117591992020607,0.07807837426662445,0.5668495893478394
35,180,0,64,0.011265218257904053,0.08242708444595337,0.6924306154251099
35,180,1,64,0.02987990528345108,0.11168678104877472,0.8448706865310669
35,180,2,32,0.03886573761701584,0.16264061629772186,0.4436302185058594
35,180,3,32,0.00919786561280489,0.08864632993936539,0.35711050033569336
35,180,4,16,0.033079780638217926,0.10023912787437439,0.5085564851760864
35,180,5,16,0.01940344087779522,0.13300402462482452,0.2907554507255554
35,180,6,8,0.015600954182446003,0.046569839119911194,0.5013179183006287
35,180,7,16,0.023375380784273148,0.11945154517889023,0.20919844508171082
35,180,8,16,0.020991649478673935,0.09598608314990997,0.14463616907596588
35,180,9,16,0.014420576393604279,0.1188887283205986,0.12135280668735504
35,180,10,32,0.0008580347639508545,0.12449797987937927,0.01083184964954853
35,180,11,32,0.034540895372629166,0.24555222690105438,0.3111562728881836
35,180,12,32,0.0317804254591465,0.22852973639965057,0.2262757122516632
35,180,13,64,0.08718694746494293,0.2533332109451294,1.6496868133544922
35,180,14,64,0.010999374091625214,0.1136283427476883,0.5003186464309692
35,180,15,64,0.011266176588833332,0.08323296159505844,0.5384976863861084
40,120,0,64,0.009589888155460358,0.0854310393333435,0.6265742778778076
40,120,1,64,0.026450926437973976,0.1225513219833374,0.7259301543235779
40,120,2,32,0.037396952509880066,0.17600621283054352,0.39753907918930054
40,120,3,32,0.007443511392921209,0.07968728244304657,0.3279304504394531
40,120,4,16,0.030646266415715218,0.1026756539940834,0.4697401523590088
40,120,5,16,0.019693046808242798,0.13095656037330627,0.28233566880226135
40,120,6,8,0.014051349833607674,0.044365040957927704,0.4665273129940033
40,120,7,16,0.02157443016767502,0.11219455301761627,0.19296681880950928
40,120,8,16,0.019700970500707626,0.09077456593513489,0.1373802274465561
40,120,9,16,0.014102209359407425,0.11993025243282318,0.11538876593112946
40,120,10,32,0.0007935388712212443,0.12416337430477142,0.009947523474693298
40,120,11,32,0.034069374203681946,0.2528060972690582,0.30278873443603516
40,120,12,32,0.029965374618768692,0.22346191108226776,0.20848041772842407
