step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.01179825235158205,0.045316632837057114,0.8736793398857117
0,600,1,64,0.034977346658706665,0.09668194502592087,1.2329202890396118
0,600,2,32,0.01573030836880207,0.07187565416097641,0.8787428736686707
0,600,3,32,0.01331668347120285,0.0678652748465538,0.5147165060043335
0,600,4,16,0.030953051522374153,0.08893559873104095,0.7833260893821716
0,600,5,16,0.0368289053440094,0.11836567521095276,0.5425713062286377
0,600,6,8,0.029032016173005104,0.10980401933193207,1.048187255859375
0,600,7,16,0.0252949558198452,0.11862394958734512,0.3897334635257721
0,600,8,16,0.03370841592550278,0.12964661419391632,0.23457197844982147
0,600,9,16,0.005245594307780266,0.02141573652625084,0.25594204664230347
0,600,10,32,0.0010981603991240263,0.12048159539699554,0.015550512820482254
0,600,11,32,0.007522074040025473,0.14324571192264557,0.20737701654434204
0,600,12,32,0.015398744493722916,0.14777830243110657,0.38660168647766113
0,600,13,64,0.06510832905769348,0.1669173538684845,1.6581475734710693
0,600,14,64,0.01945611461997032,0.10816419124603271,0.6038413047790527
0,600,15,64,0.012751854956150055,0.028710614889860153,0.6228682994842529
5,540,0,64,0.011774398386478424,0.048507511615753174,0.83356773853302
5,540,1,64,0.03332672268152237,0.10169979929924011,1.1886100769042969
5,540,2,32,0.021573305130004883,0.09671001136302948,0.8347122073173523
5,540,3,32,0.01286130677908659,0.07592695951461792,0.4772617816925049
5,540,4,16,0.03255247697234154,0.09351253509521484,0.7616042494773865
5,540,5,16,0.03139159828424454,0.11136093735694885,0.46562230587005615
5,540,6,8,0.026012631133198738,0.1087351068854332,0.8731390833854675
5,540,7,16,0.030447935685515404,0.16554898023605347,0.3149774670600891
5,540,8,16,0.029837653040885925,0.11690521240234375,0.1917627602815628
5,540,9,16,0.00899410992860794,0.08630146831274033,0.1645355224609375
5,540,10,32,0.0010548254940658808,0.11852142959833145,0.014697179198265076
5,540,11,32,0.022659804672002792,0.1805489957332611,0.32768747210502625
5,540,12,32,0.026363834738731384,0.21249835193157196,0.3687770962715149
5,540,13,64,0.06971842795610428,0.17520257830619812,1.6913996934890747
5,540,14,64,0.021955888718366623,0.16676048934459686,0.6280196905136108
5,540,15,64,0.01708574965596199,0.17075714468955994,0.6902806758880615
10,480,0,64,0.012162992730736732,0.049100663512945175,0.8079783916473389
10,480,1,64,0.03268058970570564,0.10943219065666199,1.1519614458084106
10,480,2,32,0.026040416210889816,0.11420042812824249,0.7550163269042969
10,480,3,32,0.013206923380494118,0.08796412497758865,0.4628560245037079
10,480,4,16,0.034469615668058395,0.08884666860103607,0.726482629776001
10,480,5,16,0.02684488520026207,0.11340868473052979,0.41909730434417725
10,480,6,8,0.02421376295387745,0.10501349717378616,0.7687193155288696
10,480,7,16,0.028707195073366165,0.1834983080625534,0.25974977016448975
10,480,8,16,0.028492599725723267,0.11966759711503983,0.1907174289226532
10,480,9,16,0.01151445135474205,0.12424483150243759,0.15320023894309998
10,480,10,32,0.0008922814158722758,0.12495120614767075,0.013637855648994446
10,480,11,32,0.024997469037771225,0.19360612332820892,0.3155015707015991
10,480,12,32,0.028075043112039566,0.2257532775402069,0.31668326258659363
10,480,13,64,0.07068837434053421,0.19372299313545227,1.6961090564727783
10,480,14,64,0.021314939484000206,0.15081925690174103,0.6087428331375122
10,480,15,64,0.01658695749938488,0.18591059744358063,0.6869715452194214
15,420,0,64,0.012437386438250542,0.05670500919222832,0.7871475219726562
15,420,1,64,0.03305087983608246,0.10619474947452545,1.1185572147369385
15,420,2,32,0.028980402275919914,0.12991730868816376,0.6777514219284058
15,420,3,32,0.013218694366514683,0.08976307511329651,0.4452374279499054
15,420,4,16,0.03479110449552536,0.10934462398290634,0.6776912808418274
15,420,5,16,0.023837458342313766,0.1209418922662735,0.38180220127105713
15,420,6,8,0.019847892224788666,0.09505635499954224,0.6945209503173828
15,420,7,16,0.026934821158647537,0.17182426154613495,0.23289144039154053
15,420,8,16,0.025026042014360428,0.11856938153505325,0.17669349908828735
15,420,9,16,0.012174349278211594,0.12343687564134598,0.14760710299015045
15,420,10,32,0.0009670087601989508,0.12497042864561081,0.014468411915004253
15,420,11,32,0.026520926505327225,0.21059490740299225,0.3104717433452606
15,420,12,32,0.02791033312678337,0.23227104544639587,0.28384411334991455
15,420,13,64,0.07261589914560318,0.21630586683750153,1.693149447441101
15,420,14,64,0.02088000252842903,0.17450164258480072,0.5980036854743958
15,420,15,64,0.016134141013026237,0.19360777735710144,0.6719276905059814
20,360,0,64,0.012577570043504238,0.05924883112311363,0.7660322189331055
20,360,1,64,0.033406659960746765,0.10588829219341278,1.0759377479553223
20,360,2,32,0.03263363987207413,0.14604823291301727,0.6253902912139893
20,360,3,32,0.012807754799723625,0.08367636799812317,0.42858535051345825
20,360,4,16,0.03449450805783272,0.12376824021339417,0.628101110458374
20,360,5,16,0.02153938263654709,0.1171107143163681,0.3473728895187378
20,360,6,8,0.016568105667829514,0.0794205367565155,0.6363259553909302
20,360,7,16,0.025719493627548218,0.1603035181760788,0.21478012204170227
20,360,8,16,0.0221970546990633,0.1154346838593483,0.1614047735929489
20,360,9,16,0.013222286477684975,0.10889539122581482,0.1443202942609787
20,360,10,32,0.0010282554430887103,0.12494158744812012,0.015012329444289207
20,360,11,32,0.02745102159678936,0.21420341730117798,0.3059332072734833
20,360,12,32,0.02767735719680786,0.23293261229991913,0.2573513984680176
20,360,13,64,0.07503964751958847,0.22746986150741577,1.6827285289764404
20,360,14,64,0.019206082448363304,0.1978057324886322,0.5801465511322021
20,360,15,64,0.01474771462380886,0.16326625645160675,0.6416019201278687
25,300,0,64,0.012525027617812157,0.06354788690805435,0.7414963245391846
25,300,1,64,0.03336111828684807,0.10548503696918488,1.0190290212631226
25,300,2,32,0.03583446517586708,0.1553887128829956,0.5815648436546326
25,300,3,32,0.012149370275437832,0.08462715148925781,0.41320109367370605
25,300,4,16,0.03379546105861664,0.10828474164009094,0.5849554538726807
25,300,5,16,0.020115751773118973,0.1202811747789383,0.32231763005256653
25,300,6,8,0.014287375845015049,0.06294649094343185,0.5820821523666382
25,300,7,16,0.02424583211541176,0.1460101306438446,0.1968967169523239
25,300,8,16,0.020065976306796074,0.10926763713359833,0.1462508887052536
25,300,9,16,0.013562547042965889,0.10589408129453659,0.13389252126216888
25,300,10,32,0.0010429858230054379,0.124871626496315,0.013958681374788284
25,300,11,32,0.02846457064151764,0.21306417882442474,0.2980036735534668
25,300,12,32,0.02690965123474598,0.23226125538349152,0.2370559573173523
25,300,13,64,0.07953347265720367,0.24290260672569275,1.6680573225021362
25,300,14,64,0.016674626618623734,0.1911022961139679,0.5562440156936646
25,300,15,64,0.01322879083454609,0.14548298716545105,0.6008399724960327
30,240,0,64,0.012106590904295444,0.06484539806842804,0.7100709676742554
30,240,1,64,0.03266710788011551,0.11234994977712631,0.9475798606872559
30,240,2,32,0.03767148405313492,0.15859746932983398,0.5357558131217957
30,240,3,32,0.01112495455890894,0.09443531930446625,0.392214298248291
30,240,4,16,0.03275179862976074,0.09261763840913773,0.5435044765472412
30,240,5,16,0.019858190789818764,0.1273416429758072,0.3064063787460327
30,240,6,8,0.012408743612468243,0.04281018674373627,0.5343093276023865
30,240,7,16,0.022215452045202255,0.13253723084926605,0.17693760991096497
30,240,8,16,0.018382713198661804,0.10148126631975174,0.13244321942329407
30,240,9,16,0.013375985436141491,0.10611540824174881,0.12169744074344635
30,240,10,32,0.0009881143923848867,0.12477528303861618,0.012281510978937149
30,240,11,32,0.029076624661684036,0.2258407026529312,0.2870427668094635
30,240,12,32,0.026185017079114914,0.23062601685523987,0.21908614039421082
30,240,13,64,0.08567219227552414,0.2694556713104248,1.6535130739212036
30,240,14,64,0.013898390345275402,0.1527062952518463,0.5302332639694214
30,240,15,64,0.011999500915408134,0.12425132095813751,0.5574437379837036
35,180,0,64,0.011296670883893967,0.06399691104888916,0.6694307327270508
35,180,1,64,0.030726654455065727,0.13771197199821472,0.8539842367172241
35,180,2,32,0.03806508332490921,0.1590109020471573,0.4900507628917694
35,180,3,32,0.009792904369533062,0.0730971172451973,0.36602455377578735
35,180,4,16,0.03187256306409836,0.09384147077798843,0.505180835723877
35,180,5,16,0.01958956941962242,0.1297224760055542,0.2935142517089844
35,180,6,8,0.011307017877697945,0.03432873636484146,0.5028612017631531
35,180,7,16,0.02074429579079151,0.1244373545050621,0.16318006813526154
35,180,8,16,0.016933847218751907,0.09454458951950073,0.1207723394036293
35,180,9,16,0.013078768737614155,0.10696609318256378,0.11116363108158112
35,180,10,32,0.0008754836162552238,0.12466714531183243,0.011229939758777618
