step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.018199609592556953,0.06724026799201965,0.8939701914787292
0,600,1,64,0.035122327506542206,0.11336488276720047,1.2151758670806885
0,600,2,32,0.019053801894187927,0.09926152229309082,0.8965915441513062
0,600,3,32,0.012477140873670578,0.06263205409049988,0.4292449355125427
0,600,4,16,0.041342560201883316,0.09074956178665161,0.806477427482605
0,600,5,16,0.03253442049026489,0.132411926984787,0.48487260937690735
0,600,6,8,0.058117613196372986,0.15551058948040009,1.2679939270019531
0,600,7,16,0.03380744904279709,0.167389914393425,0.3695535659790039
0,600,8,16,0.03947189077734947,0.12658557295799255,0.25768566131591797
0,600,9,16,0.007821841165423393,0.08885842561721802,0.14171938598155975
0,600,10,32,0.0007604280835948884,0.12494614720344543,0.009394724853336811
0,600,11,32,0.02007743902504444,0.17058080434799194,0.27783557772636414
0,600,12,32,0.02987721562385559,0.21637237071990967,0.44181543588638306
0,600,13,64,0.059194862842559814,0.17601850628852844,1.615854263305664
0,600,14,64,0.017432061955332756,0.1939680278301239,0.5398105382919312
0,600,15,64,0.014024946838617325,0.09249574691057205,0.6688374280929565
5,540,0,64,0.019807949662208557,0.07406599819660187,0.87227463722229
5,540,1,64,0.03389473631978035,0.10672299563884735,1.1707897186279297
5,540,2,32,0.024689946323633194,0.11239110678434372,0.8695123195648193
5,540,3,32,0.012131382711231709,0.06400679796934128,0.4101160764694214
5,540,4,16,0.043015532195568085,0.10963302850723267,0.7433985471725464
5,540,5,16,0.030772492289543152,0.14474400877952576,0.42935341596603394
5,540,6,8,0.05441983416676521,0.1396045684814453,1.0940062999725342
5,540,7,16,0.029790494590997696,0.16765150427818298,0.31477445363998413
5,540,8,16,0.039062853902578354,0.1303538680076599,0.2372831106185913
5,540,9,16,0.0072348760440945625,0.0923662930727005,0.12177816033363342
5,540,10,32,0.0007101931259967387,0.12504249811172485,0.008039774373173714
5,540,11,32,0.021860875189304352,0.2193187028169632,0.29102808237075806
5,540,12,32,0.02929414063692093,0.23594680428504944,0.3897603750228882
5,540,13,64,0.05774252116680145,0.15353506803512573,1.599670648574829
5,540,14,64,0.01932597905397415,0.20752038061618805,0.5333553552627563
5,540,15,64,0.015436802059412003,0.13216757774353027,0.6816639304161072
10,480,0,64,0.020368503406643867,0.07509186863899231,0.8358584046363831
10,480,1,64,0.03367698937654495,0.10611936450004578,1.136672019958496
10,480,2,32,0.030414491891860962,0.11982745677232742,0.8184767961502075
10,480,3,32,0.012203328311443329,0.0568876676261425,0.40249842405319214
10,480,4,16,0.04227811470627785,0.1214095875620842,0.691688060760498
10,480,5,16,0.029704533517360687,0.15659767389297485,0.4082224369049072
10,480,6,8,0.0515369214117527,0.1444675326347351,0.9986163377761841
10,480,7,16,0.02801588550209999,0.16208328306674957,0.2740146219730377
10,480,8,16,0.034733109176158905,0.12703000009059906,0.21151341497898102
10,480,9,16,0.006867104675620794,0.09533233195543289,0.10941822826862335
10,480,10,32,0.0007094306638464332,0.12501566112041473,0.007661907933652401
10,480,11,32,0.020929068326950073,0.22455917298793793,0.27346646785736084
10,480,12,32,0.025156348943710327,0.22928033769130707,0.32842737436294556
10,480,13,64,0.0594896525144577,0.16581130027770996,1.605135202407837
10,480,14,64,0.01896369643509388,0.22628715634346008,0.5372099876403809
10,480,15,64,0.015778562054038048,0.14853477478027344,0.6886353492736816
15,420,0,64,0.020215757191181183,0.07176316529512405,0.7867411375045776
15,420,1,64,0.03422980383038521,0.11755511164665222,1.107697606086731
15,420,2,32,0.035608015954494476,0.12471634149551392,0.7570762634277344
15,420,3,32,0.012433860450983047,0.057666145265102386,0.39534100890159607
15,420,4,16,0.040250107645988464,0.11391247063875198,0.6453268527984619
15,420,5,16,0.02870914526283741,0.1824067384004593,0.39156094193458557
15,420,6,8,0.048514802008867264,0.14221619069576263,0.9268319010734558
15,420,7,16,0.026712898164987564,0.1471736878156662,0.23797103762626648
15,420,8,16,0.030981428921222687,0.12083064019680023,0.18834291398525238
15,420,9,16,0.00662218127399683,0.09250606596469879,0.10464438796043396
15,420,10,32,0.0006878647254779935,0.12489180266857147,0.007402808405458927
15,420,11,32,0.019503779709339142,0.21809661388397217,0.2561195194721222
15,420,12,32,0.022208962589502335,0.2373569905757904,0.26164746284484863
15,420,13,64,0.061988189816474915,0.16418993473052979,1.6119437217712402
15,420,14,64,0.0179539043456316,0.18333519995212555,0.5404311418533325
15,420,15,64,0.017064645886421204,0.20480254292488098,0.683529794216156
20,360,0,64,0.019422203302383423,0.0646553486585617,0.7344518899917603
20,360,1,64,0.03512605279684067,0.1424863338470459,1.0782074928283691
20,360,2,32,0.04044700786471367,0.12733423709869385,0.7052547931671143
20,360,3,32,0.012313542887568474,0.07991346716880798,0.38389351963996887
20,360,4,16,0.03809201717376709,0.12481270730495453,0.5928518772125244
20,360,5,16,0.026715677231550217,0.20362338423728943,0.3653653860092163
20,360,6,8,0.04452279210090637,0.13223309814929962,0.8499084115028381
20,360,7,16,0.024987317621707916,0.13706359267234802,0.21290042996406555
20,360,8,16,0.027217907831072807,0.11595567315816879,0.16678021848201752
20,360,9,16,0.006190137937664986,0.08984636515378952,0.09429344534873962
20,360,10,32,0.0006999075994826853,0.1250629872083664,0.007216006983071566
20,360,11,32,0.01923147402703762,0.2173815369606018,0.24315452575683594
20,360,12,32,0.021095717325806618,0.24808256328105927,0.21960875391960144
20,360,13,64,0.06586655974388123,0.19422850012779236,1.608593463897705
20,360,14,64,0.01668011024594307,0.1918056607246399,0.5370728969573975
20,360,15,64,0.016421156004071236,0.15989191830158234,0.6710339784622192
25,300,0,64,0.018058449029922485,0.05990184471011162,0.6838443279266357
25,300,1,64,0.03578666225075722,0.16174790263175964,1.039264440536499
25,300,2,32,0.04290860518813133,0.13280510902404785,0.653998076915741
25,300,3,32,0.01201576180756092,0.09186742454767227,0.37163275480270386
25,300,4,16,0.036157093942165375,0.14119555056095123,0.5416333675384521
25,300,5,16,0.024402491748332977,0.20650267601013184,0.33988362550735474
25,300,6,8,0.040701672434806824,0.12783345580101013,0.7916064262390137
25,300,7,16,0.02406061813235283,0.1422155648469925,0.20268282294273376
25,300,8,16,0.02337021194398403,0.11427024751901627,0.14762666821479797
25,300,9,16,0.00605971273034811,0.09855100512504578,0.08516934514045715
25,300,10,32,0.0007040846976451576,0.12503375113010406,0.006988934241235256
25,300,11,32,0.01849229633808136,0.22138860821723938,0.22856193780899048
25,300,12,32,0.020143495872616768,0.24981489777565002,0.19430075585842133
25,300,13,64,0.07147644460201263,0.20537027716636658,1.6021878719329834
25,300,14,64,0.015141338109970093,0.1817103922367096,0.529006838798523
25,300,15,64,0.015149167738854885,0.11836859583854675,0.6531256437301636
30,240,0,64,0.0163130946457386,0.056833796203136444,0.6373417973518372
30,240,1,64,0.035861335694789886,0.17004713416099548,0.9874944686889648
30,240,2,32,0.04226308315992355,0.12980781495571136,0.5905270576477051
30,240,3,32,0.011490851640701294,0.08533591777086258,0.35529625415802
30,240,4,16,0.034267403185367584,0.13243035972118378,0.49530118703842163
30,240,5,16,0.022301731631159782,0.20071324706077576,0.3184647560119629
30,240,6,8,0.03702252358198166,0.12592917680740356,0.7413021326065063
30,240,7,16,0.023820877075195312,0.14780735969543457,0.20028379559516907
30,240,8,16,0.0205787755548954,0.11036000400781631,0.134523406624794
30,240,9,16,0.005885959602892399,0.1067131906747818,0.07661537081003189
30,240,10,32,0.0006986057851463556,0.12500882148742676,0.006766411475837231
30,240,11,32,0.018046285957098007,0.22769664227962494,0.21715569496154785
30,240,12,32,0.0194068755954504,0.2464369386434555,0.17578716576099396
30,240,13,64,0.07839741557836533,0.21629388630390167,1.5950745344161987
30,240,14,64,0.013366242870688438,0.15390914678573608,0.5144495964050293
30,240,15,64,0.013708538375794888,0.07631425559520721,0.6268354654312134
35,180,0,64,0.014349857345223427,0.05320454388856888,0.5954905152320862
35,180,1,64,0.034852929413318634,0.16776618361473083,0.9160635471343994
35,180,2,32,0.03986687585711479,0.13164301216602325,0.5242730379104614
35,180,3,32,0.01034105196595192,0.07058394700288773,0.3269110321998596
35,180,4,16,0.032412126660346985,0.11884091794490814,0.4542601704597473
35,180,5,16,0.0202346071600914,0.17729035019874573,0.294353723526001
35,180,6,8,0.03319257125258446,0.1243496909737587,0.6909137964248657
35,180,7,16,0.023027751594781876,0.14246010780334473,0.19700443744659424
35,180,8,16,0.01869790628552437,0.11187415570020676,0.12717346847057343
35,180,9,16,0.0057802642695605755,0.11061549186706543,0.06976185739040375
35,180,10,32,0.0006914300029166043,0.12499745190143585,0.006437687203288078
35,180,11,32,0.017771877348423004,0.2361588180065155,0.2051544189453125
35,180,12,32,0.01844831556081772,0.24086660146713257,0.15865150094032288
35,180,13,64,0.08662232756614685,0.2407691478729248,1.588902235031128
35,180,14,64,0.011496310122311115,0.12789501249790192,0.4943745732307434
35,180,15,64,0.012834216468036175,0.07654964923858643,0.6003018617630005
40,120,0,64,0.012194167822599411,0.05646674707531929,0.5508458614349365
40,120,1,64,0.031801432371139526,0.15200579166412354,0.8143577575683594
40,120,2,32,0.0371645987033844,0.13117186725139618,0.46384021639823914
40,120,3,32,0.008832489140331745,0.07030004262924194,0.2875972390174866
40,120,4,16,0.030464380979537964,0.1076207160949707,0.4171263575553894
40,120,5,16,0.01836272142827511,0.14422540366649628,0.26967722177505493
40,120,6,8,0.029575634747743607,0.12187271565198898,0.649295449256897
40,120,7,16,0.02142111212015152,0.13360539078712463,0.19329139590263367
40,120,8,16,0.01690489426255226,0.11233113706111908,0.12097548693418503
40,120,9,16,0.00569281168282032,0.11300361156463623,0.06514964997768402
40,120,10,32,0.0006761925760656595,0.12496774643659592,0.005864297039806843
40,120,11,32,0.01728888787329197,0.23438161611557007,0.19074705243110657
40,120,12,32,0.01693638600409031,0.23596207797527313,0.14247620105743408
40,120,13,64,0.09668922424316406,0.26245981454849243,1.5808206796646118
40,120,14,64,0.009769495576620102,0.0957009494304657,0.474047988653183
40,120,15,64,0.012464500963687897,0.08962878584861755,0.5762293934822083
45,60,0,64,0.00991994421929121,0.06314944475889206,0.4907718896865845
45,60,1,64,0.024231700226664543,0.11458877474069595,0.64015793800354
45,60,2,32,0.03359457850456238,0.12616954743862152,0.40179282426834106
45,60,3,32,0.006586245261132717,0.06874136626720428,0.24075691401958466
45,60,4,16,0.027607183903455734,0.105666384100914,0.3734826445579529
45,60,5,16,0.017043042927980423,0.12923245131969452,0.24958576261997223
45,60,6,8,0.026463676244020462,0.11814612150192261,0.6153047680854797
45,60,7,16,0.01975223422050476,0.13575434684753418,0.19193746149539948
45,60,8,16,0.014932345598936081,0.11144456267356873,0.11370144784450531
45,60,9,16,0.0054816314950585365,0.11423378437757492,0.06176003813743591
45,60,10,32,0.0006507671787403524,0.12486699223518372,0.005307851824909449
