step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.009102832525968552,0.06108523905277252,0.8358157873153687
0,600,1,64,0.035240598022937775,0.08729171752929688,1.2445271015167236
0,600,2,32,0.006207019090652466,0.06270978599786758,0.7041851282119751
0,600,3,32,0.01052955910563469,0.07992558181285858,0.3763866126537323
0,600,4,16,0.015070250257849693,0.08025232702493668,0.6701246500015259
0,600,5,16,0.011294795200228691,0.05982419103384018,0.39942455291748047
0,600,6,8,0.05098550394177437,0.1798274964094162,1.4608360528945923
0,600,7,16,0.019291482865810394,0.12010995298624039,0.40407779812812805
0,600,8,16,0.015729501843452454,0.09564398974180222,0.26007136702537537
0,600,9,16,0.009161248803138733,0.09188921749591827,0.2139989733695984
0,600,10,32,0.0005120948771946132,0.04247942939400673,0.008355041965842247
0,600,11,32,0.0037290500476956367,0.10846029222011566,0.11754962056875229
0,600,12,32,0.006943320855498314,0.07632473856210709,0.24916137754917145
0,600,13,64,0.041681043803691864,0.1447579264640808,1.5043525695800781
0,600,14,64,0.017225729301571846,0.18986082077026367,0.5773286819458008
0,600,15,64,0.012704730033874512,0.03301113471388817,0.6413748264312744
5,540,0,64,0.008496100082993507,0.0668882504105568,0.7852847576141357
5,540,1,64,0.03340589627623558,0.08512333035469055,1.1839560270309448
5,540,2,32,0.005874552298337221,0.07517940551042557,0.6131378412246704
5,540,3,32,0.011510990560054779,0.11763796210289001,0.37342679500579834
5,540,4,16,0.015315337106585503,0.08604204654693604,0.6018961071968079
5,540,5,16,0.010944807901978493,0.09551242738962173,0.38188087940216064
5,540,6,8,0.04913964122533798,0.17353877425193787,1.3464792966842651
5,540,7,16,0.018946148455142975,0.11295540630817413,0.3861962556838989
5,540,8,16,0.013342944905161858,0.12792810797691345,0.25389406085014343
5,540,9,16,0.009093494154512882,0.09130039066076279,0.19825594127178192
5,540,10,32,0.0006641991203650832,0.04786597192287445,0.010585462674498558
5,540,11,32,0.004305308684706688,0.17821134626865387,0.10542275756597519
5,540,12,32,0.006809295620769262,0.0784754604101181,0.2097117304801941
5,540,13,64,0.043011829257011414,0.16152703762054443,1.4751087427139282
5,540,14,64,0.01961514726281166,0.2249954640865326,0.574076771736145
5,540,15,64,0.012392938137054443,0.03626226633787155,0.6313894391059875
10,480,0,64,0.008084045723080635,0.06852373480796814,0.7237317562103271
10,480,1,64,0.03251681476831436,0.07366448640823364,1.1377077102661133
10,480,2,32,0.005654032342135906,0.07681554555892944,0.5291652083396912
10,480,3,32,0.011710677295923233,0.12595392763614655,0.3597702383995056
10,480,4,16,0.015116184949874878,0.08859497308731079,0.5479333400726318
10,480,5,16,0.010216050781309605,0.10416741669178009,0.371440589427948
10,480,6,8,0.04911305755376816,0.1512913554906845,1.2989040613174438
10,480,7,16,0.018971409648656845,0.12537580728530884,0.4147963523864746
10,480,8,16,0.012614618986845016,0.099615179002285,0.24278226494789124
10,480,9,16,0.00772403459995985,0.07436618953943253,0.18231934309005737
10,480,10,32,0.0007605322171002626,0.0807913988828659,0.010067816823720932
10,480,11,32,0.00553710525855422,0.18888938426971436,0.10922255367040634
10,480,12,32,0.006459417752921581,0.08943720161914825,0.17403870820999146
10,480,13,64,0.04491730406880379,0.17210760712623596,1.4443027973175049
10,480,14,64,0.022052764892578125,0.21397188305854797,0.5645350217819214
10,480,15,64,0.012317070737481117,0.04942448064684868,0.6232893466949463
