step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.01231258176267147,0.04636111482977867,0.8603729009628296
0,600,1,64,0.03288866952061653,0.08893995732069016,1.2047302722930908
0,600,2,32,0.016870874911546707,0.08873608708381653,0.8321403861045837
0,600,3,32,0.012453053146600723,0.08139067888259888,0.48902735114097595
0,600,4,16,0.031229674816131592,0.07995843142271042,0.7651742100715637
0,600,5,16,0.03567272424697876,0.11688729375600815,0.5497210621833801
0,600,6,8,0.031388819217681885,0.11105064302682877,1.068920612335205
0,600,7,16,0.03321254998445511,0.13484340906143188,0.4526902735233307
0,600,8,16,0.028546111658215523,0.1006259173154831,0.23481860756874084
0,600,9,16,0.005782606080174446,0.06265636533498764,0.1860695481300354
0,600,10,32,0.001098053646273911,0.12315709888935089,0.012583499774336815
0,600,11,32,0.01045957114547491,0.1522519737482071,0.24524733424186707
0,600,12,32,0.022384554147720337,0.1639370620250702,0.4888000190258026
0,600,13,64,0.07004742324352264,0.182262122631073,1.630124568939209
0,600,14,64,0.018968835473060608,0.14477112889289856,0.5608888864517212
0,600,15,64,0.013257397338747978,0.06323931366205215,0.6304430365562439
5,540,0,64,0.013223817571997643,0.05178738385438919,0.8501871824264526
5,540,1,64,0.031414031982421875,0.09979451447725296,1.1588225364685059
5,540,2,32,0.026018381118774414,0.12033646553754807,0.7797890305519104
5,540,3,32,0.012021752074360847,0.08610011637210846,0.44375455379486084
5,540,4,16,0.03431996330618858,0.08983154594898224,0.7353888750076294
5,540,5,16,0.03177351877093315,0.12360446155071259,0.4766092300415039
5,540,6,8,0.033520057797431946,0.11511500179767609,0.916515588760376
5,540,7,16,0.035230670124292374,0.18344366550445557,0.3556131422519684
5,540,8,16,0.03204638510942459,0.11998217552900314,0.20981872081756592
5,540,9,16,0.00709439255297184,0.08426692336797714,0.1382344663143158
5,540,10,32,0.0009763921843841672,0.12496785074472427,0.013883497565984726
5,540,11,32,0.022597335278987885,0.20386449992656708,0.3043747544288635
5,540,12,32,0.029821816831827164,0.21644684672355652,0.3782358765602112
5,540,13,64,0.0759192407131195,0.20243234932422638,1.6852532625198364
5,540,14,64,0.02074567973613739,0.1975235790014267,0.5956275463104248
5,540,15,64,0.01990400068461895,0.2012951821088791,0.6828008890151978
10,480,0,64,0.013901589438319206,0.061244040727615356,0.8388842940330505
10,480,1,64,0.031115826219320297,0.09674510359764099,1.1240570545196533
10,480,2,32,0.03089410625398159,0.1309492141008377,0.7100841999053955
10,480,3,32,0.012853402644395828,0.09269219636917114,0.4358494281768799
10,480,4,16,0.03484104573726654,0.09485095739364624,0.6723853349685669
10,480,5,16,0.027549568563699722,0.12887956202030182,0.43009692430496216
10,480,6,8,0.030368780717253685,0.10329006612300873,0.8175804615020752
10,480,7,16,0.031411588191986084,0.1757965087890625,0.3076835870742798
10,480,8,16,0.027663929387927055,0.11839132010936737,0.19380024075508118
10,480,9,16,0.010199883952736855,0.09205108880996704,0.13924261927604675
10,480,10,32,0.0009589251130819321,0.12472005188465118,0.014855341985821724
