step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.012591041624546051,0.06039469316601753,0.6634865999221802
0,600,1,64,0.03619305416941643,0.09262704849243164,1.2283902168273926
0,600,2,32,0.006225907243788242,0.051964759826660156,0.434052050113678
0,600,3,32,0.008946276269853115,0.06701313704252243,0.32319799065589905
0,600,4,16,0.018863515928387642,0.09124916791915894,0.6873522996902466
0,600,5,16,0.02892439439892769,0.1213064193725586,0.6053067445755005
0,600,6,8,0.04242321476340294,0.14835847914218903,1.3352800607681274
0,600,7,16,0.01270906813442707,0.10708077251911163,0.3819749653339386
0,600,8,16,0.015602674335241318,0.12248847633600235,0.17551887035369873
0,600,9,16,0.005432184785604477,0.07591072469949722,0.18503741919994354
0,600,10,32,0.0005277625750750303,0.0501665361225605,0.007544403895735741
0,600,11,32,0.0019494027364999056,0.05792829766869545,0.08123490959405899
0,600,12,32,0.008330162614583969,0.03588259592652321,0.20401400327682495
0,600,13,64,0.04863116890192032,0.17891809344291687,1.4603891372680664
0,600,14,64,0.01632646471261978,0.14318537712097168,0.5011473298072815
0,600,15,64,0.01276377122849226,0.03965098410844803,0.5871620774269104
5,540,0,64,0.011848113499581814,0.0644933432340622,0.6188620924949646
5,540,1,64,0.034815713763237,0.09590917825698853,1.1879273653030396
5,540,2,32,0.005537872202694416,0.04828702658414841,0.3712380826473236
5,540,3,32,0.009001238271594048,0.11815445870161057,0.3144807815551758
5,540,4,16,0.016984645277261734,0.0815386176109314,0.5968695878982544
5,540,5,16,0.021471943706274033,0.13294124603271484,0.4843794107437134
5,540,6,8,0.03008071705698967,0.1334175318479538,1.136308193206787
5,540,7,16,0.012807575985789299,0.09444164484739304,0.3172212839126587
5,540,8,16,0.012778602540493011,0.10787180066108704,0.13749843835830688
5,540,9,16,0.005151998717337847,0.08085057139396667,0.16608944535255432
5,540,10,32,0.0005703619681298733,0.0812510997056961,0.0081777423620224
5,540,11,32,0.0016274871304631233,0.06755401194095612,0.0706094428896904
5,540,12,32,0.008363716304302216,0.03285907208919525,0.17092423141002655
5,540,13,64,0.05257817357778549,0.20639923214912415,1.4812179803848267
5,540,14,64,0.019114183261990547,0.15623657405376434,0.5590475797653198
5,540,15,64,0.014646016061306,0.04948701709508896,0.6367040872573853
10,480,0,64,0.011322442442178726,0.06920775771141052,0.5803008079528809
10,480,1,64,0.034968677908182144,0.09735139459371567,1.1704685688018799
10,480,2,32,0.004965736530721188,0.04183933883905411,0.32201945781707764
10,480,3,32,0.008844840340316296,0.1112382784485817,0.30454325675964355
10,480,4,16,0.014983181841671467,0.08903653174638748,0.5286403298377991
10,480,5,16,0.018778905272483826,0.13777311146259308,0.4274876117706299
10,480,6,8,0.028365539386868477,0.14232735335826874,1.0927573442459106
10,480,7,16,0.01348731480538845,0.09572850167751312,0.2581372857093811
10,480,8,16,0.012054364196956158,0.0913596972823143,0.12685376405715942
10,480,9,16,0.005736363586038351,0.09343203902244568,0.12415046244859695
10,480,10,32,0.000651515438221395,0.11612270772457123,0.00848909467458725
10,480,11,32,0.0020473524928092957,0.13749249279499054,0.06678362935781479
10,480,12,32,0.011906780302524567,0.04293563961982727,0.17350836098194122
10,480,13,64,0.05178317055106163,0.18604081869125366,1.4513094425201416
10,480,14,64,0.018570981919765472,0.27875158190727234,0.5512614250183105
10,480,15,64,0.015295343473553658,0.07342652976512909,0.6684654951095581
15,420,0,64,0.010951552540063858,0.07775294780731201,0.5412795543670654
15,420,1,64,0.036791253834962845,0.12022686004638672,1.1742960214614868
15,420,2,32,0.0046936385333538055,0.04507583752274513,0.2766171097755432
15,420,3,32,0.008583170361816883,0.10938704758882523,0.285065621137619
15,420,4,16,0.013390029780566692,0.09283359348773956,0.470699667930603
15,420,5,16,0.01622309535741806,0.1312343031167984,0.38063937425613403
15,420,6,8,0.028035879135131836,0.1589115709066391,1.038385033607483
15,420,7,16,0.014162627048790455,0.12244842201471329,0.22201168537139893
15,420,8,16,0.009842033497989178,0.09681866317987442,0.10496769845485687
15,420,9,16,0.005502196028828621,0.09374375641345978,0.09604576230049133
15,420,10,32,0.0005879318341612816,0.11872409284114838,0.008283324539661407
15,420,11,32,0.0030957399867475033,0.16410651803016663,0.07539694011211395
15,420,12,32,0.017111707478761673,0.07288245856761932,0.19857272505760193
15,420,13,64,0.05176025629043579,0.18019892275333405,1.4247173070907593
15,420,14,64,0.016291609033942223,0.29396316409111023,0.5006082057952881
15,420,15,64,0.015197538770735264,0.0526665635406971,0.6816860437393188
20,360,0,64,0.010615146718919277,0.0934024378657341,0.5031667947769165
20,360,1,64,0.03900427743792534,0.13178539276123047,1.173982858657837
20,360,2,32,0.004466102924197912,0.049879103899002075,0.23185639083385468
20,360,3,32,0.008157623931765556,0.11510069668292999,0.26093772053718567
20,360,4,16,0.01238588523119688,0.0940953716635704,0.42949187755584717
20,360,5,16,0.014500444754958153,0.12765121459960938,0.3396533131599426
20,360,6,8,0.026139764115214348,0.14175403118133545,0.9938430786132812
20,360,7,16,0.013555344194173813,0.12558069825172424,0.1967429518699646
20,360,8,16,0.008563606068491936,0.08869297802448273,0.09223378449678421
20,360,9,16,0.005254555493593216,0.08854217082262039,0.08418279886245728
20,360,10,32,0.0005742526846006513,0.11935464292764664,0.008547301404178143
20,360,11,32,0.0034180996008217335,0.16305364668369293,0.07455429434776306
20,360,12,32,0.022120816633105278,0.09185197949409485,0.2179688960313797
20,360,13,64,0.05406000465154648,0.18660470843315125,1.414056658744812
20,360,14,64,0.014830265194177628,0.2968248128890991,0.4704611599445343
20,360,15,64,0.01517373789101839,0.077050119638443,0.6913130283355713
25,300,0,64,0.010272996500134468,0.10946542024612427,0.46335557103157043
25,300,1,64,0.041330426931381226,0.15364205837249756,1.1624575853347778
25,300,2,32,0.004285305738449097,0.05060936510562897,0.19898253679275513
25,300,3,32,0.007527071982622147,0.12051133066415787,0.23544450104236603
25,300,4,16,0.01168484054505825,0.09512533992528915,0.39857593178749084
25,300,5,16,0.012765705585479736,0.12476267665624619,0.3017686605453491
25,300,6,8,0.024189304560422897,0.12539492547512054,0.9517191648483276
25,300,7,16,0.012947036884725094,0.12204300612211227,0.1756519079208374
25,300,8,16,0.007801137864589691,0.08086665719747543,0.08210152387619019
25,300,9,16,0.004773447290062904,0.07661735266447067,0.0748637244105339
25,300,10,32,0.0005652995896525681,0.12022097408771515,0.008485618978738785
25,300,11,32,0.0034984920639544725,0.1744733601808548,0.0713890790939331
25,300,12,32,0.028019174933433533,0.10110136866569519,0.23690654337406158
25,300,13,64,0.05877913534641266,0.19116339087486267,1.4080853462219238
25,300,14,64,0.013388114981353283,0.2773253321647644,0.4458576738834381
25,300,15,64,0.014910506084561348,0.08049474656581879,0.6879068613052368
30,240,0,64,0.009960737079381943,0.12408013641834259,0.42390161752700806
30,240,1,64,0.04248102009296417,0.16191285848617554,1.1270209550857544
30,240,2,32,0.004051783587783575,0.048934243619441986,0.17281636595726013
30,240,3,32,0.006893504876643419,0.11920955777168274,0.21193839609622955
30,240,4,16,0.01084538921713829,0.09093376994132996,0.36998870968818665
30,240,5,16,0.011205116286873817,0.118659108877182,0.2695431709289551
30,240,6,8,0.023006949573755264,0.11939361691474915,0.9141173362731934
30,240,7,16,0.012435524724423885,0.12167026102542877,0.15689542889595032
30,240,8,16,0.007495668716728687,0.08144165575504303,0.07316948473453522
30,240,9,16,0.00393850589171052,0.05414028838276863,0.06488378345966339
30,240,10,32,0.0005474848439916968,0.12068169564008713,0.008183829486370087
30,240,11,32,0.0033638635650277138,0.18235118687152863,0.06577526777982712
30,240,12,32,0.03208698332309723,0.10107298195362091,0.24360032379627228
30,240,13,64,0.0652608573436737,0.2000671625137329,1.4032719135284424
30,240,14,64,0.012039078399538994,0.22616590559482574,0.4248778820037842
30,240,15,64,0.014422641135752201,0.07969775795936584,0.6663036346435547
35,180,0,64,0.009594932198524475,0.13773144781589508,0.3852514624595642
