step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.013181483373045921,0.03801289200782776,0.8448280096054077
0,600,1,64,0.03633227199316025,0.08978087455034256,1.3092396259307861
0,600,2,32,0.01349056139588356,0.05942973494529724,0.7958452701568604
0,600,3,32,0.012402331456542015,0.040719784796237946,0.4267635941505432
0,600,4,16,0.01608327589929104,0.11554007232189178,0.7952932119369507
0,600,5,16,0.019632361829280853,0.12495657056570053,0.6148416996002197
0,600,6,8,0.04930499568581581,0.18347172439098358,1.3963439464569092
0,600,7,16,0.029835715889930725,0.11291448771953583,0.3720449209213257
0,600,8,16,0.01247616857290268,0.06301740556955338,0.11711794137954712
0,600,9,16,0.0021650991402566433,0.014958258718252182,0.18067985773086548
0,600,10,32,0.0009964003693312407,0.12364847213029861,0.011518862098455429
0,600,11,32,0.002147448481991887,0.040648337453603745,0.12465038895606995
0,600,12,32,0.006444953382015228,0.053757064044475555,0.25056055188179016
0,600,13,64,0.04620211571455002,0.13977403938770294,1.5008275508880615
0,600,14,64,0.013707439415156841,0.07406223565340042,0.5951490998268127
0,600,15,64,0.012834044173359871,0.025521520525217056,0.6101369857788086
5,540,0,64,0.013480551540851593,0.0409240797162056,0.8268330693244934
5,540,1,64,0.036190565675497055,0.09335565567016602,1.2820124626159668
5,540,2,32,0.015330204740166664,0.08470287173986435,0.7961052656173706
5,540,3,32,0.012344224378466606,0.04242149367928505,0.40415114164352417
5,540,4,16,0.014531021937727928,0.10302356630563736,0.7109736204147339
5,540,5,16,0.01915196143090725,0.11596144735813141,0.4630320072174072
5,540,6,8,0.02990378625690937,0.13033419847488403,1.1018093824386597
5,540,7,16,0.034562595188617706,0.11829973757266998,0.2655556797981262
5,540,8,16,0.0171493012458086,0.07466622442007065,0.16105292737483978
5,540,9,16,0.002231657039374113,0.02949092909693718,0.10685747861862183
5,540,10,32,0.0009154314175248146,0.12467934191226959,0.008205464109778404
5,540,11,32,0.004755198024213314,0.13960538804531097,0.13208052515983582
5,540,12,32,0.008731535635888577,0.08433230221271515,0.2331138402223587
5,540,13,64,0.0482797808945179,0.17846393585205078,1.522200584411621
5,540,14,64,0.017911262810230255,0.16946199536323547,0.6457915902137756
5,540,15,64,0.015353627502918243,0.07688236981630325,0.6592845916748047
10,480,0,64,0.013612314127385616,0.04308751970529556,0.7924801111221313
10,480,1,64,0.03657126426696777,0.10294277966022491,1.2524163722991943
10,480,2,32,0.014690897427499294,0.08812373131513596,0.7451877593994141
10,480,3,32,0.011797282844781876,0.04556688293814659,0.3855522871017456
10,480,4,16,0.012684276327490807,0.09391617774963379,0.6489090919494629
10,480,5,16,0.020461171865463257,0.12011612951755524,0.456081748008728
10,480,6,8,0.029716968536376953,0.12714441120624542,0.9715119004249573
10,480,7,16,0.03993517905473709,0.11629175394773483,0.26056718826293945
10,480,8,16,0.017569463700056076,0.07963211834430695,0.16736261546611786
