step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.009830300696194172,0.04141594097018242,0.799222469329834
0,600,1,64,0.031627461314201355,0.09122461080551147,1.2168364524841309
0,600,2,32,0.010550127364695072,0.04741423577070236,0.7451596260070801
0,600,3,32,0.01528875157237053,0.08634182810783386,0.48703262209892273
0,600,4,16,0.0359758660197258,0.14836964011192322,0.8342041373252869
0,600,5,16,0.05380188301205635,0.19970665872097015,0.8123384714126587
0,600,6,8,0.06504037976264954,0.17677974700927734,1.5339436531066895
0,600,7,16,0.06169634312391281,0.31401267647743225,0.6439247131347656
0,600,8,16,0.032186273485422134,0.2150609940290451,0.16709059476852417
0,600,9,16,0.021144025027751923,0.20618338882923126,0.20856715738773346
0,600,10,32,0.0005585593171417713,0.02612893097102642,0.015962954610586166
0,600,11,32,0.002118824515491724,0.035494230687618256,0.13249215483665466
0,600,12,32,0.010409804061055183,0.1363803893327713,0.3589489459991455
0,600,13,64,0.05755423754453659,0.1730402559041977,1.486708641052246
0,600,14,64,0.014923916198313236,0.08855833858251572,0.46001964807510376
0,600,15,64,0.011498220264911652,0.05366974696516991,0.6035901308059692
5,540,0,64,0.009605266153812408,0.05337909609079361,0.7411321401596069
5,540,1,64,0.03220480680465698,0.10150007158517838,1.2086855173110962
5,540,2,32,0.012253678403794765,0.08989718556404114,0.6966342926025391
5,540,3,32,0.015533320605754852,0.08252878487110138,0.46993666887283325
5,540,4,16,0.03519345074892044,0.1747683733701706,0.7641711235046387
5,540,5,16,0.06536419689655304,0.24254821240901947,0.766655445098877
5,540,6,8,0.06296204030513763,0.1654125601053238,1.323840856552124
5,540,7,16,0.04862375557422638,0.24728330969810486,0.40647444128990173
5,540,8,16,0.031128477305173874,0.27648642659187317,0.16419896483421326
5,540,9,16,0.021796921268105507,0.22533875703811646,0.1510620415210724
5,540,10,32,0.0008133416413329542,0.025591634213924408,0.018253887072205544
5,540,11,32,0.004610263742506504,0.11218935996294022,0.1543930470943451
5,540,12,32,0.01845880039036274,0.19581744074821472,0.33222055435180664
5,540,13,64,0.07054883241653442,0.18079635500907898,1.5173778533935547
5,540,14,64,0.02050825022161007,0.15352532267570496,0.4704023599624634
5,540,15,64,0.012378912419080734,0.10176561772823334,0.611839234828949
10,480,0,64,0.009873747825622559,0.062359124422073364,0.6968188881874084
10,480,1,64,0.03346477448940277,0.13553504645824432,1.1934233903884888
