step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.009687598794698715,0.11961261928081512,0.6019920110702515
0,400,1,64,0.031268954277038574,0.11246570944786072,1.0587652921676636
0,400,2,32,0.00964469276368618,0.08400388807058334,0.5328363180160522
0,400,3,32,0.012359509244561195,0.08272471278905869,0.37683290243148804
0,400,4,16,0.03590235859155655,0.1520623117685318,0.6365016102790833
0,400,5,16,0.03763918578624725,0.17902375757694244,0.5771489143371582
0,400,6,8,0.04599111154675484,0.13932038843631744,1.1727468967437744
0,400,7,16,0.043241456151008606,0.2673221826553345,0.3847993016242981
0,400,8,16,0.031080109998583794,0.30145514011383057,0.18305104970932007
0,400,9,16,0.019099168479442596,0.1955319195985794,0.1909094601869583
0,400,10,32,0.0004090350994374603,0.02517981268465519,0.010422667488455772
0,400,11,32,0.0022007832303643227,0.05355663225054741,0.12078490108251572
0,400,12,32,0.008001705631613731,0.1229332759976387,0.21139557659626007
0,400,13,64,0.07188722491264343,0.19925548136234283,1.4247426986694336
0,400,14,64,0.014419371262192726,0.1625208705663681,0.4169275462627411
0,400,15,64,0.011317533440887928,0.10464680194854736,0.5696096420288086
5,360,0,64,0.00965719111263752,0.12875637412071228,0.5714006423950195
5,360,1,64,0.032023362815380096,0.1234201118350029,1.034144639968872
5,360,2,32,0.009059714153409004,0.08429551124572754,0.4800499975681305
5,360,3,32,0.012557825073599815,0.09394779056310654,0.37369459867477417
5,360,4,16,0.033983442932367325,0.16119053959846497,0.6033306121826172
5,360,5,16,0.03463269770145416,0.16332630813121796,0.5396983623504639
5,360,6,8,0.046776846051216125,0.14805112779140472,1.0764631032943726
5,360,7,16,0.04007916897535324,0.3711394965648651,0.32630470395088196
5,360,8,16,0.02949446067214012,0.257776141166687,0.1580514907836914
5,360,9,16,0.01768970862030983,0.21586500108242035,0.1733190417289734
5,360,10,32,0.000414324167650193,0.028842145577073097,0.00943015981465578
5,360,11,32,0.0023275031708180904,0.06873603910207748,0.09986220300197601
5,360,12,32,0.008694985881447792,0.12556135654449463,0.19377079606056213
5,360,13,64,0.07645424455404282,0.21759577095508575,1.4260833263397217
5,360,14,64,0.014156405813992023,0.18134501576423645,0.4329143166542053
5,360,15,64,0.01157846674323082,0.07942529022693634,0.5686240792274475
10,320,0,64,0.009588059037923813,0.1366925686597824,0.5393329858779907
10,320,1,64,0.03258364647626877,0.14271748065948486,1.0023692846298218
10,320,2,32,0.008204322308301926,0.08237665891647339,0.42361506819725037
10,320,3,32,0.012048259377479553,0.10363975912332535,0.3659754693508148
10,320,4,16,0.03159588575363159,0.13932321965694427,0.5570191144943237
10,320,5,16,0.032704610377550125,0.15365658700466156,0.5154553651809692
10,320,6,8,0.04439643770456314,0.13902251422405243,1.0028038024902344
10,320,7,16,0.03707273676991463,0.3074151277542114,0.2938334047794342
10,320,8,16,0.029115714132785797,0.24709205329418182,0.1517723947763443
10,320,9,16,0.016720663756132126,0.2313932329416275,0.16019587218761444
10,320,10,32,0.00041504131513647735,0.027616046369075775,0.008248496800661087
10,320,11,32,0.0023080147802829742,0.06544394046068192,0.09377612918615341
10,320,12,32,0.008487633429467678,0.1207485944032669,0.1771719753742218
10,320,13,64,0.0796862468123436,0.22072821855545044,1.4287811517715454
10,320,14,64,0.014043163508176804,0.17353731393814087,0.4477444887161255
10,320,15,64,0.011520673520863056,0.07691488415002823,0.5663409233093262
15,280,0,64,0.009477213956415653,0.14375633001327515,0.5078001618385315
15,280,1,64,0.03278953954577446,0.15632708370685577,0.9625471234321594
15,280,2,32,0.0076560997404158115,0.07975341379642487,0.3788318336009979
15,280,3,32,0.011364840902388096,0.09699450433254242,0.35182905197143555
15,280,4,16,0.030096806585788727,0.13096491992473602,0.5231125354766846
15,280,5,16,0.031827349215745926,0.16742241382598877,0.500429093837738
15,280,6,8,0.041691698133945465,0.13735300302505493,0.9234507083892822
15,280,7,16,0.03482282906770706,0.31330758333206177,0.27043527364730835
15,280,8,16,0.027731187641620636,0.24361704289913177,0.14696654677391052
15,280,9,16,0.016184551641345024,0.26325371861457825,0.1547311246395111
15,280,10,32,0.0004410965775605291,0.024543972685933113,0.008030464872717857
15,280,11,32,0.002329925773665309,0.05867752805352211,0.09138298779726028
15,280,12,32,0.008721159771084785,0.12408823519945145,0.16454453766345978
15,280,13,64,0.08328065276145935,0.2771289348602295,1.426124930381775
15,280,14,64,0.014049705117940903,0.2020968794822693,0.4599391520023346
15,280,15,64,0.011315235868096352,0.07735159248113632,0.55872642993927
20,240,0,64,0.00922912172973156,0.1504921019077301,0.47493547201156616
20,240,1,64,0.03275560587644577,0.16213268041610718,0.9173469543457031
20,240,2,32,0.007169093005359173,0.0728948637843132,0.3372231721878052
20,240,3,32,0.0104529969394207,0.08918290585279465,0.3311111629009247
20,240,4,16,0.02845141291618347,0.12549680471420288,0.49041640758514404
20,240,5,16,0.0304393507540226,0.18043892085552216,0.48161208629608154
20,240,6,8,0.03876649588346481,0.13324618339538574,0.8429281711578369
20,240,7,16,0.03333891183137894,0.32609444856643677,0.2536678910255432
20,240,8,16,0.026598064228892326,0.23982560634613037,0.14390364289283752
20,240,9,16,0.01608937606215477,0.3056538701057434,0.14940807223320007
20,240,10,32,0.0004909308045171201,0.03145403042435646,0.007872956804931164
20,240,11,32,0.00249111233279109,0.08244988322257996,0.08989590406417847
20,240,12,32,0.008541940711438656,0.13077254593372345,0.15348878502845764
20,240,13,64,0.0869479775428772,0.2748609781265259,1.4222098588943481
20,240,14,64,0.0137296998873353,0.17626212537288666,0.46610021591186523
20,240,15,64,0.011001186445355415,0.08015395700931549,0.5465074777603149
25,200,0,64,0.008853915147483349,0.15689155459403992,0.44240641593933105
25,200,1,64,0.032619327306747437,0.17816300690174103,0.8674522638320923
25,200,2,32,0.006665651686489582,0.07676039636135101,0.29784590005874634
25,200,3,32,0.009432691149413586,0.09950779378414154,0.30525314807891846
25,200,4,16,0.026481900364160538,0.11987312883138657,0.455665647983551
25,200,5,16,0.029275206848978996,0.1822662502527237,0.462220698595047
25,200,6,8,0.035704612731933594,0.1289035975933075,0.7705196738243103
25,200,7,16,0.03188613802194595,0.32895103096961975,0.23815640807151794
25,200,8,16,0.025413403287529945,0.228788822889328,0.1379084289073944
25,200,9,16,0.01571550965309143,0.28317520022392273,0.1367863416671753
25,200,10,32,0.0004599081876222044,0.030023980885744095,0.0072821518406271935
25,200,11,32,0.002365381456911564,0.07664709538221359,0.08803444355726242
25,200,12,32,0.008154110983014107,0.12903884053230286,0.14267241954803467
25,200,13,64,0.09038089215755463,0.2879717946052551,1.433060646057129
25,200,14,64,0.012505256570875645,0.10897109657526016,0.46421825885772705
25,200,15,64,0.010679388418793678,0.07977540045976639,0.5241246223449707
30,160,0,64,0.008360352367162704,0.16319018602371216,0.41131240129470825
30,160,1,64,0.032351575791835785,0.18762746453285217,0.8138878345489502
30,160,2,32,0.006217820569872856,0.08091270923614502,0.26305586099624634
30,160,3,32,0.008464617654681206,0.10656224936246872,0.2774503827095032
30,160,4,16,0.024183325469493866,0.11886746436357498,0.4167982339859009
30,160,5,16,0.02893548086285591,0.17604459822177887,0.4442787170410156
30,160,6,8,0.0319475382566452,0.12502534687519073,0.7073447108268738
30,160,7,16,0.02999284118413925,0.3205963969230652,0.2235855758190155
30,160,8,16,0.02424686588346958,0.21765460073947906,0.13091526925563812
30,160,9,16,0.01541745662689209,0.25677376985549927,0.12593787908554077
30,160,10,32,0.00043999720946885645,0.022203274071216583,0.00655723549425602
30,160,11,32,0.002207036130130291,0.06650975346565247,0.08557082712650299
30,160,12,32,0.007693983148783445,0.12336164712905884,0.13322713971138
30,160,13,64,0.09476811438798904,0.2916501760482788,1.4535218477249146
30,160,14,64,0.011575885117053986,0.12057797610759735,0.4611683785915375
30,160,15,64,0.01085849292576313,0.07413304597139359,0.5090912580490112
35,120,0,64,0.007713327184319496,0.1701653003692627,0.3795461654663086
35,120,1,64,0.03135409951210022,0.17767226696014404,0.7505580186843872
35,120,2,32,0.005842884536832571,0.07975869625806808,0.23343318700790405
35,120,3,32,0.007585444487631321,0.0943165048956871,0.25094884634017944
35,120,4,16,0.02164221927523613,0.11990582197904587,0.37428784370422363
35,120,5,16,0.028466900810599327,0.16292008757591248,0.42314890027046204
35,120,6,8,0.027841167524456978,0.11999958753585815,0.6537477970123291
35,120,7,16,0.026951907202601433,0.30615901947021484,0.20727097988128662
35,120,8,16,0.022921888157725334,0.20445960760116577,0.1246708557009697
35,120,9,16,0.015215057879686356,0.22924812138080597,0.12081913650035858
35,120,10,32,0.0004369100206531584,0.02251271717250347,0.006146088242530823
35,120,11,32,0.002026390051469207,0.06118474155664444,0.08104124665260315
35,120,12,32,0.0069964309222996235,0.12076536566019058,0.12424097210168839
35,120,13,64,0.10146808624267578,0.2644568085670471,1.467306137084961
35,120,14,64,0.010330082848668098,0.11074210703372955,0.453716516494751
35,120,15,64,0.010888954624533653,0.06391546130180359,0.49570921063423157
40,80,0,64,0.0069514052011072636,0.178397998213768,0.3459283113479614
40,80,1,64,0.02876381203532219,0.15498784184455872,0.6661021709442139
40,80,2,32,0.0054030646570026875,0.07311223447322845,0.20581571757793427
40,80,3,32,0.00672823004424572,0.06688468158245087,0.22505775094032288
40,80,4,16,0.019157659262418747,0.1143491268157959,0.3333892524242401
40,80,5,16,0.02717176266014576,0.16919438540935516,0.3987717628479004
40,80,6,8,0.024290163069963455,0.11453914642333984,0.6192299127578735
40,80,7,16,0.023580025881528854,0.2896423935890198,0.1900070309638977
40,80,8,16,0.021303318440914154,0.18296878039836884,0.11790987849235535
40,80,9,16,0.014877302572131157,0.20458973944187164,0.11598236858844757
40,80,10,32,0.0004098422941751778,0.025856317952275276,0.005751817487180233
40,80,11,32,0.0018385490402579308,0.06275471299886703,0.0757879689335823
40,80,12,32,0.006218005903065205,0.11285407096147537,0.11468490958213806
40,80,13,64,0.1106102466583252,0.25819897651672363,1.4772133827209473
40,80,14,64,0.00904084462672472,0.09704677015542984,0.4475226402282715
40,80,15,64,0.011158750392496586,0.06524015218019485,0.48720234632492065
45,40,0,64,0.006276026833802462,0.1894262731075287,0.3102377653121948
45,40,1,64,0.02287520468235016,0.15817610919475555,0.5439714789390564
45,40,2,32,0.004807233344763517,0.06289928406476974,0.17591668665409088
45,40,3,32,0.005734679754823446,0.06151803582906723,0.1972070336341858
45,40,4,16,0.016386784613132477,0.09961938858032227,0.291464239358902
45,40,5,16,0.02530631050467491,0.17787782847881317,0.368773877620697
45,40,6,8,0.0209738090634346,0.1081598699092865,0.5908725261688232
45,40,7,16,0.020422756671905518,0.2658667266368866,0.1738070249557495
45,40,8,16,0.019328303635120392,0.16612695157527924,0.11060598492622375
45,40,9,16,0.014124646782875061,0.1892809271812439,0.10813778638839722
45,40,10,32,0.00035930867306888103,0.02544485777616501,0.005327880848199129
45,40,11,32,0.0016086236573755741,0.05631565302610397,0.06985083222389221
45,40,12,32,0.005343429744243622,0.1078881174325943,0.10442184656858444
45,40,13,64,0.12370629608631134,0.26280468702316284,1.4792661666870117
45,40,14,64,0.00816691480576992,0.11259409785270691,0.45327863097190857
45,40,15,64,0.01226106472313404,0.0774303674697876,0.5006985664367676
49,8,0,64,0.006506843026727438,0.2030954360961914,0.2790989875793457
49,8,1,64,0.01145018171519041,0.12128448486328125,0.3582564890384674
49,8,2,32,0.003947465214878321,0.06246963143348694,0.14133557677268982
49,8,3,32,0.0042955223470926285,0.0656157061457634,0.1635909080505371
49,8,4,16,0.013160665519535542,0.07864975184202194,0.24946509301662445
49,8,5,16,0.02218089997768402,0.16735608875751495,0.3260444402694702
49,8,6,8,0.019059639424085617,0.10151407867670059,0.5826364755630493
49,8,7,16,0.017810475081205368,0.23131932318210602,0.16294047236442566
49,8,8,16,0.017114561051130295,0.15343239903450012,0.10217234492301941
49,8,9,16,0.01296188123524189,0.16383832693099976,0.09604914486408234
49,8,10,32,0.0003053235705010593,0.026179976761341095,0.004933080170303583
49,8,11,32,0.0014184555038809776,0.04735403507947922,0.06447720527648926
49,8,12,32,0.004523340612649918,0.10742144286632538,0.09396874904632568
49,8,13,64,0.1415073424577713,0.2758557200431824,1.469752550125122
49,8,14,64,0.009639532305300236,0.12063310295343399,0.49103090167045593
49,8,15,64,0.015025045722723007,0.10926781594753265,0.604107677936554
