step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008082915097475052,0.07530801743268967,0.6126490831375122
0,400,1,64,0.0425649993121624,0.15757495164871216,1.1604464054107666
0,400,2,32,0.006418051663786173,0.0751001313328743,0.44762542843818665
0,400,3,32,0.014033159241080284,0.09926025569438934,0.33898672461509705
0,400,4,16,0.035833436995744705,0.13176903128623962,0.5824772715568542
0,400,5,16,0.03059345670044422,0.15112368762493134,0.5914328098297119
0,400,6,8,0.047784894704818726,0.14401040971279144,1.1686558723449707
0,400,7,16,0.03933735191822052,0.21384383738040924,0.39673227071762085
0,400,8,16,0.02255101129412651,0.23422344028949738,0.15445594489574432
0,400,9,16,0.017657160758972168,0.20804043114185333,0.15149319171905518
0,400,10,32,0.0004764194309245795,0.03463360294699669,0.010613830760121346
0,400,11,32,0.0026557971723377705,0.06003167852759361,0.13523419201374054
0,400,12,32,0.006571095436811447,0.14656737446784973,0.21407002210617065
0,400,13,64,0.06448878347873688,0.19969972968101501,1.3762357234954834
0,400,14,64,0.016544613987207413,0.13933336734771729,0.4544266164302826
0,400,15,64,0.009996762499213219,0.06626798212528229,0.5684611797332764
5,360,0,64,0.008366168476641178,0.08035465329885483,0.5723793506622314
5,360,1,64,0.0444396510720253,0.17755438387393951,1.1572118997573853
5,360,2,32,0.0060505070723593235,0.06960835307836533,0.4005013704299927
5,360,3,32,0.013854870572686195,0.10598844289779663,0.32266348600387573
5,360,4,16,0.03342723101377487,0.1336216777563095,0.5399184823036194
5,360,5,16,0.031119588762521744,0.1447838395833969,0.5614156723022461
5,360,6,8,0.04919179528951645,0.13947083055973053,1.1428072452545166
5,360,7,16,0.04483257234096527,0.3104853928089142,0.36665940284729004
5,360,8,16,0.02585340291261673,0.22397178411483765,0.14582525193691254
5,360,9,16,0.015266388654708862,0.18914982676506042,0.12273953855037689
5,360,10,32,0.00045559817226603627,0.04989797621965408,0.009873299859464169
5,360,11,32,0.002331205178052187,0.06108376011252403,0.10213761776685715
5,360,12,32,0.006521992385387421,0.12579043209552765,0.20304471254348755
5,360,13,64,0.06954803317785263,0.19517375528812408,1.3711649179458618
5,360,14,64,0.016853030771017075,0.1943269670009613,0.4596879482269287
5,360,15,64,0.009693028405308723,0.08024447411298752,0.5539748668670654
10,320,0,64,0.00874667800962925,0.08834223449230194,0.5369598865509033
10,320,1,64,0.04668391868472099,0.2037968933582306,1.1565935611724854
10,320,2,32,0.005327099002897739,0.05678974837064743,0.3492943346500397
10,320,3,32,0.01293923333287239,0.11100375652313232,0.3018295168876648
10,320,4,16,0.031122900545597076,0.14071382582187653,0.4827936887741089
10,320,5,16,0.030916620045900345,0.14823639392852783,0.518604040145874
10,320,6,8,0.048260465264320374,0.13669206202030182,1.050483226776123
10,320,7,16,0.042393989861011505,0.3259090483188629,0.31978440284729004
10,320,8,16,0.02700522541999817,0.20115932822227478,0.14831632375717163
10,320,9,16,0.01511719636619091,0.20383603870868683,0.11569790542125702
10,320,10,32,0.0004026442184112966,0.023621980100870132,0.00850127637386322
10,320,11,32,0.002575579099357128,0.06759199500083923,0.09658928215503693
10,320,12,32,0.007675246335566044,0.11221107840538025,0.18597307801246643
10,320,13,64,0.07202306389808655,0.24081212282180786,1.3708412647247314
10,320,14,64,0.015828289091587067,0.20297344028949738,0.4629961848258972
10,320,15,64,0.009660592302680016,0.07297457754611969,0.5520741939544678
15,280,0,64,0.009054571390151978,0.09656475484371185,0.5045881271362305
15,280,1,64,0.048193830996751785,0.22313818335533142,1.1388030052185059
15,280,2,32,0.004974015988409519,0.05465769022703171,0.30787765979766846
15,280,3,32,0.011671286076307297,0.09951572865247726,0.28073012828826904
15,280,4,16,0.029698600992560387,0.15346196293830872,0.4450368583202362
15,280,5,16,0.031030818819999695,0.1621006429195404,0.48835060000419617
15,280,6,8,0.044486887753009796,0.1348365694284439,0.9383437633514404
15,280,7,16,0.03722541034221649,0.29480040073394775,0.2845824956893921
15,280,8,16,0.025817979127168655,0.20448929071426392,0.1431131213903427
15,280,9,16,0.014845697209239006,0.20274239778518677,0.11171234399080276
15,280,10,32,0.00040998030453920364,0.020677169784903526,0.008487903513014317
15,280,11,32,0.002757803536951542,0.08036912232637405,0.09716341644525528
15,280,12,32,0.008284350857138634,0.13042253255844116,0.17270545661449432
15,280,13,64,0.07558397948741913,0.25440889596939087,1.3724730014801025
15,280,14,64,0.014551140367984772,0.18892815709114075,0.45961353182792664
15,280,15,64,0.009454619139432907,0.07312187552452087,0.5432062149047852
20,240,0,64,0.009328503161668777,0.10355011373758316,0.4746339023113251
20,240,1,64,0.04899030923843384,0.23294678330421448,1.1059521436691284
20,240,2,32,0.004780550487339497,0.058837875723838806,0.27557843923568726
20,240,3,32,0.010623382404446602,0.0936945378780365,0.2613087296485901
20,240,4,16,0.02835468016564846,0.1517816185951233,0.4133667051792145
20,240,5,16,0.029467126354575157,0.16138342022895813,0.4613247513771057
20,240,6,8,0.04096972569823265,0.1330440640449524,0.8595668077468872
20,240,7,16,0.033343151211738586,0.2794082760810852,0.2626669406890869
20,240,8,16,0.024385403841733932,0.20502597093582153,0.13620665669441223
20,240,9,16,0.0142808947712183,0.20426182448863983,0.10826928913593292
20,240,10,32,0.00042066790047101676,0.021239159628748894,0.008444277569651604
20,240,11,32,0.0026424997486174107,0.0824027955532074,0.09427237510681152
20,240,12,32,0.007940550334751606,0.13203704357147217,0.16250193119049072
20,240,13,64,0.07971139252185822,0.2592254877090454,1.3756890296936035
20,240,14,64,0.013162687420845032,0.16169238090515137,0.45509785413742065
20,240,15,64,0.00923045352101326,0.08104036748409271,0.5313162207603455
25,200,0,64,0.00962088629603386,0.10919041931629181,0.4515562653541565
25,200,1,64,0.048627547919750214,0.2378314733505249,1.0519294738769531
25,200,2,32,0.004614387638866901,0.059947386384010315,0.24854110181331635
25,200,3,32,0.009789716452360153,0.08871138095855713,0.24305057525634766
25,200,4,16,0.02657068334519863,0.14562420547008514,0.3828323483467102
25,200,5,16,0.027628734707832336,0.15405236184597015,0.4392355680465698
25,200,6,8,0.038554634898900986,0.13124538958072662,0.7987263202667236
25,200,7,16,0.02998298592865467,0.2533843517303467,0.24741560220718384
25,200,8,16,0.023142073303461075,0.20208413898944855,0.13084103167057037
25,200,9,16,0.013991057872772217,0.20141106843948364,0.10566233098506927
25,200,10,32,0.0004306764458306134,0.023806240409612656,0.008348671719431877
25,200,11,32,0.0025048297829926014,0.08658852428197861,0.09160405397415161
25,200,12,32,0.007493184879422188,0.1279074102640152,0.15455862879753113
25,200,13,64,0.08434279263019562,0.26079505681991577,1.380669355392456
25,200,14,64,0.011914107948541641,0.13018541038036346,0.45239201188087463
25,200,15,64,0.009105638600885868,0.0813908502459526,0.5173186659812927
30,160,0,64,0.009959611110389233,0.11345717310905457,0.4377819895744324
30,160,1,64,0.04659390076994896,0.23861701786518097,0.9744742512702942
30,160,2,32,0.004377353936433792,0.0582372285425663,0.22408969700336456
30,160,3,32,0.009004734456539154,0.08694598078727722,0.22406744956970215
30,160,4,16,0.024456486105918884,0.13700100779533386,0.3537410497665405
30,160,5,16,0.025769073516130447,0.14810287952423096,0.4185606837272644
30,160,6,8,0.03634854033589363,0.12971723079681396,0.7392992377281189
30,160,7,16,0.027422985062003136,0.2376534342765808,0.23198971152305603
30,160,8,16,0.02209567278623581,0.19609187543392181,0.12611061334609985
30,160,9,16,0.013829225674271584,0.18998795747756958,0.10294519364833832
30,160,10,32,0.00043705536518245935,0.02550513669848442,0.008158120326697826
30,160,11,32,0.002391044283285737,0.09033714979887009,0.08884620666503906
