step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012232078239321709,0.07415638118982315,0.6680493950843811
0,400,1,64,0.03430692106485367,0.12005212903022766,1.1846851110458374
0,400,2,32,0.013162982650101185,0.08306948840618134,0.6526962518692017
0,400,3,32,0.0190352201461792,0.114847332239151,0.4477246105670929
0,400,4,16,0.028682753443717957,0.14044682681560516,0.5855990648269653
0,400,5,16,0.0325949490070343,0.14597928524017334,0.5590969920158386
0,400,6,8,0.04943058639764786,0.14647276699543,1.264024257659912
0,400,7,16,0.02774851769208908,0.20542599260807037,0.3413299024105072
0,400,8,16,0.020645100623369217,0.1967499554157257,0.1586238294839859
0,400,9,16,0.011027244850993156,0.12239119410514832,0.12433447688817978
0,400,10,32,0.0002109802735503763,0.022049518302083015,0.006456388160586357
0,400,11,32,0.000866791931912303,0.029365627095103264,0.08131606131792068
0,400,12,32,0.00461443280801177,0.06400855630636215,0.13069447875022888
0,400,13,64,0.04898664355278015,0.14573614299297333,1.4610962867736816
0,400,14,64,0.021771907806396484,0.14374898374080658,0.5373756289482117
0,400,15,64,0.012213465757668018,0.19151970744132996,0.5430987477302551
5,360,0,64,0.012232476845383644,0.0810980573296547,0.6359425783157349
5,360,1,64,0.035293757915496826,0.1206367164850235,1.1781628131866455
5,360,2,32,0.0132908308878541,0.09195522964000702,0.61216139793396
5,360,3,32,0.01828176900744438,0.11506207287311554,0.42051106691360474
5,360,4,16,0.027711957693099976,0.14166618883609772,0.5448532104492188
5,360,5,16,0.02880517765879631,0.1510707587003708,0.5123016834259033
5,360,6,8,0.044356487691402435,0.14395391941070557,1.205134391784668
5,360,7,16,0.02568947523832321,0.20574122667312622,0.2999052107334137
5,360,8,16,0.02169342339038849,0.21331603825092316,0.1588638424873352
5,360,9,16,0.010652655735611916,0.1199026107788086,0.11519882827997208
5,360,10,32,0.00020071461040060967,0.02353724278509617,0.006385883782058954
5,360,11,32,0.0009193449513986707,0.034125618636608124,0.07878042012453079
5,360,12,32,0.0041522555984556675,0.06504147499799728,0.11223043501377106
5,360,13,64,0.05266215652227402,0.16388732194900513,1.4684349298477173
5,360,14,64,0.02321968972682953,0.14580774307250977,0.5445853471755981
5,360,15,64,0.011599168181419373,0.14309363067150116,0.5295137763023376
10,320,0,64,0.012391958385705948,0.08620322495698929,0.6072899103164673
10,320,1,64,0.03647075220942497,0.1209312230348587,1.170396327972412
10,320,2,32,0.013289636000990868,0.09098409116268158,0.5701460838317871
10,320,3,32,0.017036989331245422,0.1239953488111496,0.38935545086860657
10,320,4,16,0.02607487514615059,0.14603537321090698,0.5020236968994141
10,320,5,16,0.02521520107984543,0.1512036770582199,0.4727756977081299
10,320,6,8,0.04047229886054993,0.13715732097625732,1.1753227710723877
10,320,7,16,0.023288503289222717,0.2082691490650177,0.27189314365386963
10,320,8,16,0.02163654938340187,0.22383525967597961,0.15221822261810303
10,320,9,16,0.010754071176052094,0.1327407956123352,0.10846489667892456
10,320,10,32,0.00019674742361530662,0.025119630619883537,0.006554463878273964
10,320,11,32,0.0010461483616381884,0.03864655643701553,0.07791243493556976
10,320,12,32,0.004019834101200104,0.058645620942115784,0.0988265722990036
10,320,13,64,0.058281309902668,0.20659714937210083,1.4786112308502197
10,320,14,64,0.024185804650187492,0.15341010689735413,0.5524663925170898
10,320,15,64,0.010990940034389496,0.04007229954004288,0.5190150737762451
15,280,0,64,0.012659620493650436,0.08892274647951126,0.5823953151702881
15,280,1,64,0.03755069524049759,0.13367699086666107,1.154181718826294
