step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.01085225585848093,0.1078772246837616,0.5832675695419312
0,400,1,64,0.03660111129283905,0.12712624669075012,1.0970655679702759
0,400,2,32,0.008320018649101257,0.16034692525863647,0.4230040907859802
0,400,3,32,0.012612389400601387,0.11070886999368668,0.3602542281150818
0,400,4,16,0.03761344403028488,0.1433972269296646,0.6055956482887268
0,400,5,16,0.03134450688958168,0.18361271917819977,0.5493789911270142
0,400,6,8,0.0469902865588665,0.1388033777475357,1.125793218612671
0,400,7,16,0.03482133522629738,0.2133278250694275,0.3500552177429199
0,400,8,16,0.02509675733745098,0.20562687516212463,0.1902576982975006
0,400,9,16,0.017464924603700638,0.19107836484909058,0.19956731796264648
0,400,10,32,0.0005245909560471773,0.03207097947597504,0.009971249848604202
0,400,11,32,0.0026338291354477406,0.0923583135008812,0.13323155045509338
0,400,12,32,0.007385137490928173,0.15715834498405457,0.1844399869441986
0,400,13,64,0.07500672340393066,0.19179049134254456,1.388680100440979
0,400,14,64,0.013612562790513039,0.13870848715305328,0.4108043611049652
0,400,15,64,0.011261273175477982,0.06623020768165588,0.5554968118667603
5,360,0,64,0.011252585798501968,0.11537512391805649,0.5539678335189819
5,360,1,64,0.03754397854208946,0.14181581139564514,1.077688217163086
5,360,2,32,0.007885372266173363,0.15804630517959595,0.3822651505470276
5,360,3,32,0.012189021334052086,0.11113819479942322,0.34252893924713135
5,360,4,16,0.03599431365728378,0.14193181693553925,0.5783066749572754
5,360,5,16,0.029470540583133698,0.18146899342536926,0.5086871385574341
5,360,6,8,0.045728471130132675,0.14016684889793396,1.1012674570083618
5,360,7,16,0.03439157456159592,0.21998627483844757,0.3250088691711426
5,360,8,16,0.024826593697071075,0.2130274474620819,0.17571844160556793
5,360,9,16,0.017990535125136375,0.24702037870883942,0.18494239449501038
5,360,10,32,0.0005550184869207442,0.03555277734994888,0.010277964174747467
5,360,11,32,0.0024514931719750166,0.08119650930166245,0.12480440735816956
5,360,12,32,0.007367415353655815,0.15727271139621735,0.1736474633216858
5,360,13,64,0.08068598806858063,0.23598633706569672,1.384063482284546
5,360,14,64,0.01329030655324459,0.1365477442741394,0.41537928581237793
5,360,15,64,0.011122756637632847,0.07781653851270676,0.5470021963119507
10,320,0,64,0.01142825372517109,0.12314377725124359,0.5252872705459595
10,320,1,64,0.03852885961532593,0.16244076192378998,1.0581068992614746
10,320,2,32,0.007454322185367346,0.13137394189834595,0.34583044052124023
10,320,3,32,0.011617542244493961,0.11530976742506027,0.3259413242340088
10,320,4,16,0.03335292264819145,0.13892613351345062,0.5489415526390076
10,320,5,16,0.027255389839410782,0.1628556251525879,0.46965235471725464
10,320,6,8,0.044542618095874786,0.14138390123844147,1.0853745937347412
10,320,7,16,0.033966220915317535,0.2316589504480362,0.3054618239402771
10,320,8,16,0.0250497255474329,0.21871843934059143,0.16525202989578247
10,320,9,16,0.018659431487321854,0.23275649547576904,0.17395244538784027
10,320,10,32,0.000536071602255106,0.046744536608457565,0.009840542450547218
10,320,11,32,0.002219551242887974,0.06814747303724289,0.111577108502388
10,320,12,32,0.007523924112319946,0.15209703147411346,0.16505399346351624
10,320,13,64,0.08675344288349152,0.24841150641441345,1.3816194534301758
10,320,14,64,0.013168392702937126,0.11919721961021423,0.4242103695869446
10,320,15,64,0.011179588735103607,0.10696418583393097,0.5404107570648193
15,280,0,64,0.011389868333935738,0.13061340153217316,0.4987620413303375
15,280,1,64,0.039274659007787704,0.17763417959213257,1.0347723960876465
15,280,2,32,0.007119907531887293,0.10095973312854767,0.3135001063346863
15,280,3,32,0.01108567975461483,0.11969001591205597,0.3107418417930603
15,280,4,16,0.03129113093018532,0.1343650072813034,0.5259156227111816
15,280,5,16,0.0257190503180027,0.13530297577381134,0.4360787868499756
15,280,6,8,0.04293735325336456,0.13283956050872803,1.0403058528900146
15,280,7,16,0.03331366553902626,0.23149839043617249,0.28938522934913635
15,280,8,16,0.024168822914361954,0.21052858233451843,0.15665555000305176
15,280,9,16,0.01824348419904709,0.2277149260044098,0.16069160401821136
15,280,10,32,0.0004411339177750051,0.04238845407962799,0.008320435881614685
15,280,11,32,0.002082225400954485,0.054888516664505005,0.09967674314975739
15,280,12,32,0.007831655442714691,0.14490941166877747,0.15496185421943665
15,280,13,64,0.09254595637321472,0.24812829494476318,1.3810101747512817
15,280,14,64,0.01351653691381216,0.10472843050956726,0.44095098972320557
15,280,15,64,0.011402245610952377,0.11027985066175461,0.5379456281661987
20,240,0,64,0.011176572181284428,0.13736030459403992,0.47218528389930725
20,240,1,64,0.03952376917004585,0.18250881135463715,1.004246473312378
20,240,2,32,0.006832522340118885,0.08660446852445602,0.2839301526546478
20,240,3,32,0.010734925046563148,0.12116507440805435,0.2984212040901184
20,240,4,16,0.029508914798498154,0.1272408664226532,0.4978388547897339
20,240,5,16,0.023461662232875824,0.11872349679470062,0.40496793389320374
20,240,6,8,0.04260869324207306,0.12784908711910248,0.9842221140861511
20,240,7,16,0.029774868860840797,0.21092839539051056,0.2739012837409973
20,240,8,16,0.023001104593276978,0.22262069582939148,0.15129077434539795
20,240,9,16,0.018047744408249855,0.21946559846401215,0.1550988256931305
20,240,10,32,0.00037179506034590304,0.032211821526288986,0.00755393598228693
20,240,11,32,0.0020344085060060024,0.05129094794392586,0.09401322901248932
20,240,12,32,0.007423747330904007,0.1373010277748108,0.1418890357017517
20,240,13,64,0.09863775223493576,0.27440860867500305,1.3862583637237549
20,240,14,64,0.014379954896867275,0.14251992106437683,0.4651513695716858
20,240,15,64,0.01194804161787033,0.08455968648195267,0.5431140661239624
25,200,0,64,0.01071414165198803,0.1449563205242157,0.4440796673297882
25,200,1,64,0.039075817912817,0.1802484542131424,0.9614875912666321
25,200,2,32,0.0065862759947776794,0.08168833702802658,0.25521552562713623
25,200,3,32,0.010413921438157558,0.11935937404632568,0.27987441420555115
25,200,4,16,0.027931414544582367,0.11790477484464645,0.4613707363605499
25,200,5,16,0.02143511176109314,0.11740341037511826,0.3719891309738159
25,200,6,8,0.0405409000813961,0.12254610657691956,0.8929368257522583
25,200,7,16,0.02805205248296261,0.20435869693756104,0.2583259344100952
25,200,8,16,0.02180865965783596,0.22167252004146576,0.1398111879825592
25,200,9,16,0.017248596996068954,0.19908075034618378,0.1464005410671234
25,200,10,32,0.0003558542230166495,0.03285721689462662,0.007309077773243189
25,200,11,32,0.0020065917633473873,0.049951307475566864,0.0903334692120552
25,200,12,32,0.007071154657751322,0.1371590942144394,0.13010884821414948
25,200,13,64,0.10355409979820251,0.2992490530014038,1.4019801616668701
25,200,14,64,0.0158903319388628,0.1873299479484558,0.49136728048324585
25,200,15,64,0.013040431775152683,0.08470971882343292,0.5543757677078247
30,160,0,64,0.009948140010237694,0.15284407138824463,0.41567277908325195
30,160,1,64,0.03812512755393982,0.17257075011730194,0.9094822406768799
30,160,2,32,0.006277815904468298,0.07979172468185425,0.22992552816867828
30,160,3,32,0.009991761296987534,0.11447776854038239,0.259116530418396
30,160,4,16,0.025946006178855896,0.10289289057254791,0.4217536151409149
30,160,5,16,0.019993877038359642,0.12320442497730255,0.3427520990371704
30,160,6,8,0.036000896245241165,0.11202691495418549,0.7904410362243652
30,160,7,16,0.026983510702848434,0.20436006784439087,0.2425384372472763
30,160,8,16,0.02144203521311283,0.2148352861404419,0.13113567233085632
30,160,9,16,0.016623394563794136,0.18884076178073883,0.13364550471305847
30,160,10,32,0.00035075738560408354,0.03404350206255913,0.007180454209446907
30,160,11,32,0.0019323822343721986,0.044118620455265045,0.08659037202596664
30,160,12,32,0.006889049895107746,0.13947777450084686,0.12071605771780014
30,160,13,64,0.10794089734554291,0.30406618118286133,1.4151393175125122
30,160,14,64,0.01710042729973793,0.2147878259420395,0.5124784708023071
30,160,15,64,0.014152586460113525,0.08456777036190033,0.5667182207107544
35,120,0,64,0.00891067273914814,0.1611250638961792,0.3849548101425171
35,120,1,64,0.03636154904961586,0.16474458575248718,0.8427743911743164
35,120,2,32,0.005940354894846678,0.07763918489217758,0.2084868997335434
35,120,3,32,0.009479867294430733,0.1350083351135254,0.23906655609607697
35,120,4,16,0.023407233878970146,0.09395980089902878,0.3815942704677582
35,120,5,16,0.01880790665745735,0.12832941114902496,0.3147181570529938
35,120,6,8,0.030340077355504036,0.09337647259235382,0.7101584076881409
35,120,7,16,0.02473747543990612,0.19948416948318481,0.22278860211372375
35,120,8,16,0.020831014961004257,0.20222769677639008,0.12394604086875916
35,120,9,16,0.016102515161037445,0.19591012597084045,0.12072769552469254
35,120,10,32,0.00034991541178897023,0.033587388694286346,0.007104417774826288
35,120,11,32,0.001840711454860866,0.041595350950956345,0.08275541663169861
35,120,12,32,0.006665610708296299,0.1395910084247589,0.11282293498516083
35,120,13,64,0.11345424503087997,0.3069864809513092,1.4156510829925537
35,120,14,64,0.016561878845095634,0.23637810349464417,0.5250426530838013
35,120,15,64,0.01496187038719654,0.11566511541604996,0.5734062194824219
40,80,0,64,0.007732920348644257,0.17065127193927765,0.35045838356018066
40,80,1,64,0.033068686723709106,0.15191900730133057,0.7506046891212463
40,80,2,32,0.005524670705199242,0.07866993546485901,0.18857106566429138
40,80,3,32,0.009081011638045311,0.10576063394546509,0.22368097305297852
40,80,4,16,0.021155668422579765,0.08534374833106995,0.34572431445121765
40,80,5,16,0.01783389411866665,0.12943339347839355,0.29111769795417786
40,80,6,8,0.02659241482615471,0.08891905099153519,0.672234058380127
40,80,7,16,0.022358104586601257,0.1987038105726242,0.2058323323726654
40,80,8,16,0.01943941041827202,0.21190935373306274,0.11718861758708954
40,80,9,16,0.015361953526735306,0.19657739996910095,0.11089096963405609
40,80,10,32,0.00035930826561525464,0.03413038328289986,0.0073067182675004005
40,80,11,32,0.0017476169159635901,0.03758898749947548,0.07929340749979019
40,80,12,32,0.006206405349075794,0.1367667019367218,0.10529766976833344
40,80,13,64,0.12084172666072845,0.3036842942237854,1.4145642518997192
40,80,14,64,0.015263491310179234,0.23291344940662384,0.5337279438972473
40,80,15,64,0.015599103644490242,0.14225155115127563,0.5753960609436035
45,40,0,64,0.006661123596131802,0.18313086032867432,0.3119024634361267
45,40,1,64,0.026794906705617905,0.16632547974586487,0.618507444858551
45,40,2,32,0.004834473133087158,0.08124734461307526,0.16414819657802582
45,40,3,32,0.008282221853733063,0.09698408842086792,0.20768873393535614
45,40,4,16,0.01880234107375145,0.07676883786916733,0.31073832511901855
45,40,5,16,0.0170897226780653,0.12747904658317566,0.2693432569503784
45,40,6,8,0.0236513689160347,0.08451981097459793,0.6500150561332703
45,40,7,16,0.019939064979553223,0.19163523614406586,0.19034835696220398
45,40,8,16,0.01736278459429741,0.20096108317375183,0.10843990743160248
45,40,9,16,0.01425919495522976,0.19406726956367493,0.10298153758049011
45,40,10,32,0.00034997391048818827,0.020255666226148605,0.007301790174096823
45,40,11,32,0.001600992283783853,0.032301463186740875,0.07439441978931427
45,40,12,32,0.005487377755343914,0.12142324447631836,0.09677545726299286
45,40,13,64,0.1303572654724121,0.29359716176986694,1.421812891960144
45,40,14,64,0.013394745998084545,0.2393133044242859,0.548228919506073
45,40,15,64,0.016767989844083786,0.1461159735918045,0.5878125429153442
49,8,0,64,0.0065335482358932495,0.19769097864627838,0.2759794592857361
49,8,1,64,0.014679163694381714,0.14600269496440887,0.4108298122882843
49,8,2,32,0.0036061713472008705,0.08019320666790009,0.12825733423233032
49,8,3,32,0.006105904001742601,0.09764379262924194,0.18087361752986908
49,8,4,16,0.01573988050222397,0.06649375706911087,0.27459824085235596
49,8,5,16,0.016308609396219254,0.12100996822118759,0.24693545699119568
49,8,6,8,0.019431546330451965,0.06998640298843384,0.610785186290741
49,8,7,16,0.015719741582870483,0.1510949730873108,0.1698559671640396
49,8,8,16,0.01476425863802433,0.16518478095531464,0.09910893440246582
