step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.011565069667994976,0.10233357548713684,0.5624197721481323
0,400,1,64,0.036068543791770935,0.15358559787273407,1.0919365882873535
0,400,2,32,0.008955102413892746,0.13798436522483826,0.4376795291900635
0,400,3,32,0.013102499768137932,0.10986240208148956,0.35610800981521606
0,400,4,16,0.03689947724342346,0.13004738092422485,0.5650409460067749
0,400,5,16,0.03147795796394348,0.15107443928718567,0.5681576728820801
0,400,6,8,0.04956784099340439,0.1416122317314148,1.284664273262024
0,400,7,16,0.033180639147758484,0.22048042714595795,0.35477206110954285
0,400,8,16,0.022641394287347794,0.19654099643230438,0.16578087210655212
0,400,9,16,0.015550157055258751,0.1811615228652954,0.19438716769218445
0,400,10,32,0.0004308298521209508,0.027951166033744812,0.010211363434791565
0,400,11,32,0.002340064849704504,0.07924799621105194,0.12141160666942596
0,400,12,32,0.009433145634829998,0.14556121826171875,0.2030790001153946
0,400,13,64,0.07477782666683197,0.19764265418052673,1.3877067565917969
0,400,14,64,0.013426183722913265,0.14519760012626648,0.41416865587234497
0,400,15,64,0.011296503245830536,0.1250002533197403,0.5699138641357422
5,360,0,64,0.01189831830561161,0.11434031277894974,0.5347687005996704
5,360,1,64,0.03722762316465378,0.18672175705432892,1.076524257659912
5,360,2,32,0.00888439454138279,0.11407269537448883,0.4050462245941162
5,360,3,32,0.012529260478913784,0.10766221582889557,0.33700573444366455
5,360,4,16,0.0348014235496521,0.1340399980545044,0.5315835475921631
5,360,5,16,0.030150406062602997,0.15323811769485474,0.5343360304832458
5,360,6,8,0.046293631196022034,0.13365834951400757,1.194317102432251
5,360,7,16,0.0325034037232399,0.22026686370372772,0.3210625648498535
5,360,8,16,0.02380889654159546,0.22257938981056213,0.1558651328086853
5,360,9,16,0.015257658436894417,0.2167186290025711,0.17576172947883606
5,360,10,32,0.00045017513912171125,0.03836478665471077,0.010585944168269634
5,360,11,32,0.002204626565799117,0.06000995635986328,0.10878120362758636
5,360,12,32,0.008417181670665741,0.1371845155954361,0.18260252475738525
5,360,13,64,0.07942498475313187,0.23393896222114563,1.3892433643341064
5,360,14,64,0.013243231922388077,0.11118554323911667,0.4154815077781677
5,360,15,64,0.01129934936761856,0.06568539887666702,0.5628902912139893
10,320,0,64,0.012031672522425652,0.12666064500808716,0.5079573392868042
10,320,1,64,0.0386284738779068,0.1892034113407135,1.0582354068756104
10,320,2,32,0.00878810789436102,0.073602594435215,0.3675646185874939
