step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008137393742799759,0.06939433515071869,0.6419538259506226
0,400,1,64,0.03308518975973129,0.07941552996635437,1.10409414768219
0,400,2,32,0.010991609655320644,0.11316672712564468,0.4105392396450043
0,400,3,32,0.010567836463451385,0.08503928035497665,0.3393765687942505
0,400,4,16,0.013878515921533108,0.07644321769475937,0.5025272369384766
0,400,5,16,0.006985987536609173,0.051001548767089844,0.2796272039413452
0,400,6,8,0.04140623286366463,0.1256580948829651,1.1216166019439697
0,400,7,16,0.016892921179533005,0.10219547152519226,0.2844536602497101
0,400,8,16,0.010095808655023575,0.08494868129491806,0.20503847301006317
0,400,9,16,0.007426487747579813,0.0917573943734169,0.1354479193687439
0,400,10,32,0.0007159291999414563,0.12287554889917374,0.007609915919601917
0,400,11,32,0.012238319963216782,0.3303617238998413,0.16022989153862
0,400,12,32,0.008216330781579018,0.13014423847198486,0.16231507062911987
0,400,13,64,0.05514854937791824,0.18035854399204254,1.4393898248672485
0,400,14,64,0.025548487901687622,0.25393685698509216,0.578066885471344
0,400,15,64,0.015176388435065746,0.1524842381477356,0.6306375861167908
5,360,0,64,0.008121193386614323,0.07077588140964508,0.603826105594635
5,360,1,64,0.032854437828063965,0.07864896953105927,1.0660489797592163
5,360,2,32,0.01167901698499918,0.1145615503191948,0.3912149965763092
5,360,3,32,0.010866072028875351,0.1001649796962738,0.3305128514766693
5,360,4,16,0.01389988325536251,0.07713232934474945,0.473671019077301
5,360,5,16,0.006417120341211557,0.04799962416291237,0.26344501972198486
5,360,6,8,0.0404026135802269,0.11950773000717163,1.0817909240722656
5,360,7,16,0.016240598633885384,0.11214187741279602,0.272383451461792
5,360,8,16,0.010530756786465645,0.08071859925985336,0.1955529749393463
5,360,9,16,0.006812738254666328,0.07329309731721878,0.1261882483959198
5,360,10,32,0.0006912590470165014,0.12316106259822845,0.007502042688429356
5,360,11,32,0.012933161109685898,0.34102383255958557,0.15699224174022675
5,360,12,32,0.007360194809734821,0.11934121698141098,0.1470588743686676
5,360,13,64,0.05921538174152374,0.1683906763792038,1.4375578165054321
