step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012759450823068619,0.09459047019481659,0.7328364253044128
0,400,1,64,0.03233909606933594,0.10979776084423065,1.071020245552063
0,400,2,32,0.03389762341976166,0.11976016312837601,0.6776532530784607
0,400,3,32,0.014623304829001427,0.10845416784286499,0.4575490653514862
0,400,4,16,0.028999531641602516,0.0903388187289238,0.5346262454986572
0,400,5,16,0.02471344545483589,0.1092839315533638,0.4606530964374542
0,400,6,8,0.026195097714662552,0.12333033233880997,0.856158971786499
0,400,7,16,0.030542487278580666,0.1590658277273178,0.30971211194992065
0,400,8,16,0.022746670991182327,0.12311049550771713,0.20058922469615936
0,400,9,16,0.00515871774405241,0.03730882704257965,0.13422968983650208
0,400,10,32,0.001372382277622819,0.12584157288074493,0.012428835034370422
0,400,11,32,0.014343112707138062,0.20094767212867737,0.24961435794830322
0,400,12,32,0.02770601212978363,0.20821434259414673,0.2686552405357361
0,400,13,64,0.09048670530319214,0.2349138855934143,1.6383543014526367
0,400,14,64,0.01831231825053692,0.18079274892807007,0.5522512197494507
0,400,15,64,0.015138193964958191,0.20761409401893616,0.6285572648048401
5,360,0,64,0.01252599898725748,0.09641755372285843,0.7095845937728882
5,360,1,64,0.03295695781707764,0.12172479927539825,1.0454652309417725
5,360,2,32,0.03503987193107605,0.12390527129173279,0.6246440410614014
5,360,3,32,0.014957874082028866,0.09234751760959625,0.4504651129245758
5,360,4,16,0.028034143149852753,0.09357398748397827,0.5014792680740356
5,360,5,16,0.023471402004361153,0.10521959513425827,0.4489659070968628
5,360,6,8,0.026435136795043945,0.12672294676303864,0.8221723437309265
5,360,7,16,0.029188940301537514,0.14529456198215485,0.29363834857940674
5,360,8,16,0.021965524181723595,0.12108965218067169,0.18350574374198914
5,360,9,16,0.005981083493679762,0.04531513527035713,0.14057335257530212
5,360,10,32,0.0011909889290109277,0.12540222704410553,0.011834162287414074
5,360,11,32,0.014537522569298744,0.2391642928123474,0.2376251518726349
5,360,12,32,0.025722643360495567,0.21137887239456177,0.2290310561656952
5,360,13,64,0.09329232573509216,0.21812082827091217,1.6343127489089966
5,360,14,64,0.01809787191450596,0.1411920189857483,0.5654462575912476
5,360,15,64,0.013417486101388931,0.10968382656574249,0.6028698682785034
10,320,0,64,0.012144275940954685,0.09805059432983398,0.6824455261230469
10,320,1,64,0.03365878760814667,0.12939321994781494,1.0226311683654785
10,320,2,32,0.03427128866314888,0.12607744336128235,0.5757021903991699
10,320,3,32,0.015236221253871918,0.10383056849241257,0.44626501202583313
10,320,4,16,0.026677913963794708,0.09369464218616486,0.47658249735832214
10,320,5,16,0.021584652364253998,0.09887872636318207,0.4272339940071106
10,320,6,8,0.026246730238199234,0.12554897367954254,0.7861717343330383
10,320,7,16,0.0269220769405365,0.11627469211816788,0.27304354310035706
10,320,8,16,0.02136482670903206,0.12253687530755997,0.16995061933994293
10,320,9,16,0.006717661861330271,0.052850183099508286,0.14348538219928741
10,320,10,32,0.0011187775526195765,0.12508395314216614,0.011971351690590382
10,320,11,32,0.014746399596333504,0.23865817487239838,0.22647503018379211
10,320,12,32,0.024870239198207855,0.2310529500246048,0.20577043294906616
10,320,13,64,0.09570029377937317,0.24342218041419983,1.6410915851593018
10,320,14,64,0.017648037523031235,0.14094091951847076,0.577401876449585
10,320,15,64,0.012487128376960754,0.05722836032509804,0.5788984298706055
15,280,0,64,0.011728394776582718,0.09962079674005508,0.6566035747528076
15,280,1,64,0.03402385115623474,0.13582466542720795,0.9924501180648804
15,280,2,32,0.0336778499186039,0.12812291085720062,0.5396028757095337
15,280,3,32,0.014920813962817192,0.10940821468830109,0.4359172284603119
15,280,4,16,0.025529908016324043,0.09332097321748734,0.4528195858001709
15,280,5,16,0.019846249371767044,0.09729762375354767,0.4038505554199219
15,280,6,8,0.025671761482954025,0.12113955616950989,0.7484909296035767
15,280,7,16,0.025505583733320236,0.11130797863006592,0.25626105070114136
15,280,8,16,0.02050700969994068,0.12242761254310608,0.15879853069782257
15,280,9,16,0.0071001555770635605,0.0596599355340004,0.14057525992393494
15,280,10,32,0.0010937033221125603,0.12479376792907715,0.011759968474507332
15,280,11,32,0.015153076499700546,0.23110148310661316,0.2262835055589676
15,280,12,32,0.024593520909547806,0.23326651751995087,0.19055230915546417
15,280,13,64,0.09921436756849289,0.2598831355571747,1.6429128646850586
15,280,14,64,0.016681663691997528,0.11632709950208664,0.5786328315734863
15,280,15,64,0.012103993445634842,0.07170369476079941,0.5614339113235474
20,240,0,64,0.01125640794634819,0.1009659469127655,0.6290546655654907
20,240,1,64,0.033880025148391724,0.14074096083641052,0.952602744102478
20,240,2,32,0.03277665376663208,0.13062071800231934,0.5067610740661621
20,240,3,32,0.014086343348026276,0.1125251054763794,0.41774678230285645
20,240,4,16,0.024333059787750244,0.09220511466264725,0.4316614270210266
20,240,5,16,0.01853952184319496,0.09644365310668945,0.3820270597934723
20,240,6,8,0.02398097515106201,0.11538257449865341,0.7224347591400146
20,240,7,16,0.02374321036040783,0.11159662902355194,0.24242620170116425
20,240,8,16,0.018520433455705643,0.11494676023721695,0.1477993130683899
20,240,9,16,0.006892991252243519,0.06749942153692245,0.13669553399085999
20,240,10,32,0.0010499479249119759,0.12465860694646835,0.01162794977426529
20,240,11,32,0.01536388136446476,0.23531688749790192,0.22703471779823303
20,240,12,32,0.024584215134382248,0.23002903163433075,0.18091192841529846
20,240,13,64,0.10357747972011566,0.2556445300579071,1.6417433023452759
20,240,14,64,0.015088069252669811,0.10601356625556946,0.5693885087966919
20,240,15,64,0.011800584383308887,0.09020906686782837,0.5424694418907166
25,200,0,64,0.01073872298002243,0.1015918180346489,0.6006075739860535
25,200,1,64,0.03311851620674133,0.1413014531135559,0.9011452198028564
25,200,2,32,0.03143724799156189,0.1303388923406601,0.47359034419059753
25,200,3,32,0.013045504689216614,0.11418318003416061,0.3991318345069885
25,200,4,16,0.02292412333190441,0.09891302138566971,0.4105985462665558
25,200,5,16,0.01733199693262577,0.08734270185232162,0.3596842885017395
25,200,6,8,0.02205086126923561,0.10867425799369812,0.700681746006012
25,200,7,16,0.02161182090640068,0.10882139950990677,0.22917979955673218
25,200,8,16,0.016240306198596954,0.10787847638130188,0.13764303922653198
25,200,9,16,0.006557110231369734,0.06828681379556656,0.13307681679725647
25,200,10,32,0.001039518159814179,0.12462840974330902,0.011711470782756805
25,200,11,32,0.014219933189451694,0.23517531156539917,0.21504926681518555
25,200,12,32,0.022875921800732613,0.23493653535842896,0.1678943634033203
25,200,13,64,0.10783931612968445,0.26319265365600586,1.6363945007324219
25,200,14,64,0.013517659157514572,0.1022832840681076,0.5591719150543213
25,200,15,64,0.011706588789820671,0.09593541920185089,0.5266002416610718
30,160,0,64,0.010183551348745823,0.1016840934753418,0.5717771053314209
30,160,1,64,0.031597547233104706,0.13743934035301208,0.8374009132385254
30,160,2,32,0.02961815521121025,0.13068322837352753,0.4408445358276367
30,160,3,32,0.011881583370268345,0.12202469259500504,0.37877458333969116
30,160,4,16,0.02112850919365883,0.105704165995121,0.3861435651779175
30,160,5,16,0.016443487256765366,0.08132117986679077,0.3405085802078247
30,160,6,8,0.02036133036017418,0.10379605740308762,0.6760979890823364
30,160,7,16,0.019391335546970367,0.10560663044452667,0.21423089504241943
30,160,8,16,0.014367719180881977,0.09396334737539291,0.1304132044315338
30,160,9,16,0.006153322756290436,0.0656568631529808,0.12719307839870453
30,160,10,32,0.0010393171105533838,0.12458368390798569,0.011520354077219963
30,160,11,32,0.012962384149432182,0.23441781103610992,0.20107585191726685
30,160,12,32,0.02060874179005623,0.23083968460559845,0.15442904829978943
30,160,13,64,0.11263363063335419,0.2731924057006836,1.6275701522827148
30,160,14,64,0.011867151595652103,0.10509838163852692,0.5415679216384888
30,160,15,64,0.01189708523452282,0.09514051675796509,0.5164704322814941
35,120,0,64,0.009449278004467487,0.10188183188438416,0.5386606454849243
35,120,1,64,0.028668075799942017,0.14982059597969055,0.751876711845398
35,120,2,32,0.02735932730138302,0.1306781768798828,0.40754008293151855
35,120,3,32,0.010587587021291256,0.12150613963603973,0.3556545078754425
35,120,4,16,0.019199885427951813,0.10964728146791458,0.36012130975723267
35,120,5,16,0.01609804667532444,0.08383573591709137,0.32414114475250244
35,120,6,8,0.018846487626433372,0.1005324125289917,0.6495163440704346
35,120,7,16,0.01742606796324253,0.10332237929105759,0.19893589615821838
35,120,8,16,0.013002129271626472,0.08301877230405807,0.12454617023468018
35,120,9,16,0.005952994339168072,0.06629616022109985,0.12026238441467285
35,120,10,32,0.001036396948620677,0.12441487610340118,0.011214464902877808
35,120,11,32,0.012009495869278908,0.23599019646644592,0.19076654314994812
35,120,12,32,0.01864827424287796,0.2201104760169983,0.14308567345142365
35,120,13,64,0.11818212270736694,0.3289458155632019,1.6158417463302612
35,120,14,64,0.01034010760486126,0.11204240471124649,0.5200846791267395
35,120,15,64,0.012371254153549671,0.10120971500873566,0.5117576718330383
40,80,0,64,0.008561085909605026,0.1033143550157547,0.4982684254646301
40,80,1,64,0.023671530187129974,0.15064552426338196,0.6337013244628906
40,80,2,32,0.024721605703234673,0.12999796867370605,0.3730963468551636
40,80,3,32,0.00925489328801632,0.11232312023639679,0.3311558961868286
40,80,4,16,0.017249025404453278,0.11165173351764679,0.33396559953689575
40,80,5,16,0.016185147687792778,0.09206757694482803,0.3105764389038086
40,80,6,8,0.017601195722818375,0.09849455207586288,0.6247695684432983
40,80,7,16,0.01586046628654003,0.10203433781862259,0.18729107081890106
40,80,8,16,0.011828000657260418,0.07561711966991425,0.11747874319553375
40,80,9,16,0.005717077292501926,0.06214141473174095,0.11228673905134201
40,80,10,32,0.0010019398760050535,0.12389806658029556,0.010720141232013702
40,80,11,32,0.011123123578727245,0.2362317442893982,0.18032938241958618
40,80,12,32,0.01663503423333168,0.2028173804283142,0.13253533840179443
40,80,13,64,0.12503942847251892,0.334536075592041,1.5980470180511475
40,80,14,64,0.009214432910084724,0.11769380420446396,0.4976058602333069
40,80,15,64,0.013152159750461578,0.11516234278678894,0.514859139919281
45,40,0,64,0.00764458067715168,0.10750864446163177,0.44524118304252625
45,40,1,64,0.016190076246857643,0.14089623093605042,0.4744252562522888
45,40,2,32,0.021472929045557976,0.12830856442451477,0.33529484272003174
45,40,3,32,0.00787490326911211,0.11105220019817352,0.303378164768219
45,40,4,16,0.015377935953438282,0.11306970566511154,0.3077964186668396
45,40,5,16,0.016134072095155716,0.10174214094877243,0.2947853207588196
45,40,6,8,0.01658489555120468,0.09831061959266663,0.601222038269043
45,40,7,16,0.014527658000588417,0.09760186076164246,0.17774543166160583
45,40,8,16,0.01073228009045124,0.06722807139158249,0.10931545495986938
45,40,9,16,0.00518713379278779,0.05621446669101715,0.10330609977245331
45,40,10,32,0.0009278902434743941,0.1223485916852951,0.009917208924889565
45,40,11,32,0.009819353930652142,0.22609774768352509,0.166020005941391
45,40,12,32,0.014089902862906456,0.17783290147781372,0.12071338295936584
45,40,13,64,0.1349511742591858,0.32010313868522644,1.566964864730835
45,40,14,64,0.0090015958994627,0.12202206999063492,0.47951540350914
45,40,15,64,0.014386533759534359,0.12654784321784973,0.5388761162757874
49,8,0,64,0.007264712825417519,0.11549403518438339,0.3758810758590698
49,8,1,64,0.008435668423771858,0.13429149985313416,0.30901142954826355
49,8,2,32,0.016897518187761307,0.12396356463432312,0.29143014550209045
49,8,3,32,0.00661864411085844,0.11126421391963959,0.27699142694473267
49,8,4,16,0.013725385069847107,0.11424315720796585,0.2822795510292053
49,8,5,16,0.015595903620123863,0.10367508232593536,0.2792288362979889
49,8,6,8,0.01593565195798874,0.10092813521623611,0.5940558910369873
49,8,7,16,0.013164415024220943,0.10043302923440933,0.1700766384601593
49,8,8,16,0.009715779684484005,0.06342950463294983,0.1027308851480484
49,8,9,16,0.0044245594181120396,0.047609876841306686,0.09272243827581406
49,8,10,32,0.0008155298419296741,0.11854314059019089,0.008738180622458458
49,8,11,32,0.00796794518828392,0.2010333240032196,0.14670328795909882
49,8,12,32,0.010634316131472588,0.1438007950782776,0.10590893030166626
49,8,13,64,0.14921855926513672,0.30326902866363525,1.5057079792022705
