step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.012161344289779663,0.06717994809150696,0.7596466541290283
0,400,1,64,0.034699030220508575,0.1851768046617508,1.0891978740692139
0,400,2,32,0.025122202932834625,0.09607929736375809,0.5905483961105347
0,400,3,32,0.013529826886951923,0.05410284548997879,0.4647059142589569
0,400,4,16,0.024545632302761078,0.0760580375790596,0.5656805038452148
0,400,5,16,0.03979315981268883,0.1919011026620865,0.5131078958511353
0,400,6,8,0.024734564125537872,0.09819486737251282,0.7738833427429199
0,400,7,16,0.021921727806329727,0.09073541313409805,0.2934439182281494
0,400,8,16,0.019532788544893265,0.0778864398598671,0.20793049037456512
0,400,9,16,0.00467760069295764,0.020935947075486183,0.13272036612033844
0,400,10,32,0.001450116978958249,0.12922698259353638,0.015774980187416077
0,400,11,32,0.015103274025022984,0.18398593366146088,0.2915820777416229
0,400,12,32,0.021436642855405807,0.15692287683486938,0.2595142722129822
0,400,13,64,0.08704376220703125,0.28342315554618835,1.6929829120635986
0,400,14,64,0.02096881903707981,0.17325431108474731,0.5824713110923767
0,400,15,64,0.013761649839580059,0.07854213565587997,0.6093647480010986
5,360,0,64,0.011850830167531967,0.07913626730442047,0.722417414188385
5,360,1,64,0.03646023944020271,0.18360276520252228,1.0869473218917847
5,360,2,32,0.024827580899000168,0.09527450054883957,0.5395321846008301
5,360,3,32,0.014131121337413788,0.06368076056241989,0.4720701277256012
5,360,4,16,0.021855145692825317,0.07261887937784195,0.5268136262893677
5,360,5,16,0.03559795022010803,0.16367200016975403,0.4991235136985779
5,360,6,8,0.025052465498447418,0.10375278443098068,0.7799022197723389
5,360,7,16,0.017968378961086273,0.07379517704248428,0.26924508810043335
5,360,8,16,0.01876205950975418,0.09131322801113129,0.20066872239112854
5,360,9,16,0.00485218083485961,0.020583348348736763,0.15314751863479614
5,360,10,32,0.0015546843642368913,0.13174733519554138,0.01719142310321331
5,360,11,32,0.0089865792542696,0.15912394225597382,0.2224237024784088
5,360,12,32,0.013726131059229374,0.13019943237304688,0.2404884546995163
