step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.011113897897303104,0.06511370092630386,0.7984846830368042
0,400,1,64,0.035222843289375305,0.10435129702091217,1.1500742435455322
0,400,2,32,0.02707637846469879,0.11741563677787781,0.6675114035606384
0,400,3,32,0.01249865535646677,0.08891291171312332,0.4216671586036682
0,400,4,16,0.028523718938231468,0.0837082788348198,0.5702406167984009
0,400,5,16,0.025329135358333588,0.11440008133649826,0.4798891842365265
0,400,6,8,0.030226856470108032,0.12863537669181824,0.8453866243362427
0,400,7,16,0.031195541843771935,0.13093532621860504,0.31657978892326355
0,400,8,16,0.01864013634622097,0.12384826689958572,0.16569402813911438
0,400,9,16,0.004902539309114218,0.06803252547979355,0.1284579634666443
0,400,10,32,0.0012390823103487492,0.12542542815208435,0.012169236317276955
0,400,11,32,0.018530622124671936,0.1977117657661438,0.2854732573032379
0,400,12,32,0.024779532104730606,0.15940234065055847,0.293280690908432
0,400,13,64,0.07103806734085083,0.22835899889469147,1.6519535779953003
0,400,14,64,0.023216817528009415,0.21042492985725403,0.6274739503860474
0,400,15,64,0.015793872997164726,0.13196571171283722,0.6563631892204285
5,360,0,64,0.010953767225146294,0.06660392880439758,0.7740674614906311
5,360,1,64,0.03571735695004463,0.11290302872657776,1.1235041618347168
5,360,2,32,0.027722500264644623,0.11782865226268768,0.6084288358688354
5,360,3,32,0.012502712197601795,0.09361758828163147,0.4104173183441162
5,360,4,16,0.028301455080509186,0.118916817009449,0.5344403982162476
5,360,5,16,0.025777284055948257,0.11623671650886536,0.4715365767478943
5,360,6,8,0.025807436555624008,0.12103764712810516,0.7909696102142334
5,360,7,16,0.032989874482154846,0.12495939433574677,0.3048436641693115
5,360,8,16,0.017992455512285233,0.12340324372053146,0.15568432211875916
5,360,9,16,0.00573949096724391,0.08380644768476486,0.1288263201713562
5,360,10,32,0.001205139677040279,0.12508675456047058,0.012683856301009655
5,360,11,32,0.019489767029881477,0.2275116741657257,0.2727055549621582
5,360,12,32,0.025014253333210945,0.19656071066856384,0.27419281005859375
5,360,13,64,0.07153410464525223,0.19695213437080383,1.646980881690979
5,360,14,64,0.02198837697505951,0.20798154175281525,0.6376338005065918
5,360,15,64,0.015055596828460693,0.13641172647476196,0.6407712697982788
10,320,0,64,0.010788267478346825,0.06159799546003342,0.7475941181182861
10,320,1,64,0.03626412898302078,0.11362066119909286,1.0965642929077148
10,320,2,32,0.027490366250276566,0.11709817498922348,0.5623935461044312
10,320,3,32,0.012597083114087582,0.09994164854288101,0.40306276082992554
10,320,4,16,0.028025398030877113,0.1003340482711792,0.5068386793136597
10,320,5,16,0.025448281317949295,0.11840353906154633,0.45082467794418335
10,320,6,8,0.022398069500923157,0.10794208943843842,0.7312542200088501
10,320,7,16,0.03135741502046585,0.12753549218177795,0.28701359033584595
10,320,8,16,0.017708204686641693,0.12148492783308029,0.14665290713310242
10,320,9,16,0.0067124683409929276,0.09392128884792328,0.13243266940116882
10,320,10,32,0.0012103795306757092,0.12455161660909653,0.013043883256614208
10,320,11,32,0.01854371465742588,0.2239920049905777,0.25358033180236816
10,320,12,32,0.022950492799282074,0.2007875293493271,0.2463078498840332
10,320,13,64,0.0749717503786087,0.22284653782844543,1.6555311679840088
10,320,14,64,0.021320581436157227,0.14551737904548645,0.6570444107055664
10,320,15,64,0.014224966987967491,0.10203573107719421,0.6224732995033264
15,280,0,64,0.010639611631631851,0.0544770322740078,0.7211039066314697
15,280,1,64,0.03638273477554321,0.11062672734260559,1.0593042373657227
15,280,2,32,0.027740754187107086,0.11828998476266861,0.5286896228790283
15,280,3,32,0.012602712959051132,0.09425679594278336,0.3918932378292084
15,280,4,16,0.02786616049706936,0.10724636167287827,0.48359787464141846
15,280,5,16,0.024737920612096786,0.13148091733455658,0.42484015226364136
15,280,6,8,0.020130405202507973,0.09425108134746552,0.6882734298706055
15,280,7,16,0.029542166739702225,0.13514341413974762,0.26741519570350647
15,280,8,16,0.017012733966112137,0.11907694488763809,0.14111089706420898
15,280,9,16,0.008171409368515015,0.09698550403118134,0.13462293148040771
15,280,10,32,0.0012493811082094908,0.12286031246185303,0.013005629181861877
15,280,11,32,0.019270028918981552,0.21745580434799194,0.25745660066604614
15,280,12,32,0.022413469851017,0.2221410572528839,0.23054498434066772
15,280,13,64,0.0790795162320137,0.23521965742111206,1.6623494625091553
15,280,14,64,0.019894259050488472,0.14656636118888855,0.6466506719589233
15,280,15,64,0.013677440583705902,0.07786600291728973,0.6017575263977051
20,240,0,64,0.010392723605036736,0.054413553327322006,0.6906675100326538
20,240,1,64,0.036299191415309906,0.11274316906929016,1.0171831846237183
20,240,2,32,0.02811771258711815,0.12187544256448746,0.4991612136363983
20,240,3,32,0.012518650852143764,0.09176094084978104,0.3807598948478699
20,240,4,16,0.02793511189520359,0.11181681603193283,0.4725234806537628
20,240,5,16,0.022891337051987648,0.16302606463432312,0.39202946424484253
20,240,6,8,0.018317246809601784,0.08012935519218445,0.6630166172981262
20,240,7,16,0.02848493680357933,0.13107430934906006,0.2528947591781616
20,240,8,16,0.016031116247177124,0.11421504616737366,0.13567663729190826
20,240,9,16,0.008961603045463562,0.10689809918403625,0.13171353936195374
20,240,10,32,0.0012505992781370878,0.12165216356515884,0.012824831530451775
20,240,11,32,0.02015782706439495,0.2210300713777542,0.26383018493652344
20,240,12,32,0.02266915887594223,0.23136615753173828,0.2216528356075287
20,240,13,64,0.08268085867166519,0.2573435306549072,1.6659833192825317
20,240,14,64,0.01766318455338478,0.15194520354270935,0.6260733008384705
20,240,15,64,0.012977974489331245,0.0784822627902031,0.5776463150978088
25,200,0,64,0.010090308263897896,0.05557208135724068,0.6577593088150024
25,200,1,64,0.03580424562096596,0.11161074042320251,0.9670331478118896
25,200,2,32,0.027996502816677094,0.12458956986665726,0.46998071670532227
25,200,3,32,0.012221808545291424,0.09973537921905518,0.36805474758148193
25,200,4,16,0.027751632034778595,0.11739886552095413,0.4620579481124878
25,200,5,16,0.02050682157278061,0.12280431389808655,0.3626459240913391
25,200,6,8,0.017365561798214912,0.0746392011642456,0.637950599193573
25,200,7,16,0.026190049946308136,0.11665047705173492,0.23792701959609985
25,200,8,16,0.0153141925111413,0.11058225482702255,0.1314437985420227
25,200,9,16,0.008872037753462791,0.10409371554851532,0.12445667386054993
25,200,10,32,0.0012315923813730478,0.12228523194789886,0.012753491289913654
25,200,11,32,0.020080026239156723,0.22502091526985168,0.2620270252227783
25,200,12,32,0.022133564576506615,0.23394562304019928,0.20906418561935425
25,200,13,64,0.08662109076976776,0.2639457583427429,1.6642160415649414
25,200,14,64,0.015402293764054775,0.15666058659553528,0.6026588082313538
25,200,15,64,0.01246134378015995,0.07995310425758362,0.5536825656890869
30,160,0,64,0.009751932695508003,0.05672992765903473,0.6235018968582153
30,160,1,64,0.0345354899764061,0.11237670481204987,0.9037171006202698
30,160,2,32,0.02727489545941353,0.12663935124874115,0.4415234923362732
30,160,3,32,0.011735301464796066,0.10544541478157043,0.3521777093410492
30,160,4,16,0.027145463973283768,0.12113505601882935,0.4481620788574219
30,160,5,16,0.018558012321591377,0.12106873840093613,0.3384556174278259
30,160,6,8,0.01635001227259636,0.07273609191179276,0.6111235618591309
30,160,7,16,0.023271474987268448,0.10428377240896225,0.2219596654176712
30,160,8,16,0.014654832892119884,0.10877097398042679,0.12759527564048767
30,160,9,16,0.008672162890434265,0.1042756661772728,0.11971691250801086
30,160,10,32,0.0011954333167523146,0.12284254282712936,0.012439247220754623
30,160,11,32,0.019571036100387573,0.2353302389383316,0.25685012340545654
30,160,12,32,0.021321501582860947,0.2331237494945526,0.1952923834323883
30,160,13,64,0.09147299081087112,0.26770803332328796,1.6570183038711548
30,160,14,64,0.013381955213844776,0.14169028401374817,0.5770179629325867
30,160,15,64,0.012160751968622208,0.08287099748849869,0.5327974557876587
35,120,0,64,0.00925367046147585,0.05777214467525482,0.5848270654678345
35,120,1,64,0.03169669955968857,0.11024969816207886,0.8150635361671448
35,120,2,32,0.0262090265750885,0.12780585885047913,0.41406381130218506
