step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.016412243247032166,0.0998583436012268,0.7936958074569702
0,400,1,64,0.035540252923965454,0.08785495162010193,1.216221809387207
0,400,2,32,0.021922890096902847,0.11037743091583252,0.7903735637664795
0,400,3,32,0.014513854868710041,0.08476005494594574,0.4249216914176941
0,400,4,16,0.02531505562365055,0.08056262880563736,0.6283451318740845
0,400,5,16,0.025633595883846283,0.12558627128601074,0.48524877429008484
0,400,6,8,0.04083229601383209,0.1272066831588745,0.9794763922691345
0,400,7,16,0.029496129602193832,0.12585414946079254,0.3148501217365265
0,400,8,16,0.023958351463079453,0.12595564126968384,0.1902158409357071
0,400,9,16,0.0035306764766573906,0.023738505318760872,0.12469825893640518
0,400,10,32,0.0007467649411410093,0.12520185112953186,0.007574509829282761
0,400,11,32,0.005548522341996431,0.16727684438228607,0.13032196462154388
0,400,12,32,0.020621052011847496,0.13539309799671173,0.25335806608200073
0,400,13,64,0.05462656170129776,0.1532144546508789,1.6466031074523926
0,400,14,64,0.021167727187275887,0.1386856585741043,0.6906311511993408
0,400,15,64,0.014224234037101269,0.08252114057540894,0.6209006905555725
5,360,0,64,0.017171524465084076,0.10618214309215546,0.7845520973205566
5,360,1,64,0.03710600733757019,0.0953005701303482,1.2279102802276611
5,360,2,32,0.022867664694786072,0.10341078788042068,0.7536981701850891
5,360,3,32,0.014871593564748764,0.10553377866744995,0.40651774406433105
5,360,4,16,0.02381635457277298,0.10360132902860641,0.5957158207893372
5,360,5,16,0.02475740574300289,0.12086604535579681,0.4600759446620941
5,360,6,8,0.0488814078271389,0.12899886071681976,0.9013434648513794
5,360,7,16,0.02862689644098282,0.12570597231388092,0.2534365952014923
5,360,8,16,0.02996666543185711,0.12681123614311218,0.19887182116508484
5,360,9,16,0.003331489162519574,0.020149001851677895,0.06419238448143005
5,360,10,32,0.0007175673963502049,0.1251460313796997,0.006963019259274006
5,360,11,32,0.0052053434774279594,0.17068274319171906,0.12009099870920181
5,360,12,32,0.013651933521032333,0.14260464906692505,0.18302839994430542
5,360,13,64,0.04956306144595146,0.146125927567482,1.6242756843566895
5,360,14,64,0.020525803789496422,0.14938053488731384,0.6789240837097168
5,360,15,64,0.014131075702607632,0.10885129123926163,0.6091040372848511
10,320,0,64,0.017521221190690994,0.11592837423086166,0.7707907557487488
10,320,1,64,0.03857811540365219,0.10862356424331665,1.2321844100952148
10,320,2,32,0.02225293032824993,0.09925779700279236,0.7006469964981079
10,320,3,32,0.014424923807382584,0.10877913236618042,0.3851625323295593
10,320,4,16,0.02238272689282894,0.11570952832698822,0.550564169883728
10,320,5,16,0.024508045986294746,0.1143476739525795,0.4449230134487152
10,320,6,8,0.04983527213335037,0.12982243299484253,0.8407355546951294
10,320,7,16,0.02756679803133011,0.11152061074972153,0.22344835102558136
10,320,8,16,0.033102571964263916,0.12555068731307983,0.2027028501033783
10,320,9,16,0.0036814012564718723,0.033119238913059235,0.055379752069711685
10,320,10,32,0.0007261967984959483,0.12525908648967743,0.006331350654363632
10,320,11,32,0.005888075102120638,0.17571797966957092,0.12675771117210388
10,320,12,32,0.016119269654154778,0.16290883719921112,0.18872065842151642
10,320,13,64,0.053319696336984634,0.1535477638244629,1.6093106269836426
10,320,14,64,0.0197211354970932,0.14189472794532776,0.6721333861351013
10,320,15,64,0.013194281607866287,0.08677982538938522,0.5853656530380249
15,280,0,64,0.017821038141846657,0.12192261964082718,0.7578946352005005
15,280,1,64,0.04024302214384079,0.11977976560592651,1.2345325946807861
15,280,2,32,0.021451324224472046,0.10168901830911636,0.6504120230674744
