step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008662301115691662,0.046159204095602036,0.650031566619873
0,400,1,64,0.030685409903526306,0.11820071935653687,1.0480515956878662
0,400,2,32,0.014501913450658321,0.1196388453245163,0.5232661962509155
0,400,3,32,0.012532355263829231,0.10169817507266998,0.38993436098098755
0,400,4,16,0.01611376367509365,0.09099023044109344,0.5836949944496155
0,400,5,16,0.007877694442868233,0.059896644204854965,0.2947458028793335
0,400,6,8,0.0366213321685791,0.10353102535009384,1.0331640243530273
0,400,7,16,0.01659638062119484,0.11414007097482681,0.3017752170562744
0,400,8,16,0.012168312445282936,0.10085900127887726,0.2164972871541977
0,400,9,16,0.006002015434205532,0.09804502874612808,0.12181031703948975
0,400,10,32,0.0005625054473057389,0.11553652584552765,0.006591636687517166
0,400,11,32,0.01238369382917881,0.29159015417099,0.15605026483535767
0,400,12,32,0.008861944079399109,0.15557751059532166,0.1872376948595047
0,400,13,64,0.06076747179031372,0.2224690020084381,1.4610908031463623
0,400,14,64,0.0232810378074646,0.21551015973091125,0.5581849813461304
0,400,15,64,0.014618675224483013,0.08400261402130127,0.6215716600418091
5,360,0,64,0.008632376790046692,0.045885518193244934,0.6134957671165466
5,360,1,64,0.03079749457538128,0.12998883426189423,1.013508677482605
5,360,2,32,0.01398451067507267,0.1261029988527298,0.48737427592277527
5,360,3,32,0.012768208980560303,0.10335377603769302,0.38008418679237366
5,360,4,16,0.01608894020318985,0.08528106659650803,0.5436091423034668
5,360,5,16,0.007914045825600624,0.04893569275736809,0.29002681374549866
5,360,6,8,0.034869592636823654,0.1069936603307724,0.9934214949607849
5,360,7,16,0.01592249609529972,0.12153352797031403,0.2773151099681854
5,360,8,16,0.011969946324825287,0.10016217827796936,0.19703632593154907
5,360,9,16,0.005625580903142691,0.10684546828269958,0.11276581138372421
5,360,10,32,0.0006200277712196112,0.12223998457193375,0.006963339168578386
5,360,11,32,0.01376667432487011,0.32195979356765747,0.1576245129108429
5,360,12,32,0.008414951153099537,0.16701793670654297,0.17341426014900208
5,360,13,64,0.06411223113536835,0.19505494832992554,1.4597172737121582
5,360,14,64,0.02295725792646408,0.20654752850532532,0.5460727214813232
5,360,15,64,0.01451470609754324,0.09476703405380249,0.6009376049041748
10,320,0,64,0.008745985105633736,0.049905892461538315,0.5811460614204407
10,320,1,64,0.03090505301952362,0.10407879948616028,0.974686861038208
10,320,2,32,0.013687671162188053,0.12956775724887848,0.45809662342071533
