step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.008214203640818596,0.05854072794318199,0.6388933062553406
0,400,1,64,0.03107331693172455,0.09098327904939651,1.0731346607208252
0,400,2,32,0.018200596794486046,0.1264844685792923,0.5994576811790466
0,400,3,32,0.010921726003289223,0.09524359554052353,0.3336591422557831
0,400,4,16,0.015249837189912796,0.0908706858754158,0.5913369655609131
0,400,5,16,0.009694942273199558,0.05752590298652649,0.33740779757499695
0,400,6,8,0.04517626762390137,0.09840457141399384,1.1103832721710205
0,400,7,16,0.018924377858638763,0.10611139237880707,0.3733871579170227
0,400,8,16,0.015666160732507706,0.13673844933509827,0.24998804926872253
0,400,9,16,0.008392591960728168,0.1158226877450943,0.18901419639587402
0,400,10,32,0.0006313497433438897,0.12184350192546844,0.00677844462916255
0,400,11,32,0.013672085478901863,0.2695377767086029,0.16646745800971985
0,400,12,32,0.007796742487698793,0.10030341893434525,0.1914852261543274
0,400,13,64,0.05551116168498993,0.15703991055488586,1.4670298099517822
0,400,14,64,0.02286069467663765,0.12900349497795105,0.5604713559150696
0,400,15,64,0.014264089986681938,0.09322461485862732,0.6036772727966309
5,360,0,64,0.00820997729897499,0.06133539602160454,0.6104585528373718
5,360,1,64,0.030675988644361496,0.09139744937419891,1.031689167022705
5,360,2,32,0.02073858678340912,0.1414160132408142,0.5765982866287231
5,360,3,32,0.01098636258393526,0.10847295820713043,0.3222757577896118
5,360,4,16,0.015398763120174408,0.08427616208791733,0.5605051517486572
5,360,5,16,0.009643126279115677,0.05269095301628113,0.3193976879119873
5,360,6,8,0.04199157655239105,0.08892983943223953,1.053412675857544
5,360,7,16,0.018473725765943527,0.11434370279312134,0.35410386323928833
5,360,8,16,0.015547857619822025,0.1500309407711029,0.23055899143218994
5,360,9,16,0.008195888251066208,0.10064678639173508,0.17337307333946228
5,360,10,32,0.0005440171808004379,0.11892101168632507,0.006137348711490631
5,360,11,32,0.014614683575928211,0.3367924094200134,0.16606405377388
5,360,12,32,0.008134966716170311,0.11221612989902496,0.18428167700767517
5,360,13,64,0.060416653752326965,0.16579222679138184,1.4660968780517578
5,360,14,64,0.022892571985721588,0.13184097409248352,0.5575269460678101
5,360,15,64,0.01371641457080841,0.08632172644138336,0.5808362364768982
10,320,0,64,0.008304907009005547,0.06443570554256439,0.5830904245376587
10,320,1,64,0.030530225485563278,0.08478614687919617,0.9920653104782104
10,320,2,32,0.02295355498790741,0.14873580634593964,0.54632568359375
10,320,3,32,0.010808836668729782,0.11973327398300171,0.3092297911643982
10,320,4,16,0.015354292467236519,0.07787831127643585,0.5247765779495239
10,320,5,16,0.009536955505609512,0.05449921637773514,0.2971474528312683
10,320,6,8,0.03752565756440163,0.08348149806261063,0.9924867153167725
10,320,7,16,0.01757648214697838,0.1303553581237793,0.3122017979621887
10,320,8,16,0.014329754747450352,0.12989933788776398,0.1998530924320221
10,320,9,16,0.0076118456199765205,0.06088900566101074,0.15046724677085876
10,320,10,32,0.0005014481139369309,0.12173236161470413,0.005615553352981806
10,320,11,32,0.014945751056075096,0.3501680791378021,0.16252969205379486
10,320,12,32,0.008101150393486023,0.12170612066984177,0.17283332347869873
10,320,13,64,0.0650697872042656,0.1719585657119751,1.4649591445922852
10,320,14,64,0.022341858595609665,0.12163956463336945,0.5490595102310181
10,320,15,64,0.013223081827163696,0.09434748440980911,0.5521493554115295
15,280,0,64,0.008523598313331604,0.06764672696590424,0.5602105855941772
15,280,1,64,0.03023541159927845,0.0778861790895462,0.9493645429611206
15,280,2,32,0.02436862140893936,0.15123823285102844,0.5152852535247803
15,280,3,32,0.010578351095318794,0.1234857589006424,0.2979389429092407
15,280,4,16,0.015085607767105103,0.07114232331514359,0.490043967962265
