step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.006898450665175915,0.022566214203834534,0.5689409971237183
0,400,1,64,0.03936368227005005,0.09129999577999115,1.2080409526824951
0,400,2,32,0.0023357998579740524,0.01748731918632984,0.4120834469795227
0,400,3,32,0.008669723756611347,0.08136260509490967,0.30454057455062866
0,400,4,16,0.009196196682751179,0.05588039755821228,0.4443231225013733
0,400,5,16,0.011360343545675278,0.0777614563703537,0.45328235626220703
0,400,6,8,0.06223303824663162,0.16233868896961212,1.276147484779358
0,400,7,16,0.019803740084171295,0.13208653032779694,0.2885925769805908
0,400,8,16,0.009258586913347244,0.0802726298570633,0.11566479504108429
0,400,9,16,0.0034612331073731184,0.03487406298518181,0.1463606357574463
0,400,10,32,0.0006558158784173429,0.12121760100126266,0.00772292073816061
0,400,11,32,0.0016420038882642984,0.10423627495765686,0.06861371546983719
0,400,12,32,0.0023288533557206392,0.01084539107978344,0.11348935216665268
0,400,13,64,0.04643502086400986,0.13817369937896729,1.4055696725845337
0,400,14,64,0.018834512680768967,0.12883491814136505,0.5660015940666199
0,400,15,64,0.01163424365222454,0.03224087134003639,0.5914644002914429
5,360,0,64,0.006916552782058716,0.021415408700704575,0.5306738615036011
5,360,1,64,0.040025293827056885,0.10549484193325043,1.195408582687378
5,360,2,32,0.002092003356665373,0.014105062000453472,0.36995017528533936
5,360,3,32,0.008696755394339561,0.0857020765542984,0.29276418685913086
5,360,4,16,0.008763132616877556,0.06014223396778107,0.41137200593948364
5,360,5,16,0.010068250820040703,0.06862055510282516,0.424851655960083
5,360,6,8,0.06183788552880287,0.16740503907203674,1.2409920692443848
5,360,7,16,0.019511736929416656,0.13408821821212769,0.25885245203971863
5,360,8,16,0.009244807064533234,0.08328509330749512,0.10716401785612106
5,360,9,16,0.0030969828367233276,0.03159373626112938,0.1262480616569519
5,360,10,32,0.0007090694271028042,0.11362574994564056,0.0077284714207053185
5,360,11,32,0.002018959727138281,0.17626962065696716,0.06736671924591064
5,360,12,32,0.0021322150714695454,0.01318349875509739,0.10015727579593658
5,360,13,64,0.04868273437023163,0.13460372388362885,1.393274188041687
5,360,14,64,0.0189945250749588,0.13060814142227173,0.553885817527771
5,360,15,64,0.01142905279994011,0.04255843907594681,0.5682801008224487
10,320,0,64,0.007082448806613684,0.019984357059001923,0.49966102838516235
10,320,1,64,0.04060925543308258,0.11394407600164413,1.1754016876220703
10,320,2,32,0.0019592205062508583,0.011308752931654453,0.3309352397918701
10,320,3,32,0.008741394616663456,0.08238452672958374,0.27848559617996216
10,320,4,16,0.008631198666989803,0.06242967024445534,0.38691943883895874
10,320,5,16,0.008489332161843777,0.050617240369319916,0.3838830888271332
10,320,6,8,0.06069730967283249,0.16661648452281952,1.1922492980957031
10,320,7,16,0.019024739041924477,0.13644663989543915,0.23064351081848145
10,320,8,16,0.009431996382772923,0.08922629058361053,0.10222302377223969
10,320,9,16,0.0027758446522057056,0.029673904180526733,0.10630819201469421
10,320,10,32,0.0006983380299061537,0.11770802736282349,0.007710826117545366
10,320,11,32,0.002346462570130825,0.2195853888988495,0.06707991659641266
10,320,12,32,0.0019809859804809093,0.013268969021737576,0.08867017924785614
10,320,13,64,0.051443587988615036,0.1419731080532074,1.3946175575256348
10,320,14,64,0.01878778636455536,0.10778763890266418,0.5447677969932556
10,320,15,64,0.011285600252449512,0.0378645658493042,0.5455644130706787
15,280,0,64,0.0074100191704928875,0.021078795194625854,0.47839778661727905
15,280,1,64,0.040533099323511124,0.11548667401075363,1.1391234397888184
15,280,2,32,0.0018852807115763426,0.01229933463037014,0.29438942670822144
15,280,3,32,0.008544595912098885,0.07566718012094498,0.2598187327384949
15,280,4,16,0.00861177034676075,0.06410130858421326,0.36136531829833984
15,280,5,16,0.007493003737181425,0.03243817016482353,0.3505737781524658
15,280,6,8,0.060387831181287766,0.16944730281829834,1.1297478675842285
15,280,7,16,0.018848631531000137,0.1438915729522705,0.20772108435630798
15,280,8,16,0.008870987221598625,0.08270236849784851,0.09408082813024521
15,280,9,16,0.0023923255503177643,0.02101706527173519,0.08905478566884995
15,280,10,32,0.000688823580276221,0.11288311332464218,0.007604150101542473
15,280,11,32,0.002379999030381441,0.21417178213596344,0.06526747345924377
15,280,12,32,0.0018422406865283847,0.013461492024362087,0.07865660637617111
15,280,13,64,0.05441334843635559,0.15104129910469055,1.401597261428833
15,280,14,64,0.01848520152270794,0.10334160923957825,0.5398720502853394
15,280,15,64,0.011232004500925541,0.050600431859493256,0.522983193397522
20,240,0,64,0.007829789072275162,0.02255927212536335,0.4640454053878784
20,240,1,64,0.039400048553943634,0.1169247180223465,1.0820826292037964
20,240,2,32,0.001835977891460061,0.012953889556229115,0.26000556349754333
20,240,3,32,0.008272134698927402,0.0714520737528801,0.24087613821029663
20,240,4,16,0.00849384255707264,0.07189246267080307,0.33598625659942627
20,240,5,16,0.007210956886410713,0.042776919901371,0.3261350393295288
20,240,6,8,0.05840213969349861,0.16557304561138153,1.0588855743408203
20,240,7,16,0.016888657584786415,0.13953375816345215,0.18435144424438477
20,240,8,16,0.008279029279947281,0.08911111205816269,0.08686333894729614
20,240,9,16,0.002123385900631547,0.022374868392944336,0.07745178043842316
20,240,10,32,0.0006683842511847615,0.11278453469276428,0.007439752109348774
20,240,11,32,0.0022487668320536613,0.13149605691432953,0.06338480859994888
20,240,12,32,0.0017353465082123876,0.012438061647117138,0.07137949764728546
20,240,13,64,0.058182477951049805,0.14805848896503448,1.4110714197158813
20,240,14,64,0.017730720341205597,0.10121220350265503,0.5345196723937988
20,240,15,64,0.01115707028657198,0.0398750938475132,0.49904245138168335
25,200,0,64,0.008306863717734814,0.024811984971165657,0.4540185332298279
25,200,1,64,0.037096280604600906,0.11167566478252411,1.003998041152954
25,200,2,32,0.0018014817032963037,0.012819398194551468,0.23018395900726318
25,200,3,32,0.007933320477604866,0.0914822518825531,0.22276784479618073
25,200,4,16,0.008227056823670864,0.07296253740787506,0.3133507966995239
25,200,5,16,0.007260531187057495,0.05552664399147034,0.3078572750091553
25,200,6,8,0.05299552530050278,0.15365023910999298,0.9970362186431885
25,200,7,16,0.015050321817398071,0.12437806278467178,0.16624602675437927
25,200,8,16,0.007990067824721336,0.10110943019390106,0.08204332739114761
25,200,9,16,0.001939529785886407,0.017278844490647316,0.07048430293798447
25,200,10,32,0.0006840067217126489,0.11314810067415237,0.007363051641732454
25,200,11,32,0.0021327936556190252,0.12920354306697845,0.06042484939098358
25,200,12,32,0.0016282055294141173,0.013909389264881611,0.06591916084289551
25,200,13,64,0.06287936866283417,0.16671454906463623,1.4222447872161865
25,200,14,64,0.016616057604551315,0.09258921444416046,0.5282406210899353
25,200,15,64,0.011173397302627563,0.03608191758394241,0.4761318862438202
30,160,0,64,0.008796678856015205,0.033519625663757324,0.44655919075012207
30,160,1,64,0.03375980257987976,0.09856472164392471,0.910444974899292
30,160,2,32,0.001779911108314991,0.013407239690423012,0.2054913491010666
30,160,3,32,0.007516387850046158,0.10251099616289139,0.20530235767364502
30,160,4,16,0.00787093210965395,0.07366330921649933,0.29308784008026123
30,160,5,16,0.007279848214238882,0.06401875615119934,0.2896713316440582
30,160,6,8,0.04578131437301636,0.1396261602640152,0.9434220790863037
30,160,7,16,0.013887413777410984,0.10657539963722229,0.15459290146827698
30,160,8,16,0.00783153809607029,0.10819877684116364,0.07900603115558624
30,160,9,16,0.0017734686844050884,0.012321718968451023,0.06400872766971588
30,160,10,32,0.0006638397462666035,0.11500044912099838,0.007144313305616379
30,160,11,32,0.0019386028870940208,0.1273578703403473,0.05538526922464371
30,160,12,32,0.0015088858781382442,0.016495879739522934,0.06085297465324402
30,160,13,64,0.06820103526115417,0.18655309081077576,1.434513807296753
30,160,14,64,0.01538635790348053,0.09358987212181091,0.5246875286102295
30,160,15,64,0.01134764589369297,0.039284735918045044,0.45602738857269287
35,120,0,64,0.009095091372728348,0.04173171520233154,0.4358491003513336
35,120,1,64,0.029149428009986877,0.0911644697189331,0.7993104457855225
35,120,2,32,0.0017741150222718716,0.01648550108075142,0.18632537126541138
35,120,3,32,0.00695954030379653,0.09705132246017456,0.18869319558143616
35,120,4,16,0.007344772573560476,0.07117964327335358,0.2735932171344757
35,120,5,16,0.007266763132065535,0.06695182621479034,0.27320435643196106
35,120,6,8,0.03938106447458267,0.1294718235731125,0.8931810855865479
35,120,7,16,0.013022935017943382,0.09879904985427856,0.14694923162460327
35,120,8,16,0.007811833638697863,0.10552550107240677,0.08023714274168015
35,120,9,16,0.0016411675605922937,0.009539964608848095,0.05886778235435486
35,120,10,32,0.0006213652668520808,0.11647074669599533,0.006834987550973892
35,120,11,32,0.0016596851637586951,0.12795160710811615,0.04835929721593857
35,120,12,32,0.0013706088066101074,0.015006782487034798,0.0561431422829628
35,120,13,64,0.07501769065856934,0.22049382328987122,1.4478106498718262
35,120,14,64,0.014070742763578892,0.08785828948020935,0.5234575271606445
35,120,15,64,0.01174711249768734,0.052636489272117615,0.43967193365097046
40,80,0,64,0.009069178253412247,0.045375071465969086,0.42019781470298767
40,80,1,64,0.022637594491243362,0.08947673439979553,0.6605299711227417
40,80,2,32,0.001740932115353644,0.019157208502292633,0.16991212964057922
40,80,3,32,0.006187519058585167,0.07553760707378387,0.17177104949951172
40,80,4,16,0.006713232956826687,0.06612281501293182,0.25441259145736694
40,80,5,16,0.007362001575529575,0.07070565968751907,0.2610260844230652
40,80,6,8,0.03491266444325447,0.12405142188072205,0.8500880599021912
40,80,7,16,0.012357091531157494,0.09770240634679794,0.14269447326660156
40,80,8,16,0.007569652050733566,0.09637343883514404,0.08259562402963638
40,80,9,16,0.0015777512453496456,0.007770041469484568,0.05546793341636658
40,80,10,32,0.0005897738737985492,0.11467381566762924,0.006643772125244141
40,80,11,32,0.0013979370705783367,0.12349166721105576,0.041974589228630066
40,80,12,32,0.0012264552060514688,0.011180838569998741,0.05191532522439957
40,80,13,64,0.08469364792108536,0.2330794334411621,1.4615951776504517
40,80,14,64,0.012946677394211292,0.07701117545366287,0.5221399068832397
40,80,15,64,0.012493337504565716,0.07494278252124786,0.4317699670791626
45,40,0,64,0.008511552587151527,0.04638795554637909,0.3915671110153198
45,40,1,64,0.013698896393179893,0.07641714811325073,0.4816669225692749
45,40,2,32,0.001594040310010314,0.017202192917466164,0.1507490575313568
45,40,3,32,0.005188204348087311,0.08586660772562027,0.1540631651878357
45,40,4,16,0.006009827833622694,0.05844563990831375,0.23461049795150757
45,40,5,16,0.007825896143913269,0.07750672101974487,0.25174176692962646
45,40,6,8,0.03162484988570213,0.11527039855718613,0.8251100778579712
45,40,7,16,0.011346695944666862,0.09295409172773361,0.1386699676513672
45,40,8,16,0.00709265423938632,0.09120868891477585,0.0829659104347229
45,40,9,16,0.0015856092795729637,0.010385164991021156,0.05249849334359169
45,40,10,32,0.0005427089054137468,0.11225802451372147,0.006334122270345688
45,40,11,32,0.0012340001994743943,0.11458365619182587,0.037923604249954224
45,40,12,32,0.0011098443064838648,0.009115164168179035,0.048172153532505035
45,40,13,64,0.10142920911312103,0.23638305068016052,1.4711546897888184
45,40,14,64,0.012851200066506863,0.08560233563184738,0.5223850607872009
45,40,15,64,0.014011098071932793,0.09049251675605774,0.45401930809020996
49,8,0,64,0.008168347179889679,0.0623895488679409,0.3516843914985657
49,8,1,64,0.005344952456653118,0.06686335802078247,0.2995085120201111
49,8,2,32,0.0013040241319686174,0.01060017105191946,0.12126810848712921
49,8,3,32,0.004129478707909584,0.08258452266454697,0.13819530606269836
49,8,4,16,0.004957644268870354,0.047674138098955154,0.2123454511165619
49,8,5,16,0.0085741663351655,0.08796902000904083,0.25716936588287354
49,8,6,8,0.029039986431598663,0.11682397872209549,0.8080490827560425
49,8,7,16,0.009414325468242168,0.0751664787530899,0.13043949007987976
