step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.013701792806386948,0.09240272641181946,0.7560064196586609
0,400,1,64,0.034123629331588745,0.13003553450107574,1.0900959968566895
0,400,2,32,0.024533621966838837,0.1152496337890625,0.5292947888374329
0,400,3,32,0.012731527909636497,0.08689183741807938,0.42065924406051636
0,400,4,16,0.0263674333691597,0.09826482832431793,0.5654581785202026
0,400,5,16,0.026952233165502548,0.14115270972251892,0.49795496463775635
0,400,6,8,0.025710050016641617,0.11722283065319061,0.8470354080200195
0,400,7,16,0.03163404017686844,0.13590918481349945,0.3380959928035736
0,400,8,16,0.01578008010983467,0.12228871881961823,0.18448331952095032
0,400,9,16,0.004610894247889519,0.039574459195137024,0.13800674676895142
0,400,10,32,0.0014631978701800108,0.12532271444797516,0.014220498502254486
0,400,11,32,0.020620903000235558,0.21299447119235992,0.34476906061172485
0,400,12,32,0.026182183995842934,0.17092853784561157,0.25379297137260437
0,400,13,64,0.0883023589849472,0.22681169211864471,1.6299690008163452
0,400,14,64,0.019025618210434914,0.15902328491210938,0.5392324924468994
0,400,15,64,0.014512905851006508,0.2014651894569397,0.6160404682159424
5,360,0,64,0.013318720273673534,0.09158964455127716,0.7353399991989136
5,360,1,64,0.03424971550703049,0.14730989933013916,1.0589404106140137
5,360,2,32,0.024442138150334358,0.11642620712518692,0.48686423897743225
5,360,3,32,0.012891970574855804,0.09251362085342407,0.4139029383659363
5,360,4,16,0.023885566741228104,0.08699154108762741,0.5176752805709839
5,360,5,16,0.02779458276927471,0.13140572607517242,0.4980102777481079
5,360,6,8,0.025712013244628906,0.12464875727891922,0.8310290575027466
5,360,7,16,0.02915310673415661,0.12211934477090836,0.326092928647995
5,360,8,16,0.0142721151933074,0.12285173684358597,0.1732233762741089
5,360,9,16,0.0047343214973807335,0.03177111968398094,0.14652562141418457
5,360,10,32,0.0014138829428702593,0.12527921795845032,0.013712458312511444
5,360,11,32,0.017176125198602676,0.23387503623962402,0.3043366074562073
5,360,12,32,0.0214889757335186,0.16225439310073853,0.22065749764442444
5,360,13,64,0.09213132411241531,0.23150470852851868,1.6249194145202637
