step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,400,0,64,0.010059773921966553,0.06710917502641678,0.6247000098228455
0,400,1,64,0.03649068623781204,0.1194123774766922,1.1682136058807373
0,400,2,32,0.011991769075393677,0.08688744902610779,0.5641340017318726
0,400,3,32,0.018338076770305634,0.11457887291908264,0.4363674819469452
0,400,4,16,0.029106546193361282,0.1249217540025711,0.5534483194351196
0,400,5,16,0.028552066534757614,0.1410914659500122,0.6062049865722656
0,400,6,8,0.05045439302921295,0.13828736543655396,1.2234350442886353
0,400,7,16,0.03391999006271362,0.22734098136425018,0.386809378862381
0,400,8,16,0.019846655428409576,0.18668770790100098,0.155331552028656
0,400,9,16,0.014564448036253452,0.1491197943687439,0.15537753701210022
0,400,10,32,0.00046915741404518485,0.01738610304892063,0.010632450692355633
0,400,11,32,0.0025729613844305277,0.05977863073348999,0.13970360159873962
0,400,12,32,0.005192795768380165,0.14368051290512085,0.17876064777374268
0,400,13,64,0.07511842250823975,0.2081792950630188,1.6564857959747314
0,400,14,64,0.01893877051770687,0.1471848487854004,0.6064717769622803
0,400,15,64,0.01385254692286253,0.10655315220355988,0.668487012386322
5,360,0,64,0.010491026565432549,0.0767039954662323,0.5899115800857544
5,360,1,64,0.038901470601558685,0.14824146032333374,1.1734604835510254
5,360,2,32,0.012310345657169819,0.12786583602428436,0.518623411655426
5,360,3,32,0.01951870322227478,0.11515302956104279,0.4271274209022522
5,360,4,16,0.028285736218094826,0.11721918731927872,0.5071052312850952
5,360,5,16,0.02777506783604622,0.14158788323402405,0.5798520445823669
5,360,6,8,0.04515691101551056,0.13201726973056793,1.1556962728500366
5,360,7,16,0.03295856714248657,0.2379167377948761,0.3589695394039154
5,360,8,16,0.02063961699604988,0.20863467454910278,0.15927588939666748
5,360,9,16,0.014017496258020401,0.18127337098121643,0.14365428686141968
5,360,10,32,0.0005687436787411571,0.02455464005470276,0.011092569679021835
5,360,11,32,0.002766641788184643,0.06130418926477432,0.13239765167236328
5,360,12,32,0.005648124031722546,0.14093436300754547,0.16762948036193848
5,360,13,64,0.08014509826898575,0.19090846180915833,1.6163294315338135
5,360,14,64,0.018494702875614166,0.1512732207775116,0.5912133455276489
5,360,15,64,0.012465682812035084,0.06065385416150093,0.6310502290725708
10,320,0,64,0.011040209792554379,0.08630437403917313,0.5608398914337158
10,320,1,64,0.0417952835559845,0.16430819034576416,1.1779022216796875
10,320,2,32,0.0122977951541543,0.13879193365573883,0.47249817848205566
10,320,3,32,0.019723644480109215,0.1307424157857895,0.4113907814025879
10,320,4,16,0.027859799563884735,0.11743445694446564,0.4702739119529724
10,320,5,16,0.02864501252770424,0.14179588854312897,0.5551432371139526
10,320,6,8,0.04050520062446594,0.13041909039020538,1.046129584312439
10,320,7,16,0.032837122678756714,0.26598823070526123,0.3233640789985657
10,320,8,16,0.02258911542594433,0.24616137146949768,0.16934770345687866
10,320,9,16,0.014247698709368706,0.2290150374174118,0.13402388989925385
10,320,10,32,0.0006304733105935156,0.037254054099321365,0.011239692568778992
10,320,11,32,0.0027819969691336155,0.07622277736663818,0.122154101729393
10,320,12,32,0.0056549557484686375,0.13068044185638428,0.15808707475662231
10,320,13,64,0.08399854600429535,0.21231703460216522,1.6079591512680054
10,320,14,64,0.018573902547359467,0.10226134955883026,0.6008286476135254
10,320,15,64,0.011861415579915047,0.0770539715886116,0.6201848983764648
15,280,0,64,0.011531636118888855,0.09379179030656815,0.5371453166007996
15,280,1,64,0.04437065124511719,0.16731831431388855,1.1677381992340088
15,280,2,32,0.011576862074434757,0.13591183722019196,0.424461305141449
15,280,3,32,0.02003391459584236,0.14740051329135895,0.4044485092163086
15,280,4,16,0.02745949849486351,0.12673713266849518,0.43761157989501953
15,280,5,16,0.028987979516386986,0.13830530643463135,0.51999431848526
15,280,6,8,0.037899523973464966,0.1298949271440506,0.9456964731216431
15,280,7,16,0.03253958001732826,0.2804088890552521,0.28518062829971313
15,280,8,16,0.023960839956998825,0.251228928565979,0.16671298444271088
15,280,9,16,0.01605267822742462,0.24866919219493866,0.13080435991287231
15,280,10,32,0.000620500068180263,0.03151615709066391,0.011169025674462318
15,280,11,32,0.002892802469432354,0.09182573854923248,0.11470459401607513
15,280,12,32,0.006215019151568413,0.1298324167728424,0.1518990844488144
15,280,13,64,0.08671052753925323,0.22152307629585266,1.594395637512207
15,280,14,64,0.017792314291000366,0.2256683111190796,0.5927995443344116
15,280,15,64,0.011497711762785912,0.06311588734388351,0.5987234115600586
20,240,0,64,0.011962801218032837,0.1003020703792572,0.5157382488250732
20,240,1,64,0.04595291242003441,0.1825031340122223,1.138976812362671
20,240,2,32,0.011038161814212799,0.13179752230644226,0.38021406531333923
20,240,3,32,0.020208775997161865,0.15111353993415833,0.4033956229686737
20,240,4,16,0.02643345110118389,0.1229386031627655,0.40741515159606934
20,240,5,16,0.02777208760380745,0.12290654331445694,0.483456552028656
20,240,6,8,0.03684920072555542,0.13053864240646362,0.8765444755554199
20,240,7,16,0.029544390738010406,0.27168330550193787,0.24896889925003052
20,240,8,16,0.023858599364757538,0.244129940867424,0.15994349122047424
20,240,9,16,0.01573684625327587,0.2320970892906189,0.12494675815105438
20,240,10,32,0.0006218154449015856,0.02297906018793583,0.011146576143801212
20,240,11,32,0.0029879501089453697,0.0895259752869606,0.1106911152601242
20,240,12,32,0.00662864837795496,0.13908669352531433,0.144399493932724
20,240,13,64,0.08980700373649597,0.22198036313056946,1.5782068967819214
20,240,14,64,0.01622791960835457,0.20496416091918945,0.5731995105743408
20,240,15,64,0.011273615062236786,0.08413784205913544,0.5766540765762329
25,200,0,64,0.012303804978728294,0.10597890615463257,0.4953495264053345
25,200,1,64,0.04635707288980484,0.19293241202831268,1.0904133319854736
25,200,2,32,0.010730832815170288,0.12554466724395752,0.34604349732398987
25,200,3,32,0.019180120900273323,0.13841526210308075,0.3976091742515564
25,200,4,16,0.02581929974257946,0.12519758939743042,0.3864442706108093
25,200,5,16,0.025511592626571655,0.11124569922685623,0.44441962242126465
25,200,6,8,0.03525324910879135,0.12790432572364807,0.8385274410247803
25,200,7,16,0.027102846652269363,0.26503729820251465,0.2284371554851532
25,200,8,16,0.02297516167163849,0.23547151684761047,0.152319073677063
25,200,9,16,0.01503364834934473,0.21905358135700226,0.11938799917697906
25,200,10,32,0.00065791723318398,0.02269926853477955,0.01145393867045641
25,200,11,32,0.003017376409843564,0.09035108238458633,0.10801692306995392
25,200,12,32,0.006643027998507023,0.1402573585510254,0.13644176721572876
25,200,13,64,0.09384813904762268,0.247831791639328,1.565967321395874
25,200,14,64,0.014415403828024864,0.18829061090946198,0.5555777549743652
25,200,15,64,0.011089472100138664,0.08335012197494507,0.558295726776123
30,160,0,64,0.012512115761637688,0.1104305312037468,0.47774919867515564
30,160,1,64,0.04562527313828468,0.18698278069496155,1.0262768268585205
30,160,2,32,0.010342100635170937,0.11554946005344391,0.32159435749053955
30,160,3,32,0.017465760931372643,0.12251187860965729,0.3830447196960449
30,160,4,16,0.02497834712266922,0.13438400626182556,0.3665979206562042
30,160,5,16,0.02344427816569805,0.10705295205116272,0.4093893766403198
30,160,6,8,0.03292200714349747,0.12639731168746948,0.7913886308670044
30,160,7,16,0.025160979479551315,0.2553158104419708,0.2105892300605774
30,160,8,16,0.022448789328336716,0.22555412352085114,0.14537973701953888
30,160,9,16,0.014367485418915749,0.20841580629348755,0.1127253919839859
30,160,10,32,0.0007123913383111358,0.020773397758603096,0.011974155902862549
30,160,11,32,0.002986241364851594,0.08600834757089615,0.1064903736114502
30,160,12,32,0.006567115429788828,0.13925577700138092,0.12954705953598022
30,160,13,64,0.09837616980075836,0.2615232467651367,1.5552504062652588
30,160,14,64,0.012555750086903572,0.13896675407886505,0.5393692851066589
30,160,15,64,0.011010704562067986,0.06253162771463394,0.5421679019927979
35,120,0,64,0.01245574839413166,0.11324495077133179,0.45955735445022583
35,120,1,64,0.04296746104955673,0.16960346698760986,0.9381383657455444
35,120,2,32,0.009972204454243183,0.10182328522205353,0.30528974533081055
35,120,3,32,0.015535583719611168,0.12315453588962555,0.35675957798957825
35,120,4,16,0.02354215458035469,0.1409025490283966,0.34386152029037476
35,120,5,16,0.02166450396180153,0.10801782459020615,0.3796044588088989
35,120,6,8,0.03001677617430687,0.12563468515872955,0.7282418608665466
35,120,7,16,0.023272981867194176,0.23946698009967804,0.19672049582004547
35,120,8,16,0.021958284080028534,0.2242046445608139,0.14026746153831482
35,120,9,16,0.013702894560992718,0.19643794000148773,0.10644234716892242
35,120,10,32,0.0007734705577604473,0.018499622121453285,0.012470358982682228
35,120,11,32,0.0029211449436843395,0.08319661021232605,0.1051395907998085
35,120,12,32,0.006402081809937954,0.1383334994316101,0.12355907261371613
35,120,13,64,0.10468287765979767,0.30048099160194397,1.5472172498703003
35,120,14,64,0.010881305672228336,0.0981111004948616,0.5256673097610474
35,120,15,64,0.011197395622730255,0.06879371404647827,0.5255540013313293
40,80,0,64,0.011876307427883148,0.11684751510620117,0.43794795870780945
40,80,1,64,0.0371435210108757,0.1442805826663971,0.8068253993988037
40,80,2,32,0.00935267098248005,0.08492638170719147,0.28763365745544434
40,80,3,32,0.013713978230953217,0.12765370309352875,0.3200373649597168
40,80,4,16,0.02155200019478798,0.13692006468772888,0.31957533955574036
40,80,5,16,0.01988382637500763,0.11383341252803802,0.3515583872795105
40,80,6,8,0.027192097157239914,0.12479188293218613,0.6667948365211487
40,80,7,16,0.021850600838661194,0.2222205102443695,0.189036563038826
40,80,8,16,0.02138635516166687,0.2306099832057953,0.13579882681369781
40,80,9,16,0.013028103858232498,0.17938163876533508,0.10140834748744965
40,80,10,32,0.0008245062781497836,0.01723417267203331,0.012791179120540619
40,80,11,32,0.00281262188218534,0.08244390040636063,0.1016196757555008
40,80,12,32,0.005964499432593584,0.13589555025100708,0.11610157042741776
40,80,13,64,0.11381252855062485,0.3057228922843933,1.538813829421997
40,80,14,64,0.009556232020258904,0.08745921403169632,0.5133481025695801
40,80,15,64,0.011741086840629578,0.07190679013729095,0.5071936845779419
45,40,0,64,0.010517100803554058,0.1203455775976181,0.4057041108608246
45,40,1,64,0.026597213000059128,0.1280067414045334,0.6068243980407715
45,40,2,32,0.008372712880373001,0.0767139345407486,0.25902891159057617
45,40,3,32,0.011383101344108582,0.12377208471298218,0.2723802924156189
45,40,4,16,0.019157979637384415,0.12327931821346283,0.2932995855808258
45,40,5,16,0.01807248219847679,0.12028402090072632,0.32061922550201416
45,40,6,8,0.024247463792562485,0.12140611559152603,0.6069549322128296
45,40,7,16,0.0200989730656147,0.20233263075351715,0.18093141913414001
45,40,8,16,0.02013883739709854,0.2423294335603714,0.1286952793598175
45,40,9,16,0.012337151914834976,0.16915538907051086,0.0971764326095581
45,40,10,32,0.0008592962403781712,0.018871137872338295,0.013058992102742195
45,40,11,32,0.0025882935151457787,0.07959600538015366,0.09547717869281769
45,40,12,32,0.005212544929236174,0.12854991853237152,0.10661444067955017
45,40,13,64,0.12800025939941406,0.30466943979263306,1.5305525064468384
45,40,14,64,0.008879326283931732,0.11083781719207764,0.5039279460906982
45,40,15,64,0.012941727414727211,0.08870552480220795,0.49754032492637634
49,8,0,64,0.009260924533009529,0.1292489469051361,0.3600807785987854
49,8,1,64,0.012682566419243813,0.13049376010894775,0.3582603335380554
49,8,2,32,0.005967790260910988,0.06797642260789871,0.19818496704101562
49,8,3,32,0.007986152544617653,0.122439444065094,0.20985721051692963
49,8,4,16,0.016682688146829605,0.10277331620454788,0.27153682708740234
49,8,5,16,0.016131822019815445,0.12101265788078308,0.29520559310913086
49,8,6,8,0.022799603641033173,0.11823637783527374,0.5726132988929749
49,8,7,16,0.017681453377008438,0.17518720030784607,0.1655399650335312
49,8,8,16,0.01773732341825962,0.2403174787759781,0.11809252202510834
49,8,9,16,0.011073967441916466,0.15993818640708923,0.09164471924304962
49,8,10,32,0.0007368896040134132,0.020724836736917496,0.011735498905181885
49,8,11,32,0.002108088694512844,0.0709913894534111,0.08444253355264664
49,8,12,32,0.004109619185328484,0.1169409528374672,0.09553973376750946
49,8,13,64,0.14648956060409546,0.31434956192970276,1.5164873600006104
49,8,14,64,0.010161436162889004,0.12128669023513794,0.5030913352966309
49,8,15,64,0.015000348910689354,0.09968642890453339,0.5609735250473022
